,Player,Player.1,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,"1Kevin De BruyneMan City, 30, M(CLR),FW",Kevin De Bruyne Man City,30, M(CLR),FW,,25(5),2205,15,8,2,-,2.6,82.5,0.4,4,7.64
1,"2Mohamed SalahLiverpool, 29, AM(CLR),FW",Mohamed Salah Liverpool,29, AM(CLR),FW,,30(5),2763,23,13,1,-,4,79.9,0.2,7,7.54
2,"3Son Heung-MinTottenham, 29, M(CLR),FW",Son Heung-Min Tottenham,29, M(CLR),FW,,35,3021,23,7,2,-,2.5,86.6,0.5,6,7.52
3,"4Trent Alexander-ArnoldLiverpool, 23, D(R),M(R)",Trent Alexander-Arnold Liverpool,23, D(R),M(R),,32,2854,2,12,2,-,1.6,78.1,0.5,5,7.51
4,"5KenedyChelsea, 26, D(L),M(LR)",Kenedy Chelsea,26, D(L),M(LR),,1,59,-,1,-,-,1,73.9,-,-,7.46
5,"6Harry KaneTottenham, 28, AM(C),FW",Harry Kane Tottenham,28, AM(C),FW,,36(1),3232,17,9,5,-,3.6,70.3,2,7,7.45
6,"7RodriMan City, 25, DMC",Rodri Man City,25, DMC,,,33,2887,7,2,5,-,1.4,91.8,2.6,4,7.44
7,"8Luis DíazLiverpool, 25, AM(L)",Luis Díaz Liverpool,25, AM(L),,,11(2),964,4,3,-,-,2.9,87.7,1.2,1,7.44
8,"9João CanceloMan City, 28, D(LR),M(R)",João Cancelo Man City,28, D(LR),M(R),,36,3228,1,7,7,-,2.3,85.3,1.6,5,7.43
9,"10Ben ChilwellChelsea, 25, D(L),M(L)",Ben Chilwell Chelsea,25, D(L),M(L),,6(1),541,3,1,-,-,1.9,83,1,1,7.42
0,"11Kieran TrippierNewcastle, 31, D(R),M(R)",Kieran Trippier Newcastle,31, D(R),M(R),,5(1),430,2,-,-,-,0.3,65,1.7,1,7.38
1,"12Christian EriksenBrentford, 30, M(CLR)",Christian Eriksen Brentford,30, M(CLR),,,10(1),938,1,4,1,-,2,80.9,0.5,3,7.37
2,"13Joel MatipLiverpool, 30, D(C)",Joel Matip Liverpool,30, D(C),,,31,2790,3,3,2,-,1.1,88.5,3.5,5,7.35
3,"14Phil FodenMan City, 22, AM(CLR),FW",Phil Foden Man City,22, AM(CLR),FW,,24(4),2133,9,5,1,-,2,87.4,0.2,1,7.3
