,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,"1Mattia ZaccagniVerona, 26, AM(CL),FW","Mattia Zaccagni Verona, 26, AM(CL),FW",2,180,1.5,2,0.5,-,-,0.5,-,-,8.47
1,"2Luca GemelloTorino, 21, Goalkeeper","Luca Gemello Torino, 21, Goalkeeper",1,90,-,-,-,-,-,-,-,-,7.71
2,"3Domenico BerardiSassuolo, 27, AM(R),FW","Domenico Berardi Sassuolo, 27, AM(R),FW",33,2838,1,0.9,1.6,-,0.7,1.3,0.1,-,7.43
3,"4Rafael LeãoAC Milan, 22, AM(L),FW","Rafael Leão AC Milan, 22, AM(L),FW",31(3),2621,0.5,0.4,0.7,-,0.2,0.3,-,-,7.37
4,"5Sergej Milinkovic-SavicLazio, 27, AM(C)","Sergej Milinkovic-Savic Lazio, 27, AM(C)",36(1),3111,1.8,0.9,1.5,-,1.1,1,0.2,-,7.36
5,"6Lorenzo PellegriniRoma, 25, M(C)","Lorenzo Pellegrini Roma, 25, M(C)",27(1),2300,1.3,1,1.6,-,0.7,1.6,-,-,7.34
6,"7Dusan VlahovicFiorentina, 22, FW","Dusan Vlahovic Fiorentina, 22, FW",21,1862,0.2,-,0.9,-,0.7,0.4,0.1,-,7.33
7,"8Ciro ImmobileLazio, 32, FW","Ciro Immobile Lazio, 32, FW",31,2718,0.3,0.1,1.2,-,0.5,0.5,-,-,7.31
8,"9Luis MurielAtalanta, 31, AM(CL),FW","Luis Muriel Atalanta, 31, AM(CL),FW",17(10),1543,0.6,0.1,0.5,-,0.2,0.6,-,-,7.3
9,"10Hakan ÇalhanogluInter, 28, M(CLR),FW","Hakan Çalhanoglu Inter, 28, M(CLR),FW",33(1),2509,1.2,0.7,1.1,-,0.3,0.9,0.1,-,7.28
0,"11Wisdom AmeyBologna, 16, Defender","Wisdom Amey Bologna, 16, Defender",1,72,3.0,3.0,1.0,-,1.0,1.0,-,-,7.27
1,"12Victor OsimhenNapoli, 23, FW","Victor Osimhen Napoli, 23, FW",23(4),1993,0.4,0.1,1.4,-,0.6,0.1,0.1,-,7.22
2,"13Ivan PerisicInter, 33, M(CLR),FW","Ivan Perisic Inter, 33, M(CLR),FW",35,2844,1.1,1.3,0.8,-,0.9,0.6,0.2,-,7.22
3,"14Paulo DybalaJuventus, 28, AM(CR),FW","Paulo Dybala Juventus, 28, AM(CR),FW",26(3),2074,1.0,0.3,0.6,-,0.1,0.9,-,-,7.22
4,"15BremerTorino, 25, D(C)","Bremer Torino, 25, D(C)",33,2895,1.5,3.2,2.0,0.6,4.0,0.3,0.7,-,7.22
5,"16Gianluca CaprariVerona, 28, AM(CLR),FW","Gianluca Caprari Verona, 28, AM(CLR),FW",33(2),2755,1.2,0.1,1.2,-,0.1,1.0,-,-,7.2
6,"17Juan CuadradoJuventus, 34, D(R),M(CLR),FW","Juan Cuadrado Juventus, 34, D(R),M(CLR),FW",28(5),2496,1.5,0.9,0.6,-,0.9,0.8,0.2,-,7.19
7,"18Lautaro MartínezInter, 24, FW","Lautaro Martínez Inter, 24, FW",28(7),2302,0.6,0.5,1.1,-,0.2,0.1,-,-,7.18
8,"19Tammy AbrahamRoma, 24, FW","Tammy Abraham Roma, 24, FW",36(1),3099,0.7,0.1,1.0,-,0.7,0.4,0.1,-,7.17
9,"20Theo HernándezAC Milan, 24, D(L),M(L)","Theo Hernández AC Milan, 24, D(L),M(L)",30(2),2713,1.7,0.7,1.1,0.3,0.8,0.3,0.1,-,7.16
0,"21Marcelo BrozovicInter, 29, M(CR)","Marcelo Brozovic Inter, 29, M(CR)",35,2951,2.2,1.1,1.2,-,0.9,1,0.3,-,7.13
1,"22Nicolò BarellaInter, 25, AM(C)","Nicolò Barella Inter, 25, AM(C)",36,2933,1.8,0.6,0.8,-,0.2,0.7,0.1,-,7.13
2,"23Fabián RuizNapoli, 26, M(CL)","Fabián Ruiz Napoli, 26, M(CL)",29(3),2398,1.7,0.7,0.7,-,1,1.2,-,-,7.1
3,"24Lorenzo InsigneNapoli, 31, AM(CL),FW","Lorenzo Insigne Napoli, 31, AM(CL),FW",28(4),2311,0.7,0.6,0.6,-,-,1.1,-,-,7.09
4,"25Wladimiro FalconeSampdoria, 27, GK","Wladimiro Falcone Sampdoria, 27, GK",9(1),855,-,0.1,-,-,0.8,-,-,-,7.08
5,"26Kalidou KoulibalyNapoli, 30, D(C)","Kalidou Koulibaly Napoli, 30, D(C)",27,2406,1.4,1.1,1,0.7,3.1,0.5,0.9,-,7.08
6,"27Edin DzekoInter, 36, FW","Edin Dzeko Inter, 36, FW",27(9),2476,0.4,0.1,0.8,-,1,0.5,0.1,-,7.07
7,"28Duván ZapataAtalanta, 31, FW","Duván Zapata Atalanta, 31, FW",20(4),1732,0.3,0.1,1.2,-,0.2,0.2,-,-,7.06
8,"29André-Frank Zambo AnguissaNapoli, 26, M(C)","André-Frank Zambo Anguissa Napoli, 26, M(C)",21(4),1925,2,1.0,1.5,-,1.2,1,0.2,-,7.05
9,"30Giovanni Di LorenzoNapoli, 28, D(CLR),M(R)","Giovanni Di Lorenzo Napoli, 28, D(CLR),M(R)",33,2873,1.8,1.2,1.1,0.2,1.2,0.8,0.3,-,7.04
