,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Kevin De Bruyne,30, M(CLR),FW,,25(5),2205,1.1,0.2,0.7,-,0.5,0.8,0.1,-,7.64
1,Mohamed Salah,29, AM(CLR),FW,,30(5),2763,0.5,0.2,0.3,-,0.1,0.4,-,-,7.54
2,Son Heung-Min,29, M(CLR),FW,,35,3021,0.4,0.4,0.4,-,0.2,0.5,0.2,-,7.52
3,Trent Alexander-Arnold,23, D(R),M(R),,32,2854,1.3,1.3,0.4,0.4,1,1,0.1,-,7.51
4,Kenedy,26, D(L),M(LR),,1,59,5,-,-,-,-,1,-,-,7.46
5,Harry Kane,28, AM(C),FW,,36(1),3232,0.4,0.1,1.1,0.1,1.1,0.3,0.2,-,7.45
6,Rodri,25, DMC,,,33,2887,2.2,0.8,1.3,0.1,1.3,0.8,0.2,-,7.44
7,Luis Díaz,25, AM(L),,,11(2),964,0.7,0.3,1.1,-,0.2,0.5,-,-,7.44
8,João Cancelo,28, D(LR),M(R),,36,3228,2.3,1.6,0.9,0.3,0.9,1.3,0.1,-,7.43
9,Ben Chilwell,25, D(L),M(L),,6(1),541,1.1,0.6,1.4,0.1,2,0.4,-,-,7.42
10,Kieran Trippier,31, D(R),M(R),,5(1),430,2.8,1.7,0.5,0.2,1.7,1,0.5,-,7.38
11,Christian Eriksen,30, M(CLR),,,10(1),938,1.2,0.8,0.5,-,1.1,0.8,0.1,-,7.37
12,Joel Matip,30, D(C),,,31,2790,1.5,1.4,0.4,1.4,2.9,0.4,0.5,-,7.35
13,Phil Foden,22, AM(CLR),FW,,24(4),2133,0.6,0.4,0.5,-,0.1,0.4,-,-,7.3
14,Sadio Mané,30, AM(CLR),FW,,32(2),2825,1,0.2,1.5,0.1,0.3,0.5,-,-,7.29
15,Ivan Toney,26, FW,,,32(1),2908,1,0.4,1.5,-,1.3,0.8,0.1,-,7.28
16,Bernardo Silva,27, M(CLR),FW,,33(2),2861,1.6,0.6,0.9,-,0.4,1,0.1,-,7.28
17,Kristoffer Klaesson,21, Goalkeeper,,,0(1),35,-,-,-,-,1,-,-,-,7.27
18,Danny Ward,28, GK,,,1,90,-,-,-,-,1,-,-,-,7.25
19,Rodrigo Bentancur,24, M(C),,,16(1),1367,2.1,1.2,1.3,0.1,1.9,0.9,0.5,-,7.24
20,Reece James,22, D(CR),DMC,M(R),22(4),1868,1.3,0.7,0.8,0.1,0.7,0.5,0.1,1,7.24
21,Ilkay Gündogan,31, M(C),,,20(7),1856,0.9,0.6,0.5,-,0.4,0.7,-,-,7.24
22,Ferran Torres,22, AM(LR),FW,,4,305,0.5,-,0.3,-,-,0.8,-,-,7.23
23,Andrew Robertson,28, D(L),M(L),,29,2541,1.2,0.8,0.7,0.5,1.8,0.5,0.1,-,7.23
24,Gabriel Jesus,25, AM(LR),FW,,21(7),1880,0.6,0.5,0.9,-,0.2,0.7,-,-,7.2
25,Raheem Sterling,27, M(CLR),FW,,23(7),2127,0.8,0.4,0.6,-,0.1,0.4,-,-,7.2
26,Dejan Kulusevski,22, AM(CR),FW,,14(4),1267,1.1,0.7,1.1,-,0.1,1,-,-,7.19
27,Mason Mount,23, M(CLR),,,27(5),2365,1.3,0.4,0.9,-,0.3,0.8,-,-,7.19
28,Virgil van Dijk,30, D(C),,,34,3060,0.5,0.9,0.3,1.3,3.1,0.1,0.4,-,7.18
29,Jack Grealish,26, AM(CL),FW,,22(4),1917,0.7,0.3,0.7,-,0.2,0.3,-,-,7.17
30,John McGinn,27, M(C),,,35,3092,3,1,1.6,-,0.8,1.4,0.2,-,7.17
31,Zack Steffen,27, GK,,,1,90,-,-,-,-,2,-,-,-,7.16
32,Pierre-Emile Højbjerg,26, M(C),,,36,3199,2.2,1.3,0.8,-,1.4,1.3,0.4,-,7.16
33,Jarrod Bowen,25, AM(CLR),FW,,34(2),2993,1,0.6,0.7,-,0.2,0.8,0.1,-,7.15
34,Cristiano Ronaldo,37, M(L),FW,,27(3),2459,0.3,0.1,0.5,-,1,0.1,-,-,7.11
35,John Stones,28, D(CR),,,12(2),1118,0.4,0.8,0.2,0.8,1.8,0.1,0.2,-,7.1
36,Allan Saint-Maximin,25, AM(CLR),FW,,31(4),2812,0.4,0.3,0.6,-,0.1,0.4,0.1,-,7.1
37,Declan Rice,23, D(C),DMC,,35(1),3178,2.2,1.8,0.8,-,1.4,0.9,0.6,-,7.1
38,Thiago,31, M(C),,,17(8),1538,1.9,1,0.8,-,0.5,1.3,0.1,-,7.1
39,Marcos Alonso,31, D(CL),M(L),,25(3),2173,1.5,1.5,0.9,0.1,1.8,0.7,0.2,-,7.09
40,Diogo Jota,25, AM(CLR),FW,,27(8),2373,1.1,0.2,1.2,-,0.2,1.2,0.1,-,7.08
41,Conor Gallagher,22, AM(C),,,33(1),2851,2,0.9,1.9,-,0.7,1.4,0.3,-,7.08
42,James Maddison,25, AM(CLR),,,28(7),2468,1.1,0.3,0.6,-,0.2,0.9,0.1,-,7.07
