,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Kylian Mbappé,23, AM(LR),FW,,34(1),3032,0.3,0.1,0.8,-,0.4,0.2,-,-,8.04
1,Andy Delort,30, AM(R),FW,,3,270,0.7,-,2,-,1.3,0.3,-,-,7.82
2,Lionel Messi,34, AM(CR),FW,,24(2),2153,0.4,0.2,0.2,-,-,0.4,-,-,7.77
3,Neymar,30, AM(CLR),FW,,22,1861,1.3,0.2,1.4,-,0.1,1.1,-,-,7.65
4,Tetê,22, AM(R),,,7(2),585,1.1,0.3,0.4,-,0.1,1.1,-,-,7.48
5,Gaëtan Laborde,28, AM(CLR),FW,,4,342,0.5,1.3,0.8,-,1.3,0.5,-,-,7.47
6,Benjamin Bourigeaud,28, M(CLR),,,38,3215,1.2,0.8,0.7,-,1,1.1,0.1,-,7.44
7,Dimitri Payet,35, M(CLR),FW,,28(3),2597,0.5,0.3,0.3,-,0.1,0.8,-,-,7.44
8,Martin Terrier,25, AM(CL),FW,,37,2805,1.5,0.5,0.8,-,0.5,0.5,0.1,-,7.41
9,Téji Savanier,30, M(C),,,28(1),2422,1.6,0.9,1.6,-,0.4,1.3,-,-,7.4
10,Mamadou Mbow,22, Defender,,,1,90,6,1,-,-,6,-,-,-,7.33
11,Aurélien Tchouaméni,22, DMC,,,33(2),2933,2.5,2.9,1.5,0.1,0.9,0.7,0.2,-,7.32
12,Sofiane Boufal,28, AM(CLR),FW,,28(1),2345,1.5,0.2,1.5,-,-,0.7,0.1,-,7.27
13,Danilo Barbosa,26, D(C),DMC,,1,90,-,2,-,-,9,-,1,-,7.26
14,Lucas Paquetá,24, AM(CR),FW,,32(3),2713,1.9,0.3,1.8,-,0.6,1,0.1,-,7.24
15,Jonathan Clauss,29, D(R),M(R),,35(2),3063,1.7,2,1,-,1.1,0.9,-,-,7.22
16,Marco Verratti,29, M(C),,,23(1),1951,2.5,0.8,1.3,-,0.4,1.3,0.4,1,7.21
