,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Robert Lewandowski,33, FW,,,34,2952,0.3,0.2,0.6,0.1,0.2,0.4,0.1,-,7.89
1,Christopher Nkunku,24, M(CLR),FW,,31(3),2735,0.7,0.4,0.9,-,0.4,0.8,0.1,-,7.64
2,Joshua Kimmich,27, D(CR),DMC,M(R),28,2478,1.4,1.9,0.7,0.1,0.9,1.4,0.3,-,7.6
3,Stefanos Kapino,28, GK,,,1,90,-,-,-,-,-,-,-,-,7.58
4,Erling Håland,21, FW,,,21(3),1915,0.1,-,0.7,-,1.3,-,-,-,7.55
5,Patrik Schick,26, AM(R),FW,,26(1),2094,0.2,0.1,0.5,-,1,0.3,-,-,7.45
6,Florian Wirtz,19, AM(C),,,22(2),1864,1,0.5,0.6,-,0.1,0.8,-,-,7.41
7,Nico Schlotterbeck,22, D(C),,,32,2789,2.3,1.8,1,0.7,4.6,0.5,1,-,7.39
8,Thomas Müller,32, M(CLR),FW,,32,2578,1.1,0.5,0.3,-,0.4,1.2,-,1,7.34
9,Alphonso Davies,21, D(L),M(LR),,20(2),1744,1.5,1,0.7,0.2,0.9,0.8,-,-,7.31
10,Jonas Wind,23, AM(C),FW,,14,1187,0.7,0.4,1,-,0.9,0.2,0.2,-,7.31
11,Serge Gnabry,26, AM(CLR),FW,,25(9),2192,1.4,0.4,0.3,-,0.1,1,-,-,7.3
12,Marco Reus,33, M(CLR),FW,,29,2514,1.6,0.4,0.8,-,1.3,0.9,0.2,-,7.25
13,Jonas Hofmann,29, M(CLR),,,24(2),2082,1.2,0.5,0.9,-,0.3,1,-,-,7.2
14,Moussa Diaby,22, M(CLR),,,32,2773,0.6,0.3,1.2,-,0.1,1,-,-,7.2
15,Leroy Sané,26, M(CLR),FW,,22(10),1982,0.9,0.4,0.8,-,-,0.5,-,-,7.17
16,David Raum,24, D(L),M(LR),,31(1),2762,1.6,0.8,0.8,0.5,1.1,1.1,0.2,1,7.16
17,Kingsley Coman,25, M(LR),FW,,16(5),1369,0.7,0.4,0.4,-,0.1,0.5,-,-,7.13
18,Jude Bellingham,18, M(CLR),,,32,2795,1.6,1.3,1.2,-,0.9,1,0.1,-,7.12
19,Julian Brandt,26, M(CLR),FW,,22(9),2083,1.2,0.8,0.4,-,0.4,1.2,0.1,-,7.12
20,Tom Rothe,17, Defender,,,1(1),94,2,1,1.5,-,1.5,1.5,-,-,7.12
21,Filip Kostic Eintracht,29, M(LR),FW,,28(3),2525,1.4,0.5,0.5,0.1,0.6,1.1,-,-,7.11
22,Anthony Modeste,34, FW,,,31(1),2620,0.3,0.1,1.2,-,0.9,0.5,0.1,-,7.11
23,Diant Ramaj Eintracht,20, Goalkeeper,,,1,90,-,-,-,-,4,-,-,-,7.11
24,Vincenzo Grifo,29, AM(CL),,,33(1),2792,0.8,0.4,0.3,-,0.7,0.5,0.1,-,7.1
25,Nicolas Höfler,32, D(C),DMC,,30,2604,2.4,1.5,1.6,0.1,1.4,1.2,0.7,-,7.09
26,Leon Goretzka,27, M(CR),,,19,1407,1.3,0.9,0.8,0.1,1.2,0.8,0.1,-,7.08
27,Lucas Höler,27, AM(CLR),FW,,30(4),2598,1.2,0.5,1.1,-,1.1,0.4,0.1,-,7.08
28,Sasa Kalajdzic,24, FW,,,13(2),1221,0.7,0.1,0.7,-,0.9,0.5,-,-,7.08
29,Obite Evan Ndicka Eintracht,22, D(CL),,,32,2858,1.9,1.5,1.3,1,4.1,0.5,0.6,1,7.06
30,Danilo Soares,30, D(L),M(L),,30,2568,3.6,2.1,1.1,0.2,2.1,0.9,0.3,-,7.06
31,Timo Hübers,25, D(C),,,20,1742,2.3,2.6,1.3,0.5,4.6,0.9,1,1,7.06
32,Willi Orban,29, D(C),,,30,2646,1.1,1.5,0.4,0.9,4,0.4,0.8,-,7.06
33,Konstantinos Mavropanos,24, D(C),,,31,2711,1.8,2.2,0.7,0.2,5.4,0.7,0.7,-,7.05
34,Josko Gvardiol,20, D(CL),,,28(1),2413,1.6,1.8,1.4,0.6,1.9,0.6,0.4,1,7.04
35,Max Kruse,34, M(CLR),FW,,16,1283,0.3,0.2,0.3,-,0.1,0.9,-,-,7.03
36,Jeremiah St. Juste,25, D(CR),DMC,,7(1),605,1.6,1.8,1.8,0.3,1.6,0.1,0.4,-,7.03
37,Borna Sosa,24, D(L),M(L),,28,2500,0.8,0.9,0.5,0.1,2,0.5,0.1,-,7.02
38,Lennart Grill,23, GK,,,1,90,-,-,-,-,-,-,-,-,7.01
39,Mark Uth,30, AM(CR),FW,,24(6),2041,1.1,0.5,1.1,-,0.4,1.1,-,-,7
40,Kouadio Koné,21, DMC,,,25(1),2107,2.3,1.3,1.4,-,0.5,0.7,0.2,-,6.99
41,Maximilian Arnold,28, M(CR),,,34,2996,1.1,1.1,1.4,0.1,1.6,0.9,0.4,-,6.99
42,Ellyes Skhiri,27, DMC,,,20(2),1820,2.5,1.7,0.8,-,1.4,0.9,0.3,-,6.98
43,Kerem Demirbay,28, M(C),,,23(6),2053,1.8,1.1,1.2,0.1,0.7,0.9,0.3,-,6.98
44,Dayot Upamecano,23, D(C),,,25(3),2210,2.4,1.1,1,0.6,2.4,0.4,0.4,-,6.98
45,Alexander Hack,28, D(C),,,24(4),2078,1.9,1.8,1,0.4,3.4,0.6,0.5,-,6.97
46,Jonas Hector,32, D(L),M(CL),,30,2556,2.5,1.7,0.9,0.1,2.1,1.5,0.3,-,6.97
47,Christopher Trimmel,35, D(CR),M(R),,23(2),1996,2,1.4,1.2,0.2,2.7,0.8,0.1,-,6.97
48,Benjamin Hübner,32, D(C),,,5,378,1.8,1.8,1.6,0.2,1.4,0.4,0.4,-,6.96
49,Anthony Losilla,36, D(C),DMC,,32,2847,2,2.2,1.4,0.1,1.6,1.1,0.3,-,6.96
50,Angeliño,25, D(L),M(L),,26(3),2299,1,1,0.5,0.2,1.1,0.6,0.1,-,6.95
51,Omar Marmoush,23, AM(L),FW,,19(2),1584,1.2,0.3,1.6,-,0.2,0.8,-,-,6.95
52,Jamal Musiala,19, M(CL),,,12(18),1458,1.3,0.6,0.6,-,-,0.7,-,-,6.94
53,Jonathan Tah,26, D(C),,,33,2882,0.8,1.3,0.6,0.5,4.7,0.5,0.6,-,6.94
54,Lucas Hernández,26, D(CL),,,25,2041,2,1.1,0.9,0.6,1.8,0.6,0.4,-,6.94
55,Max Kruse,34, M(CLR),FW,,14,1138,0.6,0.2,0.1,-,0.3,0.5,-,-,6.94
56,Anton Stach,23, DMC,,,20(9),1864,1,1.8,1.2,-,0.8,0.8,0.2,-,6.93
57,Marcel Halstenberg,30, D(CL),M(L),,5(3),506,1.3,0.9,0.5,0.1,1.1,0.6,-,-,6.93
58,Wataru Endo,29, DMC,,,33,2902,2.2,0.9,0.9,-,1.8,1.2,0.4,-,6.93
59,Patrick Wimmer,21, AM(R),,,27(4),2067,1.7,0.9,1.6,-,0.3,1.3,-,-,6.92
60,Alassane Plea,29, AM(CLR),FW,,23(9),1983,0.6,0.1,0.6,-,0.3,0.4,-,-,6.91
61,Breel Embolo,25, AM(CR),FW,,23(5),2076,0.6,0.2,1.4,-,0.3,0.2,0.1,-,6.91
62,Donyell Malen,23, AM(L),FW,,20(7),1696,0.5,0.4,0.4,-,0.3,0.2,-,-,6.9
63,Andrej Kramaric,30, AM(CLR),FW,,30(2),2710,0.3,0.3,0.3,-,0.2,0.3,-,-,6.89
64,Thomas Meunier,30, D(R),M(R),,17,1406,1.7,0.7,1.6,0.4,1.4,1,0.1,-,6.88
65,Mohamed Simakan,22, D(CR),,,23(5),2013,1.7,1.4,0.9,0.3,1.6,0.5,0.4,-,6.88
66,Jeremie Frimpong,21, D(R),M(R),,25,2062,1.3,0.7,0.7,0.2,1.3,0.4,0.2,1,6.88
67,Maximilian Mittelstädt,25, D(L),M(CL),,16(8),1494,2.2,1.9,0.8,-,1.4,1,0.2,-,6.88
68,Mats Hummels,33, D(C),,,20(3),1768,1.5,1.4,0.7,0.3,2.8,0.7,0.6,-,6.88
69,Florian Kainz,29, AM(CLR),,,31(1),2347,1.3,1,1.1,-,0.6,0.9,0.1,-,6.88
70,Florian Grillitsch,26, D(C),M(CL),,16(2),1495,2.1,1.6,0.7,1,2,0.8,0.4,-,6.87
71,Benjamin Pavard,26, D(CLR),M(R),,24(1),2080,1.4,1.4,0.7,0.6,2,0.4,0.6,-,6.87
72,Philipp Lienhart,25, D(C),,,32,2871,0.8,1.6,0.5,0.6,4.9,0.3,0.7,-,6.87
73,Emre Can,28, D(CLR),DMC,,19(5),1691,1.5,1.5,1.3,0.4,1.6,0.6,0.4,-,6.86
74,Reece Oxford,23, D(C),DMC,,30,2694,0.9,2.4,0.9,0.4,5.6,0.5,1.1,-,6.86
75,Ramy Bensebaïni,27, D(CL),DMC,M(L),21(1),1930,1.9,1.8,1.5,0.4,3.2,0.8,0.3,-,6.86
76,Mahmoud Dahoud,26, M(C),,,20(2),1665,1.9,0.8,1,-,0.7,1.2,0.1,-,6.85
77,Karim Onisiwo,30, AM(LR),FW,,28(3),2376,0.6,0.2,1.4,-,0.3,0.5,0.1,-,6.84
78,Edmond Tapsoba,23, D(C),,,19(3),1813,1.6,1.3,0.9,0.5,3.1,0.5,0.7,-,6.84
79,Taiwo Awoniyi,24, FW,,,29(2),2200,0.4,0.1,0.8,-,0.9,0.3,0.1,1,6.84
80,Aarón Martín,25, D(L),M(L),,25(3),2296,1.9,0.7,1.1,0.1,1.2,1.1,0.1,-,6.84
81,Maxence Lacroix,22, D(C),,,29,2497,2,2.1,1.2,0.4,4.8,0.4,0.6,1,6.83
82,Paul Jaeckel,23, D(C),DMC,,22(2),2045,2.1,2.4,1.2,0.3,3.3,0.9,0.4,-,6.83
83,Chris Führich,24, M(CLR),FW,,21(4),1725,1.1,0.3,0.4,-,0.3,0.8,0.1,-,6.83
