,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Kike Hermoso,22, Defender,,,1,90,2,-,1,1,5,-,1,-,7.77
1,Karim Benzema,34, FW,,,31(1),2600,0.3,0.1,0.4,-,0.4,0.2,-,-,7.69
2,Vinícius Júnior,21, AM(L),FW,,30(5),2701,1.3,0.2,1,-,-,1,-,-,7.56
3,Ousmane Dembélé,25, AM(CLR),FW,,15(6),1413,1.1,0.4,0.5,-,0.1,0.8,-,-,7.46
4,Miguel Gutiérrez,20, D(L),,,3,262,2.3,0.7,1,-,0.7,0.7,-,-,7.44
5,Gerard Moreno,30, AM(CR),FW,,14(3),1194,0.3,0.4,0.6,-,0.8,0.4,0.1,-,7.44
6,Nabil Fekir,28, AM(CLR),FW,,33(1),2812,1.3,0.2,1.9,-,0.1,0.9,-,-,7.38
7,Andrii Lunin,23, GK,,,2,180,-,-,0.5,-,1.5,-,-,-,7.32
8,Casemiro,30, DMC,,,31(1),2576,2.5,1.2,1.7,-,1.8,1.2,0.6,-,7.26
9,Joselu,32, FW,,,35(2),3126,0.4,0.2,1.2,-,1.2,0.5,0.1,-,7.25
10,Vedat Muriqi,28, FW,,,16,1439,0.4,0.4,1.7,-,1.8,0.4,-,-,7.22
11,Iker Muniain,29, AM(CLR),,,34(1),2803,0.9,0.5,0.4,-,0.1,0.8,-,-,7.19
12,Iago Aspas,34, AM(CR),FW,,36(1),3094,0.4,0.3,0.6,-,0.5,0.5,0.1,-,7.19
13,Daniel Parejo,33, M(C),,,32(1),2712,1.3,0.9,0.5,-,0.5,1,0.2,-,7.17
14,John Donald,21, Midfielder,,,2,180,3.5,1.5,1,-,1.5,1.5,1.5,-,7.17
15,Mikel Merino,25, M(C),,,33(1),2896,2.1,0.6,1.8,0.1,1.6,1.2,0.3,-,7.16
16,Antoine Griezmann,31, AM(CLR),FW,,3,264,4.3,1,0.7,-,1.3,1.3,-,-,7.15
17,Pedri,19, AM(C),,,10(2),891,1.7,0.4,0.1,-,0.4,1.1,-,-,7.12
18,Memphis Depay,28, AM(CL),FW,,20(8),1850,0.4,0.1,0.8,-,0.1,0.4,-,-,7.1
19,Yannick Carrasco,28, M(CLR),FW,,28(6),2594,1,0.6,0.9,-,0.4,0.7,0.1,-,7.08
20,Sergio Busquets,33, DMC,,,36,3202,2.6,1.3,1.5,0.1,0.8,1,0.2,-,7.05
