,#,player,Unnamed: 2,Date of birth / Age,Nat.,Market value
0,31.0,EdersonEdersonGoalkeeper,Ederson,"Aug 17, 1993 (28)",,€50.00m
1,,EdersonEderson,,,,
2,,Goalkeeper,,,,
3,13.0,Zack SteffenZ. SteffenGoalkeeper,Zack Steffen,"Apr 2, 1995 (27)",,€6.00m
4,,Zack SteffenZ. Steffen,,,,
5,,Goalkeeper,,,,
6,33.0,Scott CarsonS. CarsonGoalkeeper,Scott Carson,"Sep 3, 1985 (36)",,€300Th.
7,,Scott CarsonS. Carson,,,,
8,,Goalkeeper,,,,
9,3.0,Rúben DiasR. DiasCentre-Back,Rúben Dias,"May 14, 1997 (25)",,€75.00m
10,,Rúben DiasR. Dias,,,,
11,,Centre-Back,,,,
12,14.0,Aymeric LaporteA. LaporteCentre-Back,Aymeric Laporte,"May 27, 1994 (28)",,€45.00m
13,,Aymeric LaporteA. Laporte,,,,
14,,Centre-Back,,,,
15,5.0,John StonesJ. StonesCentre-Back,John Stones,"May 28, 1994 (28)",,€28.00m
16,,John StonesJ. Stones,,,,
17,,Centre-Back,,,,
18,6.0,Nathan AkéN. AkéCentre-Back,Nathan Aké,"Feb 18, 1995 (27)",,€25.00m
19,,Nathan AkéN. Aké,,,,
20,,Centre-Back,,,,
21,11.0,Oleksandr ZinchenkoO. ZinchenkoLeft-Back,Oleksandr Zinchenko,"Dec 15, 1996 (25)",,€25.00m
22,,Oleksandr ZinchenkoO. Zinchenko,,,,
23,,Left-Back,,,,
24,22.0,Benjamin MendyB. Mendy Left-Back,Benjamin Mendy,"Jul 17, 1994 (27)",,
25,,Benjamin MendyB. Mendy,,,,
26,,Left-Back,,,,
27,27.0,João CanceloJ. CanceloRight-Back,João Cancelo,"May 27, 1994 (28)",,€60.00m
28,,João CanceloJ. Cancelo,,,,
29,,Right-Back,,,,
30,2.0,Kyle WalkerK. WalkerRight-Back,Kyle Walker,"May 28, 1990 (32)",,€25.00m
31,,Kyle WalkerK. Walker,,,,
32,,Right-Back,,,,
33,16.0,RodriRodriDefensive Midfield,Rodri,"Jun 22, 1996 (25)",,€70.00m
34,,RodriRodri,,,,
35,,Defensive Midfield,,,,
36,25.0,FernandinhoFernandinho Defensive Midfield,Fernandinho,"May 4, 1985 (37)",,€2.00m
37,,FernandinhoFernandinho,,,,
38,,Defensive Midfield,,,,
39,47.0,Phil FodenP. FodenCentral Midfield,Phil Foden,"May 28, 2000 (22)",,€90.00m
40,,Phil FodenP. Foden,,,,
41,,Central Midfield,,,,
42,8.0,Ilkay GündoganI. GündoganCentral Midfield,Ilkay Gündogan,"Oct 24, 1990 (31)",,€35.00m
43,,Ilkay GündoganI. Gündogan,,,,
44,,Central Midfield,,,,
45,17.0,Kevin De BruyneK. De BruyneAttacking Midfield,Kevin De Bruyne,"Jun 28, 1991 (30)",,€90.00m
46,,Kevin De BruyneK. De Bruyne,,,,
47,,Attacking Midfield,,,,
48,20.0,Bernardo SilvaB. SilvaAttacking Midfield,Bernardo Silva,"Aug 10, 1994 (27)",,€75.00m
49,,Bernardo SilvaB. Silva,,,,
50,,Attacking Midfield,,,,
51,80.0,Cole PalmerC. PalmerAttacking Midfield,Cole Palmer,"May 6, 2002 (20)",,€3.00m
52,,Cole PalmerC. Palmer,,,,
53,,Attacking Midfield,,,,
54,7.0,Raheem SterlingR. SterlingLeft Winger,Raheem Sterling,"Dec 8, 1994 (27)",,€85.00m
55,,Raheem SterlingR. Sterling,,,,
56,,Left Winger,,,,
57,10.0,Jack GrealishJ. GrealishLeft Winger,Jack Grealish,"Sep 10, 1995 (26)",,€80.00m
58,,Jack GrealishJ. Grealish,,,,
59,,Left Winger,,,,
60,26.0,Riyad MahrezR. MahrezRight Winger,Riyad Mahrez,"Feb 21, 1991 (31)",,€40.00m
61,,Riyad MahrezR. Mahrez,,,,
62,,Right Winger,,,,
63,9.0,Gabriel JesusG. JesusCentre-Forward,Gabriel Jesus,"Apr 3, 1997 (25)",,€50.00m
64,,Gabriel JesusG. Jesus,,,,
65,,Centre-Forward,,,,
0,1.0,AlissonAlissonGoalkeeper,Alisson,"Oct 2, 1992 (29)",,€60.00m
1,,AlissonAlisson,,,,
2,,Goalkeeper,,,,
3,62.0,Caoimhin KelleherC. KelleherGoalkeeper,Caoimhin Kelleher,"Nov 23, 1998 (23)",,€5.00m
