,#,player,Unnamed: 2,Date of birth / Age,Nat.,Market value
0,1.0,Manuel NeuerM. Neuer Goalkeeper,Manuel Neuer,"Mar 27, 1986 (36)",,€14.00m
1,,Manuel NeuerM. Neuer,,,,
2,,Goalkeeper,,,,
3,26.0,Sven UlreichS. UlreichGoalkeeper,Sven Ulreich,"Aug 3, 1988 (33)",,€900Th.
4,,Sven UlreichS. Ulreich,,,,
5,,Goalkeeper,,,,
6,36.0,Christian FrüchtlC. FrüchtlGoalkeeper,Christian Früchtl,"Jan 28, 2000 (22)",,€600Th.
7,,Christian FrüchtlC. Früchtl,,,,
8,,Goalkeeper,,,,
9,21.0,Lucas HernándezL. HernándezCentre-Back,Lucas Hernández,"Feb 14, 1996 (26)",,€50.00m
10,,Lucas HernándezL. Hernández,,,,
11,,Centre-Back,,,,
12,2.0,Dayot UpamecanoD. UpamecanoCentre-Back,Dayot Upamecano,"Oct 27, 1998 (23)",,€45.00m
13,,Dayot UpamecanoD. Upamecano,,,,
14,,Centre-Back,,,,
15,4.0,Niklas SüleN. SüleCentre-Back,Niklas Süle,"Sep 3, 1995 (26)",,€35.00m
16,,Niklas SüleN. Süle,,,,
17,,Centre-Back,,,,
18,23.0,Tanguy NianzouT. NianzouCentre-Back,Tanguy Nianzou,"Jun 7, 2002 (20)",,€9.00m
19,,Tanguy NianzouT. Nianzou,,,,
20,,Centre-Back,,,,
21,19.0,Alphonso DaviesA. DaviesLeft-Back,Alphonso Davies,"Nov 2, 2000 (21)",,€70.00m
22,,Alphonso DaviesA. Davies,,,,
23,,Left-Back,,,,
24,3.0,Omar RichardsO. RichardsLeft-Back,Omar Richards,"Feb 15, 1998 (24)",,€7.00m
25,,Omar RichardsO. Richards,,,,
26,,Left-Back,,,,
27,5.0,Benjamin PavardB. PavardRight-Back,Benjamin Pavard,"Mar 28, 1996 (26)",,€30.00m
28,,Benjamin PavardB. Pavard,,,,
29,,Right-Back,,,,
