,#,player,Unnamed: 2,Date of birth / Age,Nat.,Market value
0,97.0,Ionut RaduI. RaduGoalkeeper,Ionut Radu,"May 28, 1997 (25)",,€4.00m
1,,Ionut RaduI. Radu,,,,
2,,Goalkeeper,,,,
3,1.0,Samir HandanovicS. Handanovic Goalkeeper,Samir Handanovic,"Jul 14, 1984 (37)",,€2.50m
4,,Samir HandanovicS. Handanovic,,,,
5,,Goalkeeper,,,,
6,21.0,Alex CordazA. CordazGoalkeeper,Alex Cordaz,"Jan 1, 1983 (39)",,€400Th.
7,,Alex CordazA. Cordaz,,,,
8,,Goalkeeper,,,,
9,37.0,Milan SkriniarM. SkriniarCentre-Back,Milan Skriniar,"Feb 11, 1995 (27)",,€65.00m
10,,Milan SkriniarM. Skriniar,,,,
11,,Centre-Back,,,,
12,95.0,Alessandro BastoniA. BastoniCentre-Back,Alessandro Bastoni,"Apr 13, 1999 (23)",,€60.00m
13,,Alessandro BastoniA. Bastoni,,,,
14,,Centre-Back,,,,
15,6.0,Stefan de VrijS. de VrijCentre-Back,Stefan de Vrij,"Feb 5, 1992 (30)",,€35.00m
16,,Stefan de VrijS. de Vrij,,,,
17,,Centre-Back,,,,
18,13.0,Andrea RanocchiaA. RanocchiaCentre-Back,Andrea Ranocchia,"Feb 16, 1988 (34)",,€1.00m
19,,Andrea RanocchiaA. Ranocchia,,,,
20,,Centre-Back,,,,
21,32.0,Federico DimarcoF. DimarcoLeft-Back,Federico Dimarco,"Nov 10, 1997 (24)",,€16.00m
22,,Federico DimarcoF. Dimarco,,,,
23,,Left-Back,,,,
24,11.0,Aleksandar KolarovA. KolarovLeft-Back,Aleksandar Kolarov,"Nov 10, 1985 (36)",,€1.00m
25,,Aleksandar KolarovA. Kolarov,,,,
26,,Left-Back,,,,
27,36.0,Matteo DarmianM. DarmianRight-Back,Matteo Darmian,"Dec 2, 1989 (32)",,€7.00m
28,,Matteo DarmianM. Darmian,,,,
29,,Right-Back,,,,
30,33.0,Danilo D'AmbrosioD. D'AmbrosioRight-Back,Danilo D'Ambrosio,"Sep 9, 1988 (33)",,€3.50m
