,#,player,Unnamed: 2,Date of birth / Age,Nat.,Market value
0,1.0,Thibaut CourtoisT. Courtois Goalkeeper,Thibaut Courtois,"May 11, 1992 (30)",,€60.00m
1,,Thibaut CourtoisT. Courtois,,,,
2,,Goalkeeper,,,,
3,13.0,Andriy LuninA. LuninGoalkeeper,Andriy Lunin,"Feb 11, 1999 (23)",,€2.50m
4,,Andriy LuninA. Lunin,,,,
5,,Goalkeeper,,,,
6,3.0,Éder MilitãoÉ. MilitãoCentre-Back,Éder Militão,"Jan 18, 1998 (24)",,€60.00m
7,,Éder MilitãoÉ. Militão,,,,
8,,Centre-Back,,,,
9,4.0,David AlabaD. AlabaCentre-Back,David Alaba,"Jun 24, 1992 (29)",,€55.00m
10,,David AlabaD. Alaba,,,,
11,,Centre-Back,,,,
12,6.0,Nacho FernándezN. FernándezCentre-Back,Nacho Fernández,"Jan 18, 1990 (32)",,€7.00m
13,,Nacho FernándezN. Fernández,,,,
14,,Centre-Back,,,,
15,5.0,Jesús VallejoJ. VallejoCentre-Back,Jesús Vallejo,"Jan 5, 1997 (25)",,€3.00m
16,,Jesús VallejoJ. Vallejo,,,,
17,,Centre-Back,,,,
18,23.0,Ferland MendyF. MendyLeft-Back,Ferland Mendy,"Jun 8, 1995 (26)",,€40.00m
19,,Ferland MendyF. Mendy,,,,
20,,Left-Back,,,,
21,35.0,Miguel GutiérrezM. GutiérrezLeft-Back,Miguel Gutiérrez,"Jul 27, 2001 (20)",,€6.00m
22,,Miguel GutiérrezM. Gutiérrez,,,,
23,,Left-Back,,,,
24,12.0,MarceloMarcelo Left-Back,Marcelo,"May 12, 1988 (34)",,€3.00m
25,,MarceloMarcelo,,,,
26,,Left-Back,,,,
27,2.0,Daniel CarvajalD. CarvajalRight-Back,Daniel Carvajal,"Jan 11, 1992 (30)",,€18.00m
28,,Daniel CarvajalD. Carvajal,,,,
29,,Right-Back,,,,
30,17.0,Lucas VázquezL. VázquezRight-Back,Lucas Vázquez,"Jul 1, 1991 (30)",,€12.00m
31,,Lucas VázquezL. Vázquez,,,,
32,,Right-Back,,,,
33,14.0,CasemiroCasemiroDefensive Midfield,Casemiro,"Feb 23, 1992 (30)",,€40.00m
