,Name,Market value
0,Ederson,€50.00m
3,Zack Steffen,€6.00m
6,Scott Carson,€300Th.
9,Rúben Dias,€75.00m
12,Aymeric Laporte,€45.00m
15,John Stones,€28.00m
18,Nathan Aké,€25.00m
21,Oleksandr Zinchenko,€25.00m
27,João Cancelo,€60.00m
30,Kyle Walker,€25.00m
33,Rodri,€70.00m
36,Fernandinho,€2.00m
39,Phil Foden,€90.00m
42,Ilkay Gündogan,€35.00m
45,Kevin De Bruyne,€90.00m
48,Bernardo Silva,€75.00m
51,Cole Palmer,€3.00m
54,Raheem Sterling,€85.00m
57,Jack Grealish,€80.00m
60,Riyad Mahrez,€40.00m
63,Gabriel Jesus,€50.00m
66,Alisson,€60.00m
69,Caoimhin Kelleher,€5.00m
72,Loris Karius,€1.50m
75,Adrián,€1.00m
78,Virgil van Dijk,€55.00m
81,Ibrahima Konaté,€30.00m
84,Joe Gomez,€22.00m
87,Joel Matip,€18.00m
90,Nathaniel Phillips,€8.00m
93,Sepp van den Berg,€5.00m
96,Rhys Williams,€4.00m
99,Ben Davies,€2.50m
102,Andrew Robertson,€65.00m
105,Konstantinos Tsimikas,€10.00m
108,Trent Alexander-Arnold,€80.00m
111,Neco Williams,€8.00m
114,Fabinho,€60.00m
117,Naby Keïta,€30.00m
120,Curtis Jones,€30.00m
123,Thiago,€22.00m
126,Jordan Henderson,€18.00m
129,Alex Oxlade-Chamberlain,€18.00m
132,James Milner,€2.00m
135,Sadio Mané,€80.00m
138,Luis Díaz,€45.00m
141,Takumi Minamino,€12.00m
144,Sheyi Ojo,€2.00m
147,Ben Woodburn,€1.50m
150,Mohamed Salah,€100.00m
153,Harvey Elliott,€22.00m
156,Diogo Jota,€60.00m
159,Roberto Firmino,€38.00m
162,Divock Origi,€12.00m
165,Edouard Mendy,€32.00m
168,Kepa Arrizabalaga,€10.00m
171,Marcus Bettinelli,€2.50m
174,Antonio Rüdiger,€35.00m
177,Andreas Christensen,€35.00m
180,Trevoh Chalobah,€20.00m
183,Malang Sarr,€8.00m
186,Thiago Silva,€2.50m
189,Jake Clarke-Salter,€2.00m
192,Ben Chilwell,€38.00m
195,Marcos Alonso,€15.00m
198,Abdul-Rahman Baba,€2.20m
201,Reece James,€55.00m
204,César Azpilicueta,€11.00m
207,N'Golo Kanté,€50.00m
210,Jorginho,€45.00m
213,Mateo Kovacic,€45.00m
216,Saúl Ñíguez,€28.00m
219,Ruben Loftus-Cheek,€20.00m
222,Ross Barkley,€13.00m
225,Billy Gilmour,€12.00m
228,Danny Drinkwater,€1.20m
231,Kenedy,€7.00m
234,Mason Mount,€75.00m
237,Kai Havertz,€70.00m
240,Hakim Ziyech,€32.00m
243,Charly Musonda Jr.,€1.00m
246,Christian Pulisic,€45.00m
249,Callum Hudson-Odoi,€30.00m
252,Romelu Lukaku,€85.00m
255,Timo Werner,€42.00m
258,Pierluigi Gollini,€10.00m
261,Hugo Lloris,€7.00m
264,Brandon Austin,€250Th.
267,Cristian Romero,€40.00m
270,Davinson Sánchez,€30.00m
273,Eric Dier,€22.00m
276,Japhet Tanganga,€15.00m
279,Joe Rodon,€8.00m
282,Sergio Reguilón,€28.00m
285,Ben Davies,€20.00m
288,Emerson Royal,€25.00m
291,Matt Doherty,€12.00m
294,Oliver Skipp,€20.00m
297,Harry Winks,€17.00m
300,Pierre-Emile Höjbjerg,€40.00m
303,Rodrigo Bentancur,€25.00m
306,Ryan Sessegnon,€15.00m
309,Son Heung-Min,€80.00m
312,Steven Bergwijn,€18.00m
315,Dejan Kulusevski,€35.00m
318,Lucas Moura,€20.00m
321,Jack Clarke,€5.00m
324,Harry Kane,€100.00m
327,Alphonse Areola,€9.00m
330,Lukasz Fabianski,€1.00m
333,Darren Randolph,€1.00m
336,David Martin,€250Th.
339,Kurt Zouma,€30.00m
342,Issa Diop,€12.00m
345,Craig Dawson,€3.00m
348,Angelo Ogbonna,€2.00m
351,Aji Alese,€400Th.
354,Arthur Masuaku,€5.00m
357,Aaron Cresswell,€4.00m
360,Vladimir Coufal,€12.00m
363,Ben Johnson,€9.00m
366,Ryan Fredericks,€2.00m
369,Declan Rice,€75.00m
372,Tomas Soucek,€45.00m
375,Alex Kral,€7.00m
378,Conor Coventry,€300Th.
381,Mark Noble,€1.00m
384,Nikola Vlasic,€25.00m
387,Pablo Fornals,€20.00m
390,Manuel Lanzini,€10.00m
393,Saïd Benrahma,€25.00m
396,Jarrod Bowen,€35.00m
399,Andriy Yarmolenko,€3.50m
402,Michail Antonio,€12.00m
405,Aaron Ramsdale,€25.00m
408,Bernd Leno,€10.00m
411,Arthur Okonkwo,€1.00m
414,Ben White,€40.00m
417,Gabriel,€30.00m
420,Rob Holding,€10.00m
423,Kieran Tierney,€32.00m
426,Nuno Tavares,€13.00m
429,Takehiro Tomiyasu,€25.00m
432,Cédric Soares,€5.00m
435,Thomas Partey,€40.00m
438,Granit Xhaka,€20.00m
441,Mohamed Elneny,€9.00m
444,Albert Sambi Lokonga,€16.00m
447,Bukayo Saka,€65.00m
450,Martin Ødegaard,€42.00m
453,Emile Smith Rowe,€40.00m
456,Gabriel Martinelli,€38.00m
459,Nicolas Pépé,€30.00m
462,Alexandre Lacazette,€20.00m
465,Eddie Nketiah,€10.00m
468,Dean Henderson,€18.00m
471,David de Gea,€15.00m
474,Tom Heaton,€1.00m
477,Lee Grant,€250Th.
480,Raphaël Varane,€60.00m
483,Harry Maguire,€40.00m
486,Victor Lindelöf,€24.00m
489,Eric Bailly,€8.00m
492,Phil Jones,€4.00m
495,Luke Shaw,€42.00m
498,Alex Telles,€18.00m
501,Brandon Williams,€10.00m
504,Aaron Wan-Bissaka,€30.00m
507,Diogo Dalot,€18.00m
510,Scott McTominay,€35.00m
513,Nemanja Matić,€6.00m
516,Paul Pogba,€55.00m
519,Donny van de Beek,€25.00m
522,Fred,€22.00m
525,Bruno Fernandes,€90.00m
528,Jesse Lingard,€20.00m
531,Hannibal Mejbri,€5.00m
534,Juan Mata,€3.00m
537,Jadon Sancho,€80.00m
540,Marcus Rashford,€70.00m
543,Anthony Elanga,€15.00m
546,Amad Diallo,€18.00m
549,Shola Shoretire,€3.00m
555,Cristiano Ronaldo,€35.00m
558,Edinson Cavani,€4.00m
561,Jack Butland,€2.00m
564,Vicente Guaita,€1.50m
567,Remi Matthews,€300Th.
570,Marc Guéhi,€30.00m
573,Joachim Andersen,€22.00m
576,Nathan Ferguson,€4.00m
579,James Tomkins,€2.00m
582,Jaroslaw Jach,€650Th.
