,Name,Market value
0,Gianluigi Donnarumma,€50.00m
3,Keylor Navas,€8.00m
6,Alexandre Letellier,€400Th.
9,Garissone Innocent,€300Th.
12,Denis Franchi,€250Th.
15,Marquinhos,€70.00m
18,Presnel Kimpembe,€40.00m
21,Thilo Kehrer,€22.00m
24,Sergio Ramos,€6.00m
27,El Chadaille Bitshiabu,€2.00m
30,Nuno Mendes,€40.00m
33,Abdou Diallo,€18.00m
36,Juan Bernat,€12.00m
39,Layvin Kurzawa,€5.00m
42,Achraf Hakimi,€65.00m
45,Colin Dagba,€7.00m
48,Leandro Paredes,€17.00m
51,Danilo Pereira,€14.00m
54,Nathan Bitumazala,€400Th.
57,Anfane Ahamada,€100Th.
60,Marco Verratti,€50.00m
63,Georginio Wijnaldum,€18.00m
66,Idrissa Gueye,€12.00m
69,Ander Herrera,€10.00m
72,Junior Dina Ebimbe,€5.00m
75,Xavi Simons,€4.00m
78,Edouard Michut,€3.00m
81,Ismaël Gharbi,€1.50m
84,Neymar,€75.00m
87,Julian Draxler,€18.00m
90,Lionel Messi,€50.00m
93,Ángel Di María,€12.00m
96,Kylian Mbappé,€160.00m
99,Mauro Icardi,€22.00m
102,Anthony Lopes,€10.00m
105,Julian Pollersbeck,€800Th.
108,Malcolm Barcola,€250Th.
111,Castello Lukeba,€20.00m
114,Jason Denayer,€14.00m
117,Sinaly Diomandé,€5.00m
120,Jérôme Boateng,€3.50m
123,Damien Da Silva,€1.00m
126,Emerson,€14.00m
129,Henrique,€1.50m
132,Malo Gusto,€12.00m
135,Léo Dubois,€10.00m
138,Thiago Mendes,€9.00m
141,Tanguy Ndombélé,€30.00m
144,Houssem Aouar,€25.00m
147,Maxence Caqueret,€25.00m
150,Pape Cheikh,€1.80m
153,Habib Keïta,€800Th.
156,Romain Faivre,€15.00m
159,Lucas Paquetá,€35.00m
162,Jeff Reine-Adélaïde,€14.00m
165,Karl Toko Ekambi,€15.00m
168,Lenny Pintor,€1.50m
171,Bradley Barcola,€1.00m
174,Tetê,€22.00m
177,Rayan Cherki,€18.00m
180,Moussa Dembélé,€20.00m
183,Tino Kadewere,€6.00m
186,Alfred Gomis,€8.00m
189,Dogan Alemdar,€3.50m
192,Romain Salin,€400Th.
195,Pépé Bonet,€400Th.
198,Loïc Badé,€12.00m
201,Nayef Aguerd,€12.00m
204,Warmed Omari,€8.00m
207,Jérémy Gélin,€2.50m
210,Adrien Truffert,€12.00m
213,Birger Meling,€7.00m
216,Hamari Traoré,€10.00m
219,Lorenz Assignon,€3.00m
222,Lesley Ugochukwu,€3.00m
225,Jonas Martin,€2.50m
228,Benjamin Bourigeaud,€18.00m
231,Baptiste Santamaria,€14.00m
234,Flavien Tait,€8.00m
237,Andy Diouf,€500Th.
240,Lovro Majer,€20.00m
243,Martin Terrier,€25.00m
246,Kamaldeen Sulemana,€18.00m
249,Loum Tchaouna,€2.00m
252,Mathys Tel,€2.00m
255,Jérémy Doku,€20.00m
258,Gaëtan Laborde,€18.00m
261,Serhou Guirassy,€10.00m
264,Matz Sels,€8.00m
267,Eiji Kawashima,€200Th.
270,Alexander Djiku,€10.00m
273,Gerzino Nyamsi,€7.50m
276,Lucas Perrin,€5.00m
279,Ismaël Doukouré,€1.50m
282,Maxime Le Marchand,€1.20m
285,Anthony Caci,€7.00m
288,Frédéric Guilbert,€7.00m
291,Karol Fila,€1.20m
294,Ibrahima Sissoko,€8.00m
297,Jean-Eudes Aholou,€3.00m
300,Habib Diarra,€600Th.
303,Jean-Ricner Bellegarde,€8.00m
306,Sanjin Prcic,€4.00m
309,Dimitri Liénard,€700Th.
312,Adrien Thomasson,€9.00m
315,Nordine Kandil,€400Th.
318,Aymeric Ahmed,€250Th.
321,Moïse Sahi Dion,€800Th.
324,Ludovic Ajorque,€16.00m
327,Habib Diallo,€12.00m
330,Kévin Gameiro,€2.00m
333,Majeed Waris,€1.20m
336,Alexander Nübel,€8.00m
339,Radoslaw Majecki,€3.00m
342,Vito Mannone,€500Th.
345,Benoît Badiashile,€30.00m
348,Axel Disasi,€17.00m
351,Guillermo Maripán,€15.00m
354,Chrislain Matsima,€5.00m
357,Jean Marcelin,€3.00m
360,Caio Henrique,€20.00m
363,Ismail Jakobs,€7.00m
366,Vanderson,€18.00m
369,Ruben Aguilar,€10.00m
372,Djibril Sidibé,€8.00m
375,Aurélien Tchouameni,€60.00m
378,Pelé,€1.00m
381,Youssouf Fofana,€18.00m
384,Jean Lucas,€8.00m
387,Eliot Matazo,€8.00m
390,Cesc Fàbregas,€2.50m
393,Félix Lemaréchal,€600Th.
396,Aleksandr Golovin,€25.00m
399,Maghnes Akliouche,€1.00m
402,Sofiane Diop,€20.00m
405,Gelson Martins,€15.00m
408,Krépin Diatta,€13.00m
411,Kevin Volland,€22.00m
414,Wissam Ben Yedder,€25.00m
417,Myron Boadu,€14.00m
420,Eric Ayiah,€150Th.
423,Pau López,€12.00m
426,Steve Mandanda,€1.50m
429,Simon Ngapandouetnbu,€400Th.
432,William Saliba,€30.00m
435,Duje Caleta-Car,€16.00m
438,Leonardo Balerdi,€10.00m
441,Luan Peres,€7.00m
444,Álvaro González,€2.50m
447,Sead Kolasinac,€3.00m
450,Pol Lirola,€8.00m
453,Boubacar Kamara,€25.00m
456,Pape Gueye,€12.00m
459,Paolo Sciortino,€150Th.
462,Mattéo Guendouzi,€25.00m
465,Gerson,€22.00m
468,Valentin Rongier,€12.00m
471,Oussama Targhalline,€200Th.
474,Bilal Nadir,€150Th.
477,Amine Harit,€10.00m
480,Dimitri Payet,€5.00m
483,Ugo Bertelli,€300Th.
486,Luis Henrique,€6.00m
489,Konrad de la Fuente,€6.00m
492,Salim Ben Seghir,€400Th.
495,Cengiz Ünder,€22.00m
498,Arkadiusz Milik,€16.00m
501,Bamba Dieng,€10.00m
504,Cédric Bakambu,€8.00m
507,Walter Benítez,€14.00m
510,Marcin Bulka,€2.00m
513,Teddy Boulhendi,€150Th.
516,Jean-Clair Todibo,€20.00m
519,Flavius Daniliuc,€8.00m
522,Dante,€800Th.
525,Justin Smith,€300Th.
528,Melvin Bard,€9.00m
531,Jordan Amavi,€6.00m
534,Youcef Atal,€15.00m
537,Jordan Lotomba,€7.00m
540,Khéphren Thuram,€17.00m
543,Pablo Rosario,€10.00m
546,Mario Lemina,€9.00m
549,Morgan Schneiderlin,€3.50m
552,Danilo Barbosa,€3.50m
555,Hicham Boudaoui,€6.50m
558,Alexis Claude-Maurice,€6.00m
561,Ihsan Sacko,€500Th.
564,Justin Kluivert,€15.00m
567,Billal Brahimi,€5.00m
570,Calvin Stengs,€13.00m
573,Amine Gouiri,€42.00m
576,Kasper Dolberg,€17.00m
579,Andy Delort,€13.00m
582,Evann Guessand,€3.00m
585,Wuilker Fariñez,€4.00m
588,Jean-Louis Leca,€500Th.
591,Facundo Medina,€11.00m
594,Kevin Danso,€9.00m
597,Jonathan Gradit,€4.50m
600,Christopher Wooh,€3.00m
603,Massadio Haidara,€2.00m
606,Deiver Machado,€1.80m
609,Jonathan Clauss,€15.00m
612,Cheick Doucouré,€15.00m
615,Patrick Berg,€4.50m
618,Yannick Cahuzac,€300Th.
621,Seko Fofana,€25.00m
624,Mamadou Camara,€150Th.
627,Przemyslaw Frankowski,€8.00m
630,Gaël Kakuta,€7.00m
633,David Costa,€4.50m
636,Wesley Saïd,€2.50m
639,Arnaud Kalimuendo,€18.00m
642,Ignatius Ganago,€5.00m
645,Florian Sotoca,€2.50m
648,Corentin Jean,€1.20m
651,Ibrahima Baldé,€300Th.
654,Alban Lafont,€16.00m
657,Rémy Descamps,€800Th.
660,Denis Petric,€200Th.
663,Andrei Girotto,€5.00m
666,Jean-Charles Castelletto,€4.00m
669,Nicolas Pallois,€1.50m
672,Abdoulaye Sylla,€250Th.
675,Quentin Merlin,€5.00m
678,Charles Traoré,€1.50m
681,Dennis Appiah,€2.00m
684,Fábio,€1.80m
687,Sébastien Corchia,€1.80m
690,Pedro Chirivella,€7.00m
693,Wylan Cyprien,€4.50m
696,Samuel Moutoussamy,€3.00m
699,Ludovic Blas,€16.00m
702,Roli Pereira de Sa,€700Th.
705,Gor Manvelyan,€400Th.
708,Moses Simon,€10.00m
711,Willem Geubbels,€4.00m
714,Osman Bukari,€3.00m
717,Marcus Coco,€2.00m
720,Randal Kolo Muani,€16.00m
723,Kalifa Coulibaly,€1.50m
726,Jean-Kévin Augustin,€1.50m
729,Marco Bizot,€4.50m
732,Gautier Larsonneur,€3.00m
735,Sébastien Cibois,€400Th.
738,Grégoire Coudert,€200Th.
741,Brendan Chardonnet,€5.00m
744,Jean-Kévin Duverne,€4.00m
747,Lilian Brassier,€4.00m
750,Christophe Hérelle,€4.00m
753,Denys Bain,€1.00m
756,Noé Sow,€150Th.
759,Jere Uronen,€2.00m
762,Ronaël Pierre-Gabriel,€5.00m
765,Julien Faussurier,€300Th.
768,Lucien Agoumé,€7.00m
771,Paul Lasne,€500Th.
774,Haris Belkebla,€4.00m
777,Hugo Magnetti,€2.00m
780,Hianga'a Mbock,€1.50m
783,Youcef Belaïli,€2.00m
786,Rafiki Saïd,€500Th.
789,Franck Honorat,€10.00m
792,Romain Del Castillo,€3.00m
795,Martín Satriano,€7.00m
798,Steve Mounié,€7.00m
801,Irvin Cardona,€4.50m
804,Jérémy Le Douaron,€3.00m
807,Léo Jardim,€4.00m
810,Ivo Grbic,€3.50m
813,Orestis Karnezis,€500Th.
816,Adam Jakubech,€500Th.
819,Sven Botman,€30.00m
822,Tiago Djaló,€12.00m
825,José Fonte,€800Th.
828,Gabriel Gudmundsson,€6.00m
831,Domagoj Bradaric,€3.50m
834,Zeki Celik,€18.00m
837,Jérémy Pied,€800Th.
840,Benjamin André,€12.00m
843,Amadou Onana,€10.00m
846,Renato Sanches,€28.00m
849,Xeka,€9.00m
852,Angel Gomes,€7.00m
855,Hatem Ben Arfa,€1.50m
858,Jonathan Bamba,€17.00m
861,Edon Zhegrova,€5.00m
864,Isaac Lihadji,€3.50m
867,Jonathan David,€45.00m
870,Timothy Weah,€12.00m
873,Burak Yilmaz,€1.50m
876,Predrag Rajković,€9.00m
879,Yehvann Diouf,€500Th.
882,Nicolas Penneteau,€150Th.
885,Wout Faes,€10.00m
888,Andreaw Gravillon,€6.50m
891,Yunis Abdelhamid,€1.20m
894,Ghislain Konan,€7.00m
897,Bradley Locko,€2.00m
900,Thomas Foket,€5.00m
903,Maxime Busi,€3.50m
906,Ibrahim Diakité,€200Th.
909,Azor Matusiwa,€7.00m
912,Jens Cajuste,€5.00m
915,Marshall Munetsi,€5.00m
918,Dion Lopy,€2.50m
921,Sambou Sissoko,€500Th.
924,Moreto Cassamá,€3.00m
927,Valon Berisha,€2.50m
930,Martin Adeline,€800Th.
933,Ilan Kebbal,€4.50m
936,Kamory Doumbia,€1.00m
939,Nathanaël Mbuku,€8.00m
942,Arbër Zeneli,€4.50m
945,Mitchell van Bergen,€2.00m
948,Moussa Doumbia,€1.20m
951,Alexis Flips,€2.50m
954,Hugo Ekitike,€28.00m
957,El Bilal Touré,€6.50m
960,Anastasios Donis,€1.00m
963,Fraser Hornby,€1.00m
966,Jonas Omlin,€8.00m
969,Dimitry Bertaud,€1.50m
972,Matis Carvalho,€200Th.
975,Mamadou Sakho,€4.50m
978,Maxime Estève,€4.50m
981,Pedro Mendes,€4.00m
984,Thuler,€2.00m
987,Nicolas Cozza,€5.00m
990,Mihailo Ristic,€3.50m
993,Ambroise Oyongo,€1.80m
996,Thibault Tamas,€200Th.
999,Junior Sambia,€4.50m
1002,Arnaud Souquet,€2.50m
1005,Joris Chotard,€10.00m
1008,Gabriel Barès,€700Th.
1011,Téji Savanier,€12.00m
