,Name,Market value
0,Manuel Neuer,€14.00m
3,Sven Ulreich,€900Th.
6,Christian Früchtl,€600Th.
9,Lucas Hernández,€50.00m
12,Dayot Upamecano,€45.00m
15,Niklas Süle,€35.00m
18,Tanguy Nianzou,€9.00m
21,Alphonso Davies,€70.00m
24,Omar Richards,€7.00m
27,Benjamin Pavard,€30.00m
30,Josip Stanisic,€4.00m
33,Bouna Sarr,€3.00m
36,Joshua Kimmich,€85.00m
39,Marc Roca,€7.00m
42,Leon Goretzka,€70.00m
45,Marcel Sabitzer,€22.00m
48,Corentin Tolisso,€15.00m
51,Jamal Musiala,€55.00m
54,Paul Wanner,€2.00m
57,Malik Tillman,€1.50m
60,Leroy Sané,€70.00m
63,Serge Gnabry,€70.00m
66,Kingsley Coman,€60.00m
69,Thomas Müller,€25.00m
72,Robert Lewandowski,€50.00m
75,Eric Maxim Choupo-Moting,€3.50m
78,Lukas Hradecky,€6.00m
81,Andrey Lunev,€4.00m
84,Lennart Grill,€1.00m
87,Niklas Lomb,€250Th.
90,Edmond Tapsoba,€40.00m
93,Jonathan Tah,€25.00m
96,Odilon Kossounou,€20.00m
99,Piero Hincapié,€17.00m
102,Mitchel Bakker,€14.00m
105,Daley Sinkgraven,€4.50m
108,Jeremie Frimpong,€20.00m
111,Timothy Fosu-Mensah,€4.00m
114,Julian Baumgartlinger,€1.20m
117,Kerem Demirbay,€15.00m
120,Exequiel Palacios,€15.00m
123,Robert Andrich,€13.00m
126,Charles Aránguiz,€5.00m
129,Zidan Sertdemir,€2.00m
132,Florian Wirtz,€70.00m
135,Moussa Diaby,€55.00m
138,Paulinho,€11.00m
141,Amine Adli,€12.00m
144,Karim Bellarabi,€3.50m
147,Patrik Schick,€40.00m
150,Sardar Azmoun,€25.00m
153,Lucas Alario,€10.00m
156,Iker Bravo,€1.00m
159,Gregor Kobel,€20.00m
162,Roman Bürki,€1.80m
165,Luca Unbehaun,€1.50m
168,Marwin Hitz,€1.00m
171,Stefan Drljaca,€200Th.
174,Manuel Akanji,€30.00m
177,Dan-Axel Zagadou,€9.00m
180,Mats Hummels,€9.00m
183,Marin Pongracic,€7.50m
186,Soumaïla Coulibaly,€750Th.
189,Raphaël Guerreiro,€35.00m
192,Nico Schulz,€6.00m
195,Marcel Schmelzer,€500Th.
201,Thomas Meunier,€9.00m
204,Mateu Morey Bauzà,€4.00m
207,Felix Passlack,€2.50m
210,Emre Can,€16.00m
213,Axel Witsel,€4.00m
216,Abdoulaye Kamara,€1.00m
219,Jude Bellingham,€75.00m
222,Mahmoud Dahoud,€18.00m
225,Giovanni Reyna,€42.00m
228,Julian Brandt,€25.00m
231,Marco Reus,€13.00m
234,Reinier,€10.00m
237,Thorgan Hazard,€20.00m
240,Marius Wolf,€5.00m
246,Erling Haaland,€150.00m
249,Donyell Malen,€27.00m
252,Youssoufa Moukoko,€15.00m
255,Steffen Tigges,€1.50m
258,Péter Gulácsi,€11.00m
261,Josep Martínez,€2.50m
264,Philipp Tschauner,€300Th.
267,Josko Gvardiol,€30.00m
270,Lukas Klostermann,€23.00m
273,Mohamed Simakan,€18.00m
276,Willi Orbán,€14.00m
279,Angeliño,€30.00m
282,Marcel Halstenberg,€7.00m
285,Nordi Mukiele,€25.00m
288,Benjamin Henrichs,€12.00m
291,Solomon Bonnah,€750Th.
294,Tyler Adams,€17.00m
297,Konrad Laimer,€26.00m
300,Amadou Haidara,€24.00m
303,Kevin Kampl,€8.00m
306,Sidney Raebiger,€750Th.
309,Ben Klefisch,€200Th.
312,Dani Olmo,€45.00m
315,Dominik Szoboszlai,€28.00m
318,Emil Forsberg,€16.00m
321,Hugo Novoa,€3.00m
324,Christopher Nkunku,€65.00m
327,André Silva,€38.00m
330,Yussuf Poulsen,€21.00m
333,Mark Flekken,€5.50m
336,Noah Atubolu,€1.50m
339,Benjamin Uphoff,€500Th.
342,Nico Schlotterbeck,€28.00m
345,Philipp Lienhart,€17.00m
348,Keven Schlotterbeck,€3.50m
351,Manuel Gulde,€2.00m
354,Kiliann Sildillia,€1.50m
357,Christian Günter,€12.00m
360,Kimberly Ezekwem,€300Th.
363,Hugo Siquet,€7.00m
366,Lukas Kübler,€2.00m
369,Jonathan Schmid,€1.50m
372,Yannik Keitel,€4.00m
375,Nicolas Höfler,€2.50m
378,Maximilian Eggestein,€7.50m
381,Janik Haberer,€4.00m
384,Vincenzo Grifo,€12.00m
387,Noah Weißhaupt,€1.30m
390,Roland Sallai,€10.00m
393,Kevin Schade,€7.00m
396,Woo-yeong Jeong,€5.50m
399,Ermedin Demirovic,€7.50m
402,Lucas Höler,€6.50m
405,Nils Petersen,€1.80m
408,Vincent Vermeij,€400Th.
411,Nishan Burkart,€350Th.
414,Yann Sommer,€5.00m
417,Tobias Sippel,€400Th.
420,Jan Olschowsky,€300Th.
423,Jonas Kersken,€100Th.
426,Matthias Ginter,€24.00m
429,Nico Elvedi,€23.00m
432,Marvin Friedrich,€10.00m
435,Jordan Beyer,€3.00m
438,Tony Jantschke,€1.20m
441,Mamadou Doucouré,€100Th.
444,Ramy Bensebaini,€17.00m
447,Luca Netz,€5.00m
450,Joe Scally,€8.00m
453,Stefan Lainer,€6.00m
456,Christoph Kramer,€4.00m
459,Florian Neuhaus,€22.00m
462,Kouadio Koné,€15.00m
465,Lászlo Bénes,€3.50m
468,Keanan Bennetts,€1.30m
471,Lars Stindl,€3.50m
474,Marcus Thuram,€20.00m
477,Jonas Hofmann,€16.00m
480,Patrick Herrmann,€2.50m
483,Conor Noß,€400Th.
486,Alassane Plea,€15.00m
489,Breel Embolo,€14.00m
492,Marvin Schwäbe,€3.00m
495,Timo Horn,€2.80m
498,Jonas Urbig,€300Th.
501,Matthias Köbbing,€25Th.
504,Luca Kilian,€4.00m
507,Timo Hübers,€3.00m
510,Julian Chabot,€2.80m
513,Bright Arrey-Mbi,€1.30m
516,Jonas Hector,€4.00m
519,Jannes Horn,€3.00m
522,Benno Schmitz,€2.50m
525,Kingsley Ehizibue,€1.30m
528,Ellyes Skhiri,€13.00m
531,Dejan Ljubicic,€6.00m
534,Salih Özcan,€7.00m
537,Niklas Hauptmann,€500Th.
540,Mathias Olesen,€200Th.
543,Ondrej Duda,€5.00m
546,Louis Schaub,€1.80m
549,Tomas Ostrak,€750Th.
552,Florian Kainz,€3.50m
555,Marvin Obuz,€300Th.
558,Jan Thielmann,€5.50m
561,Kingsley Schindler,€800Th.
564,Mark Uth,€3.00m
567,Sebastian Andersson,€3.00m
570,Anthony Modeste,€3.00m
573,Tim Lemperle,€1.00m
576,Robin Zentner,€5.00m
579,Finn Dahmen,€2.00m
582,Lasse Rieß,€200Th.
585,Moussa Niakhaté,€18.00m
588,Jeremiah St. Juste,€16.00m
591,David Nemeth,€3.00m
594,Stefan Bell,€2.50m
597,Alexander Hack,€2.50m
600,Aarón Martín,€5.00m
603,Anderson Lucoqui,€2.50m
606,Silvan Widmer,€5.00m
609,Daniel Brosinski,€600Th.
612,Anton Stach,€8.00m
615,Niklas Tauer,€1.00m
618,Leandro Barreiro,€9.00m
621,Dominik Kohr,€6.00m
624,Merveille Papela,€400Th.
627,Jean-Paul Boëtius,€4.00m
630,Jae-sung Lee,€3.50m
633,Kevin Stöger,€2.30m
636,Delano Burgzorg,€750Th.
639,Paul Nebel,€1.30m
642,Jonathan Burkardt,€17.00m
645,Karim Onisiwo,€3.50m
648,Marcus Ingvartsen,€3.00m
651,Koen Casteels,€14.00m
654,Pavao Pervan,€600Th.
657,Philipp Schulze,€200Th.
660,Niklas Klinger,€100Th.
663,Maxence Lacroix,€20.00m
666,Sebastiaan Bornauw,€13.00m
669,John Anthony Brooks,€12.00m
672,Micky van de Ven,€3.00m
675,Anselmo García McNulty,€300Th.
678,Paulo Otávio,€7.00m
681,Jérôme Roussillon,€7.00m
684,Kevin Mbabu,€12.00m
687,William,€3.00m
690,Xaver Schlager,€27.00m
693,Maximilian Arnold,€17.00m
696,Aster Vranckx,€10.00m
699,Yannick Gerhardt,€5.50m
702,Ridle Baku,€20.00m
705,Kevin Paredes,€4.00m
708,Felix Nmecha,€1.00m
711,Renato Steffen,€2.80m
714,Dodi Lukébakio,€9.00m
717,Luca Waldschmidt,€7.00m
720,Maximilian Philipp,€5.50m
723,Max Kruse,€3.50m
726,Lukas Nmecha,€18.00m
729,Jonas Wind,€10.00m
732,Bartosz Bialek,€4.00m
735,Florian Müller,€6.00m
738,Fabian Bredlow,€500Th.
741,Florian Schock,€200Th.
744,Konstantinos Mavropanos,€17.00m
747,Waldemar Anton,€6.00m
750,Hiroki Ito,€3.00m
753,Borna Sosa,€20.00m
756,Pascal Stenzel,€1.50m
759,Orel Mangala,€15.00m
762,Wataru Endo,€10.00m
765,Atakan Karazor,€3.50m
768,Naouirou Ahamada,€1.80m
771,Clinton Mola,€1.00m
774,Enzo Millot,€2.00m
777,Nikolas Nartey,€1.80m
780,Silas,€15.00m
783,Roberto Massimo,€3.00m
786,Erik Thommy,€1.80m
789,Philipp Förster,€2.50m
792,Mateo Klimowicz,€2.00m
795,Lilian Egloff,€1.00m
798,Ömer Beyaz,€1.00m
801,Daniel Didavi,€700Th.
804,Tanguy Coulibaly,€4.50m
807,Omar Marmoush,€4.50m
810,Chris Führich,€4.00m
813,Sasa Kalajdzic,€22.00m
816,Tiago Tomás,€5.00m
819,Wahid Faghir,€3.00m
822,Alexis Tibidi,€1.20m
825,Mohamed Sankoh,€1.00m
828,Frederik Rönnow,€2.00m
831,Andreas Luthe,€900Th.
834,Jakob Busk,€250Th.
837,Robin Knoche,€6.00m
840,Timo Baumgartl,€5.00m
843,Paul Jaeckel,€3.50m
846,Dominique Heintz,€3.00m
849,Mathis Bruns,€200Th.
852,Niko Gießelmann,€2.30m
855,Bastian Oczipka,€600Th.
858,Julian Ryerson,€4.00m
861,Christopher Trimmel,€1.00m
864,Rani Khedira,€5.50m
867,Grischa Prömel,€5.50m
870,Kevin Möhwald,€2.00m
873,Levin Öztunali,€1.80m
876,András Schäfer,€1.60m
879,Maximilian Somnitz,€200Th.
882,Genki Haraguchi,€3.00m
885,Keita Endo,€1.00m
888,Sheraldo Becker,€4.00m
891,Laurenz Dehl,€250Th.
894,Taiwo Awoniyi,€15.00m
897,Andreas Voglsammer,€1.20m
900,Sven Michel,€1.20m
903,Kevin Behrens,€1.00m
906,Anthony Ujah,€600Th.
909,Suleiman Abdullahi,€400Th.
912,Kevin Trapp,€6.50m
915,Diant Ramaj,€500Th.
918,Jens Grahl,€200Th.
921,Jannik Horz,€200Th.
924,Evan Ndicka,€28.00m
927,Tuta,€10.00m
930,Martin Hinteregger,€9.00m
933,Christopher Lenz,€5.00m
936,Jan Schröder,€200Th.
939,Danny da Costa,€3.50m
942,Almamy Touré,€2.50m
945,Erik Durm,€2.00m
948,Timothy Chandler,€1.50m
951,Kristijan Jakic,€7.50m
954,Stefan Ilsanker,€1.50m
957,Makoto Hasebe,€800Th.
960,Djibril Sow,€17.50m
963,Ajdin Hrustic,€3.00m
966,Sebastian Rode,€2.50m
969,Filip Kostic,€20.00m
972,Daichi Kamada,€22.00m
975,Jesper Lindström,€14.00m
978,Aymen Barkok,€2.00m
981,Antonio Foti,€400Th.
984,Gianluca Schäfer,€150Th.
987,Jens Petter Hauge,€8.00m
990,Ansgar Knauff,€5.00m
993,Rafael Borré,€17.00m
