,Name,Market value
0,Ionut Radu,€4.00m
3,Samir Handanovic,€2.50m
6,Alex Cordaz,€400Th.
9,Milan Skriniar,€65.00m
12,Alessandro Bastoni,€60.00m
15,Stefan de Vrij,€35.00m
18,Andrea Ranocchia,€1.00m
21,Federico Dimarco,€16.00m
24,Aleksandar Kolarov,€1.00m
27,Matteo Darmian,€7.00m
30,Danilo D'Ambrosio,€3.50m
33,Marcelo Brozovic,€40.00m
36,Nicolò Barella,€70.00m
39,Hakan Calhanoglu,€35.00m
42,Roberto Gagliardini,€10.00m
45,Matías Vecino,€5.00m
48,Arturo Vidal,€2.50m
51,Denzel Dumfries,€20.00m
54,Robin Gosens,€35.00m
57,Ivan Perisic,€10.00m
60,Joaquín Correa,€26.00m
63,Lautaro Martínez,€70.00m
66,Edin Dzeko,€4.00m
69,Alexis Sánchez,€3.50m
72,Felipe Caicedo,€2.50m
75,Mike Maignan,€25.00m
78,Ciprian Tatarusanu,€600Th.
81,Antonio Mirante,€500Th.
84,Fikayo Tomori,€45.00m
87,Alessio Romagnoli,€20.00m
90,Pierre Kalulu,€17.00m
93,Simon Kjaer,€8.00m
96,Matteo Gabbia,€7.00m
99,Theo Hernández,€48.00m
102,Fodé Ballo-Touré,€5.00m
105,Davide Calabria,€25.00m
108,Alessandro Florenzi,€7.00m
111,Sandro Tonali,€40.00m
114,Ismaël Bennacer,€30.00m
117,Tiemoué Bakayoko,€13.00m
120,Franck Kessié,€45.00m
123,Rade Krunic,€7.50m
126,Brahim Díaz,€22.00m
129,Daniel Maldini,€2.00m
132,Rafael Leão,€50.00m
135,Ante Rebic,€22.00m
138,Alexis Saelemaekers,€20.00m
141,Junior Messias,€6.50m
144,Samu Castillejo,€4.50m
147,Zlatan Ibrahimovic,€4.00m
150,Marko Lazetić,€3.00m
153,Olivier Giroud,€2.50m
156,Alex Meret,€12.00m
159,David Ospina,€5.00m
162,Davide Marfella,€50Th.
165,Kalidou Koulibaly,€45.00m
168,Amir Rrahmani,€25.00m
171,Axel Tuanzebe,€8.00m
174,Juan Jesus,€4.00m
177,Mário Rui,€8.00m
180,Faouzi Ghoulam,€1.80m
183,Giovanni Di Lorenzo,€25.00m
186,Kévin Malcuit,€2.00m
189,Alessandro Zanoli,€1.00m
192,André Zambo Anguissa,€30.00m
195,Stanislav Lobotka,€15.00m
198,Diego Demme,€10.00m
201,Fabián Ruiz,€55.00m
204,Eljif Elmas,€24.00m
207,Piotr Zielinski,€50.00m
210,Lorenzo Insigne,€25.00m
213,Hirving Lozano,€35.00m
216,Matteo Politano,€27.00m
219,Adam Ounas,€8.00m
222,Victor Osimhen,€60.00m
225,Andrea Petagna,€13.00m
228,Dries Mertens,€5.00m
231,Wojciech Szczesny,€15.00m
234,Mattia Perin,€4.00m
237,Carlo Pinsoglio,€400Th.
240,Matthijs de Ligt,€70.00m
243,Leonardo Bonucci,€8.00m
246,Daniele Rugani,€3.50m
249,Giorgio Chiellini,€1.50m
252,Alex Sandro,€9.00m
255,Luca Pellegrini,€8.00m
258,Danilo,€15.00m
261,Juan Cuadrado,€10.00m
264,Mattia De Sciglio,€6.00m
267,Manuel Locatelli,€35.00m
270,Denis Zakaria,€27.00m
273,Arthur,€20.00m
276,Weston McKennie,€25.00m
279,Adrien Rabiot,€18.00m
282,Aaron Ramsey,€5.00m
285,Marley Aké,€2.20m
288,Federico Chiesa,€70.00m
291,Federico Bernardeschi,€15.00m
294,Paulo Dybala,€40.00m
297,Dušan Vlahović,€85.00m
300,Álvaro Morata,€30.00m
303,Moise Kean,€28.00m
306,Kaio Jorge,€10.00m
309,Juan Musso,€20.00m
312,Marco Sportiello,€1.50m
315,Francesco Rossi,€100Th.
318,Merih Demiral,€30.00m
321,Berat Djimsiti,€20.00m
324,Rafael Tolói,€13.00m
327,José Luis Palomino,€9.00m
330,Giorgio Scalvini,€5.00m
333,Giuseppe Pezzella,€6.00m
336,Joakim Maehle,€17.00m
339,Hans Hateboer,€16.00m
342,Davide Zappacosta,€10.00m
345,Teun Koopmeiners,€25.00m
348,Marten de Roon,€20.00m
351,Remo Freuler,€24.00m
354,Ruslan Malinovskyi,€30.00m
357,Mario Pasalic,€28.00m
360,Matteo Pessina,€18.00m
363,Aleksey Miranchuk,€11.00m
366,Jérémie Boga,€20.00m
369,Valentin Mihaila,€6.00m
372,Bryan Cabezas,€300Th.
375,Josip Ilicic,€3.00m
378,Duván Zapata,€30.00m
381,Luis Muriel,€22.00m
384,Rui Patrício,€8.00m
387,Daniel Fuzato,€800Th.
390,Pietro Boer,€150Th.
393,Roger Ibañez,€25.00m
396,Gianluca Mancini,€25.00m
399,Marash Kumbulla,€18.00m
402,Chris Smalling,€8.00m
405,Leonardo Spinazzola,€20.00m
408,Matías Viña,€9.00m
411,Rick Karsdorp,€13.00m
414,Davide Santon,€800Th.
417,Bryan Cristante,€20.00m
420,Amadou Diawara,€8.00m
423,Ebrima Darboe,€2.00m
426,Filippo Tripi,€300Th.
429,Jordan Veretout,€22.00m
432,Sérgio Oliveira,€13.00m
435,Edoardo Bove,€800Th.
438,Ainsley Maitland-Niles,€12.00m
441,Nicola Zalewski,€2.50m
444,Lorenzo Pellegrini,€45.00m
447,Henrikh Mkhitaryan,€10.00m
450,Stephan El Shaarawy,€7.00m
453,Nicolò Zaniolo,€33.00m
456,Carles Pérez,€6.00m
459,Tammy Abraham,€45.00m
462,Eldor Shomurodov,€10.00m
465,Felix Afena-Gyan,€5.00m
468,Thomas Strakosha,€7.00m
471,Pepe Reina,€800Th.
474,Marius Adamonis,€150Th.
477,Luiz Felipe,€18.00m
480,Patric,€5.00m
483,Francesco Acerbi,€5.00m
486,Stefan Radu,€1.00m
489,Dimitrije Kamenovic,€1.80m
492,Manuel Lazzari,€15.00m
495,Adam Marusic,€7.50m
498,Elseid Hysaj,€7.00m
501,Danilo Cataldi,€5.00m
504,Lucas Leiva,€2.00m
507,Patryk Dziczek,€800Th.
510,Sergej Milinković-Savić,€70.00m
513,Luis Alberto,€32.00m
516,Toma Basic,€9.00m
519,Jean-Daniel Akpa Akpro,€3.20m
522,Mattia Zaccagni,€18.00m
525,Jovane Cabral,€7.00m
528,Raúl Moro,€3.00m
531,Felipe Anderson,€13.00m
534,Pedro,€4.00m
537,Luka Romero,€1.00m
540,Ciro Immobile,€30.00m
543,Vanja Milinković-Savić,€4.50m
546,Etrit Berisha,€800Th.
549,Luca Gemello,€275Th.
552,Bremer,€30.00m
555,David Zima,€7.50m
558,Alessandro Buongiorno,€4.00m
561,Armando Izzo,€3.00m
564,Koffi Djidji,€3.00m
567,Ricardo Rodríguez,€2.00m
570,Cristian Ansaldi,€1.00m
573,Stephane Singo,€15.00m
576,Mërgim Vojvoda,€4.50m
579,Ola Aina,€4.00m
582,Rolando Mandragora,€14.00m
585,Samuele Ricci,€12.00m
588,Dennis Praet,€15.00m
591,Tommaso Pobega,€14.00m
594,Saša Lukić,€12.00m
597,Karol Linetty,€4.00m
600,Mohamed Fares,€4.50m
603,Josip Brekalo,€15.00m
606,Marko Pjaca,€4.00m
609,Magnus Warming,€1.00m
612,Demba Seck,€3.00m
615,Simone Edera,€500Th.
618,Andrea Belotti,€28.00m
621,Antonio Sanabria,€7.50m
624,Pietro Pellegri,€5.00m
627,Simone Zaza,€2.00m
630,Lorenzo Montipò,€3.50m
633,Ivor Pandur,€1.00m
636,Mattia Chiesa,€75Th.
639,Alessandro Berardi,€50Th.
642,Nicolò Casale,€6.00m
645,Koray Günter,€5.00m
648,Pawel Dawidowicz,€4.50m
651,Federico Ceccherini,€3.50m
654,Panagiotis Retsos,€3.50m
657,Bosko Sutalo,€3.00m
660,Diego Coppola,€800Th.
663,Gianluca Frabotta,€2.50m
666,Davide Faraoni,€7.00m
669,Fabio Depaoli,€2.50m
672,Adrien Tamèze,€7.00m
675,Martin Hongla,€4.50m
678,Miguel Veloso,€900Th.
681,Ivan Ilić,€11.00m
684,Daniel Bessa,€2.50m
687,Darko Lazović,€4.00m
690,Antonin Barak,€20.00m
693,Mateusz Praszelik,€1.50m
696,Matteo Cancellieri,€1.00m
699,Gianluca Caprari,€10.00m
702,Giovanni Simeone,€17.00m
705,Kevin Lasagna,€3.50m
708,Marco Silvestri,€6.00m
711,Daniele Padelli,€400Th.
714,Manuel Gasparini,€200Th.
717,Antonio Santurro,€50Th.
720,Nehuén Pérez,€5.00m
723,Bram Nuytinck,€5.00m
726,Pablo Marí,€5.00m
729,Rodrigo Becão,€5.00m
732,Filip Benkovic,€2.00m
735,Destiny Udogie,€9.00m
738,Marvin Zeegelaar,€800Th.
741,Nahuel Molina,€10.00m
744,Brandon Soppy,€6.00m
747,Jens Stryger Larsen,€2.00m
750,Walace,€4.50m
