,Name,Market value
0,Thibaut Courtois,€60.00m
3,Andriy Lunin,€2.50m
6,Éder Militão,€60.00m
9,David Alaba,€55.00m
12,Nacho Fernández,€7.00m
15,Jesús Vallejo,€3.00m
18,Ferland Mendy,€40.00m
21,Miguel Gutiérrez,€6.00m
24,Marcelo,€3.00m
27,Daniel Carvajal,€18.00m
30,Lucas Vázquez,€12.00m
33,Casemiro,€40.00m
36,Federico Valverde,€70.00m
39,Eduardo Camavinga,€55.00m
42,Toni Kroos,€20.00m
45,Dani Ceballos,€14.00m
48,Luka Modric,€10.00m
51,Isco,€7.50m
54,Vinicius Junior,€100.00m
57,Eden Hazard,€12.00m
60,Rodrygo,€60.00m
63,Marco Asensio,€40.00m
66,Gareth Bale,€3.00m
69,Karim Benzema,€30.00m
72,Luka Jović,€16.00m
75,Mariano Díaz,€6.00m
78,Marc-André ter Stegen,€30.00m
81,Neto,€3.00m
84,Arnau Tenas,€1.50m
87,Ronald Araújo,€50.00m
90,Eric García,€18.00m
93,Clément Lenglet,€12.00m
96,Óscar Mingueza,€6.00m
99,Gerard Piqué,€5.00m
102,Samuel Umtiti,€2.00m
105,Jordi Alba,€9.00m
108,Álex Balde,€4.00m
111,Sergiño Dest,€18.00m
114,Moussa Wagué,€1.50m
117,Dani Alves,€1.00m
120,Sergio Busquets,€9.00m
123,Pedri,€80.00m
126,Frenkie de Jong,€60.00m
129,Gavi,€60.00m
132,Nico González,€20.00m
135,Riqui Puig,€7.00m
138,Sergi Roberto,€6.00m
141,Ansu Fati,€60.00m
144,Ferran Torres,€45.00m
147,Ez Abde,€8.00m
150,Ousmane Dembélé,€30.00m
153,Adama Traoré,€20.00m
156,Memphis Depay,€35.00m
159,Pierre-Emerick Aubameyang,€15.00m
162,Martin Braithwaite,€6.00m
165,Luuk de Jong,€4.00m
168,Rui Silva,€15.00m
171,Joel Robles,€1.50m
174,Claudio Bravo,€1.00m
177,Edgar González,€6.00m
180,Marc Bartra,€6.00m
183,Germán Pezzella,€5.00m
186,Víctor Ruiz,€1.50m
189,Álex Moreno,€18.00m
192,Juan Miranda,€5.00m
195,Héctor Bellerín,€20.00m
198,Youssouf Sabaly,€3.00m
201,Martín Montoya,€1.50m
204,Guido Rodríguez,€25.00m
207,William Carvalho,€16.00m
210,Paul Akouokou,€4.00m
213,Andrés Guardado,€1.50m
216,Víctor Camarasa,€1.00m
219,Nabil Fekir,€40.00m
222,Sergio Canales,€20.00m
225,Rodri Sánchez,€4.00m
228,Juanmi,€15.00m
231,Cristian Tello,€5.00m
234,Aitor Ruibal,€3.00m
237,Diego Lainez,€2.50m
240,Joaquín,€1.50m
243,Borja Iglesias,€15.00m
246,Willian José,€12.00m
249,Gerónimo Rulli,€6.00m
252,Sergio Asenjo,€4.00m
255,Pau Torres,€50.00m
258,Aïssa Mandi,€6.00m
261,Raúl Albiol,€3.00m
264,Pervis Estupiñán,€20.00m
267,Alfonso Pedraza,€18.00m
270,Alberto Moreno,€5.00m
273,Juan Foyth,€25.00m
276,Serge Aurier,€10.00m
279,Mario Gaspar,€3.00m
282,Rubén Peña,€2.50m
285,Francis Coquelin,€5.00m
288,Étienne Capoue,€3.00m
291,Giovani Lo Celso,€22.00m
294,Manu Trigueros,€14.00m
297,Dani Parejo,€9.00m
300,Vicente Iborra,€2.00m
303,Moi Gómez,€8.00m
306,Yéremy Pino,€40.00m
309,Samuel Chukwueze,€20.00m
312,Arnaut Danjuma,€50.00m
315,Gerard Moreno,€40.00m
318,Boulaye Dia,€12.00m
321,Paco Alcácer,€9.00m
324,Jan Oblak,€45.00m
327,Benjamin Lecomte,€5.00m
330,José María Giménez,€50.00m
333,Mario Hermoso,€20.00m
336,Stefan Savic,€16.00m
339,Felipe,€6.00m
342,Renan Lodi,€30.00m
345,Reinildo Mandava,€22.00m
348,Sime Vrsaljko,€5.00m
351,Geoffrey Kondogbia,€20.00m
354,Marcos Llorente,€45.00m
357,Rodrigo de Paul,€40.00m
360,Koke,€25.00m
363,Daniel Wass,€6.00m
366,Héctor Herrera,€5.00m
369,Thomas Lemar,€40.00m
372,Yannick Carrasco,€40.00m
375,João Félix,€70.00m
378,Ángel Correa,€45.00m
381,Antoine Griezmann,€35.00m
384,Matheus Cunha,€30.00m
387,Luis Suárez,€8.00m
390,Bono,€18.00m
393,Marko Dmitrović,€5.00m
396,Javi Díaz,€500Th.
399,Jules Koundé,€60.00m
402,Diego Carlos,€40.00m
405,Karim Rekik,€5.00m
408,Marcos Acuña,€18.00m
411,Ludwig Augustinsson,€5.00m
414,Gonzalo Montiel,€14.00m
417,Jesús Navas,€3.00m
420,Thomas Delaney,€7.00m
423,Nemanja Gudelj,€4.00m
426,Fernando,€4.00m
429,Joan Jordán,€22.00m
432,Óliver Torres,€8.00m
435,Ivan Rakitic,€7.00m
438,Papu Gómez,€6.00m
441,Lucas Ocampos,€25.00m
444,Tecatito,€18.00m
447,Erik Lamela,€16.00m
450,Suso,€10.00m
453,Youssef En-Nesyri,€25.00m
456,Rafa Mir,€16.00m
459,Anthony Martial,€16.00m
462,Munir El Haddadi,€8.00m
465,Iván Romero,€800Th.
468,Álex Remiro,€22.00m
471,Mathew Ryan,€5.00m
474,Robin Le Normand,€30.00m
477,Aritz Elustondo,€20.00m
480,Igor Zubeldia,€15.00m
483,Jon Pacheco,€1.00m
486,Aihen Muñoz,€6.00m
489,Diego Rico,€3.00m
492,Nacho Monreal,€1.00m
495,Andoni Gorosabel,€10.00m
498,Joseba Zaldua,€4.00m
501,Martín Zubimendi,€30.00m
504,Asier Illarramendi,€3.00m
507,Mikel Merino,€50.00m
510,Rafinha,€9.00m
513,Ander Guevara,€5.00m
516,Beñat Turrientes,€3.00m
519,Jon Guridi,€1.20m
522,David Silva,€4.00m
525,Mikel Oyarzabal,€60.00m
528,Ander Barrenetxea,€9.00m
531,Näis Djouahra,€2.00m
534,Adnan Januzaj,€12.00m
537,Portu,€9.00m
540,Alexander Isak,€30.00m
543,Alexander Sörloth,€10.00m
546,Carlos Fernández,€5.00m
549,Julen Lobete,€5.00m
552,Rubén Blanco,€3.00m
555,Matías Dituro,€1.00m
558,Joseph Aidoo,€7.00m
561,Néstor Araújo,€4.00m
564,Jeison Murillo,€3.50m
567,José Fontán,€1.00m
570,Carlos Domínguez,€1.00m
573,Javi Galán,€12.00m
576,Hugo Mallo,€4.00m
579,Kevin Vázquez,€2.00m
582,Renato Tapia,€10.00m
585,Fran Beltrán,€15.00m
588,Orbelín Pineda,€4.00m
591,Augusto Solari,€2.50m
594,Denis Suárez,€10.00m
597,Franco Cervi,€5.00m
600,Nolito,€1.20m
603,Brais Méndez,€18.00m
606,Iago Aspas,€7.00m
609,Thiago Galhardo,€2.00m
615,Unai Simón,€25.00m
618,Julen Agirrezabala,€5.00m
621,Jokin Ezkieta,€300Th.
624,Iñigo Martínez,€25.00m
627,Yeray Álvarez,€13.00m
630,Dani Vivian,€12.00m
633,Unai Núñez,€9.00m
636,Yuri Berchiche,€3.00m
639,Mikel Balenziaga,€1.20m
642,Iñigo Lekue,€3.00m
645,Ander Capa,€2.50m
648,Óscar de Marcos,€1.80m
651,Álex Petxa,€1.00m
654,Mikel Vesga,€3.00m
657,Unai Vencedor,€20.00m
660,Oier Zarraga,€3.50m
663,Dani García,€3.00m
666,Iker Muniain,€16.00m
669,Nico Serrano,€2.50m
672,Álex Berenguer,€12.00m
675,Nico Williams,€12.00m
678,Oihan Sancet,€15.00m
681,Iñaki Williams,€25.00m
684,Asier Villalibre,€3.00m
687,Raúl García,€2.50m
690,Stole Dimitrievski,€3.00m
693,Luca Zidane,€2.00m
696,Alejandro Catena,€4.00m
699,Nikola Maras,€1.20m
702,Esteban Saveljich,€800Th.
705,Mario Suárez,€300Th.
708,Fran García,€7.50m
711,Kévin Rodrigues,€1.80m
714,Iván Balliu,€2.00m
717,Mario Hernández,€800Th.
720,Santi Comesaña,€4.00m
723,Unai López,€4.00m
726,Óscar Valentín,€3.00m
729,Pathé Ciss,€2.00m
732,Randy Nteka,€4.00m
735,Óscar Trejo,€3.00m
738,Álvaro García,€6.00m
741,Martín Merquelanz,€1.50m
744,Bebé,€800Th.
747,Isi Palazón,€3.00m
750,Sergi Guardiola,€3.00m
753,Radamel Falcao,€2.00m
756,Mamadou Sylla,€1.20m
759,Sergio Herrera,€8.00m
762,Juan Pérez,€600Th.
765,David García,€20.00m
768,Unai García,€1.50m
771,Aridane Hernández,€1.50m
774,Jonás Ramalho,€800Th.
777,Manu Sánchez,€10.00m
780,Juan Cruz,€2.00m
783,Cote,€1.50m
786,Nacho Vidal,€5.00m
789,Jesús Areso,€800Th.
792,Lucas Torró,€5.00m
795,Oier Sanjurjo,€500Th.
798,Jon Moncayola,€12.00m
801,Darko Brasanac,€2.00m
804,Iñigo Pérez,€600Th.
807,Roberto Torres,€3.00m
810,Javi Martínez,€2.50m
813,Rubén García,€8.00m
816,Kike Barja,€3.00m
819,Chimy Ávila,€8.00m
822,Ante Budimir,€6.00m
825,Kike García,€1.80m
828,Barbero,€500Th.
831,David Soria,€8.00m
834,Rubén Yáñez,€1.50m
837,Diego Conde,€300Th.
840,Djené,€10.00m
843,Jorge Cuenca,€8.00m
846,Erick Cabaco,€1.80m
849,Stefan Mitrović,€1.80m
852,Gastón Álvarez,€500Th.
855,Mathías Olivera,€15.00m
858,Jonathan Silva,€1.80m
861,Juan Iglesias,€1.50m
864,Damián Suárez,€1.50m
867,Nemanja Maksimović,€14.00m
870,Florentino,€5.00m
873,Okay Yokuslu,€3.00m
876,Mauro Arambarri,€15.00m
879,Carles Aleñá,€9.00m
882,Gonzalo Villar,€5.00m
885,Jakub Jankto,€4.00m
888,Óscar Rodríguez,€9.00m
891,Vitolo,€1.50m
894,Enes Ünal,€25.00m
897,Borja Mayoral,€9.00m
900,Sandro Ramírez,€3.50m
903,Jaime Mata,€3.00m
906,Giorgi Mamardashvili,€10.00m
909,Jasper Cillessen,€3.00m
912,Jaume Doménech,€2.00m
915,Omar Alderete,€10.00m
918,Gabriel Paulista,€7.00m
921,Mouctar Diakhaby,€7.00m
924,Eray Cömert,€1.50m
927,Cristhian Mosquera,€1.00m
930,José Gayà,€40.00m
933,Jesús Vázquez,€5.00m
936,Toni Lato,€1.50m
939,Thierry Correia,€8.00m
942,Dimitri Foulquier,€4.00m
945,Hugo Guillamón,€20.00m
948,Uroš Račić,€7.00m
951,Carlos Soler,€50.00m
954,Yunus Musah,€15.00m
957,Ilaix Moriba,€9.00m
960,Koba Koindredi,€1.00m
963,Gonçalo Guedes,€40.00m
966,Bryan Gil,€18.00m
969,Denis Cheryshev,€2.50m
972,Hélder Costa,€5.00m
975,Maxi Gómez,€12.00m
978,Hugo Duro,€10.00m
981,Marcos André,€5.00m
984,Jeremías Ledesma,€6.00m
987,David Gil,€800Th.
990,Fali,€3.00m
993,Víctor Chust,€2.50m
996,Varazdat Haroyan,€1.20m
999,Juan Cala,€900Th.
