,Unnamed: 0,Name,Market value
0,0,Ederson,50.00m
1,3,Zack Steffen,6.00m
2,6,Scott Carson,300Th.
3,9,Rúben Dias,75.00m
4,12,Aymeric Laporte,45.00m
5,15,John Stones,28.00m
6,18,Nathan Aké,25.00m
7,21,Oleksandr Zinchenko,25.00m
8,27,João Cancelo,60.00m
9,30,Kyle Walker,25.00m
10,33,Rodri,70.00m
11,36,Fernandinho,2.00m
12,39,Phil Foden,90.00m
13,42,Ilkay Gündogan,35.00m
14,45,Kevin De Bruyne,90.00m
15,48,Bernardo Silva,75.00m
16,51,Cole Palmer,3.00m
17,54,Raheem Sterling,85.00m
18,57,Jack Grealish,80.00m
19,60,Riyad Mahrez,40.00m
20,63,Gabriel Jesus,50.00m
21,66,Alisson,60.00m
22,69,Caoimhin Kelleher,5.00m
23,72,Loris Karius,1.50m
24,75,Adrián,1.00m
25,78,Virgil van Dijk,55.00m
26,81,Ibrahima Konaté,30.00m
27,84,Joe Gomez,22.00m
28,87,Joel Matip,18.00m
29,90,Nathaniel Phillips,8.00m
30,93,Sepp van den Berg,5.00m
31,96,Rhys Williams,4.00m
32,99,Ben Davies,2.50m
33,102,Andrew Robertson,65.00m
34,105,Konstantinos Tsimikas,10.00m
35,108,Trent Alexander-Arnold,80.00m
36,111,Neco Williams,8.00m
37,114,Fabinho,60.00m
38,117,Naby Keïta,30.00m
39,120,Curtis Jones,30.00m
40,123,Thiago,22.00m
41,126,Jordan Henderson,18.00m
42,129,Alex Oxlade-Chamberlain,18.00m
43,132,James Milner,2.00m
44,135,Sadio Mané,80.00m
45,138,Luis Díaz,45.00m
46,141,Takumi Minamino,12.00m
47,144,Sheyi Ojo,2.00m
48,147,Ben Woodburn,1.50m
49,150,Mohamed Salah,100.00m
50,153,Harvey Elliott,22.00m
51,156,Diogo Jota,60.00m
52,159,Roberto Firmino,38.00m
53,162,Divock Origi,12.00m
54,165,Edouard Mendy,32.00m
55,168,Kepa Arrizabalaga,10.00m
56,171,Marcus Bettinelli,2.50m
57,174,Antonio Rüdiger,35.00m
58,177,Andreas Christensen,35.00m
59,180,Trevoh Chalobah,20.00m
60,183,Malang Sarr,8.00m
61,186,Thiago Silva,2.50m
62,189,Jake Clarke-Salter,2.00m
63,192,Ben Chilwell,38.00m
64,195,Marcos Alonso,15.00m
65,198,Abdul-Rahman Baba,2.20m
66,201,Reece James,55.00m
67,204,César Azpilicueta,11.00m
68,207,N'Golo Kanté,50.00m
69,210,Jorginho,45.00m
70,213,Mateo Kovacic,45.00m
71,216,Saúl Ñíguez,28.00m
72,219,Ruben Loftus-Cheek,20.00m
73,222,Ross Barkley,13.00m
74,225,Billy Gilmour,12.00m
75,228,Danny Drinkwater,1.20m
76,231,Kenedy,7.00m
77,234,Mason Mount,75.00m
78,237,Kai Havertz,70.00m
79,240,Hakim Ziyech,32.00m
80,243,Charly Musonda Jr.,1.00m
81,246,Christian Pulisic,45.00m
82,249,Callum Hudson-Odoi,30.00m
83,252,Romelu Lukaku,85.00m
84,255,Timo Werner,42.00m
85,258,Pierluigi Gollini,10.00m
86,261,Hugo Lloris,7.00m
87,264,Brandon Austin,250Th.
88,267,Cristian Romero,40.00m
89,270,Davinson Sánchez,30.00m
90,273,Eric Dier,22.00m
91,276,Japhet Tanganga,15.00m
92,279,Joe Rodon,8.00m
