Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Kevin De Bruyne Man City,30, M(CLR),FW,,25(5),15,8,2.6,2.9,1,0.9,0.1,0.7,1.3,7.64,2205
Mohamed Salah Liverpool,29, AM(CLR),FW,,30(5),23,13,4,1.8,1.5,0.7,0.3,2.3,2.8,7.54,2763
Son Heung-Min Tottenham,29, M(CLR),FW,,35,23,7,2.5,2.1,1.5,1,0.5,1.3,2.1,7.52,3021
Trent Alexander-Arnold Liverpool,23, D(R),M(R),,32,2,12,1.6,2.8,0.6,0.2,0.3,0.6,1.3,7.51,2854
Kenedy Chelsea,26, D(L),M(LR),,1,-,1,1,2,1,-,-,3,2,7.46,59
Harry Kane Tottenham,28, AM(C),FW,,36(1),17,9,3.6,1.4,1.5,1.5,0.4,1.6,2.6,7.45,3232
Rodri Man City,25, DMC,,,33,7,2,1.4,0.9,0.4,0.6,-,0.7,0.5,7.44,2887
Luis Díaz Liverpool,25, AM(L),,,11(2),4,3,2.9,1.5,2.4,1.1,0.2,2,2.1,7.44,964
João Cancelo Man City,28, D(LR),M(R),,36,1,7,2.3,1.1,1.6,0.7,0.1,0.7,1.3,7.43,3228
Ben Chilwell Chelsea,25, D(L),M(L),,6(1),3,1,1.9,1.4,0.4,2.1,0.3,0.4,1.9,7.42,541
Kieran Trippier Newcastle,31, D(R),M(R),,5(1),2,-,0.3,1.2,0.2,0.5,-,0.2,0.2,7.38,430
Christian Eriksen Brentford,30, M(CLR),,,10(1),1,4,2,2.7,0.7,0.3,-,0.8,1.6,7.37,938
Joel Matip Liverpool,30, D(C),,,31,3,3,1.1,0.4,0.3,0.4,-,0.2,0.4,7.35,2790
Phil Foden Man City,22, AM(CLR),FW,,24(4),9,5,2,1.4,1.3,0.8,0.5,1.2,1.7,7.3,2133
Sadio Mané Liverpool,30, AM(CLR),FW,,32(2),16,2,2.9,1.2,1.4,1.5,0.6,1.7,3.1,7.29,2825
Ivan Toney Brentford,26, FW,,,32(1),12,5,2.7,1.3,0.7,2.4,0.8,1.3,3.3,7.28,2908
Bernardo Silva Man City,27, M(CLR),FW,,33(2),8,4,1.3,1.7,1.5,0.9,0.3,0.7,1.5,7.28,2861
Kristoffer Klaesson Leeds,21, Goalkeeper,,,0(1),-,-,-,-,-,-,-,-,-,7.27,35
Danny Ward Leicester,28, GK,,,1,-,-,-,-,-,-,-,-,-,7.25,90
Rodrigo Bentancur Tottenham,24, M(C),,,16(1),-,4,0.8,0.9,0.8,0.8,-,0.8,0.7,7.24,1367
Reece James Chelsea,22, D(CR),DMC,M(R),22(4),5,9,1.4,1.8,1.4,1.2,0.2,0.8,1,7.24,1868
Ilkay Gündogan Man City,31, M(C),,,20(7),8,4,2,1.4,0.9,0.4,0.1,0.7,0.9,7.24,1856
Ferran Torres Man City,22, AM(LR),FW,,4,2,1,3.3,0.3,1,0.3,0.3,0.5,1,7.23,305
Andrew Robertson Liverpool,28, D(L),M(L),,29,3,10,0.6,1.9,0.4,0.3,0.1,0.5,0.8,7.23,2541
Gabriel Jesus Man City,25, AM(LR),FW,,21(7),8,8,2.3,1.4,1.6,0.9,0.4,1,2.4,7.2,1880
Raheem Sterling Man City,27, M(CLR),FW,,23(7),13,5,1.9,1.4,1.8,1.2,0.3,1.8,2.1,7.2,2127
Dejan Kulusevski Tottenham,22, AM(CR),FW,,14(4),5,8,1.4,1.4,1.4,0.8,0.2,1,2.1,7.19,1267
Mason Mount Chelsea,23, M(CLR),,,27(5),11,10,2.4,1.8,0.6,0.7,0.2,1.1,2.2,7.19,2365
Virgil van Dijk Liverpool,30, D(C),,,34,3,1,1,0.3,0.2,0.2,-,0.1,0.1,7.18,3060
Jack Grealish Man City,26, AM(CL),FW,,22(4),3,3,1.7,2,1.5,2.1,0.2,1.1,1.2,7.17,1917
John McGinn Aston Villa,27, M(C),,,35,3,4,1.2,1.5,1.3,2.3,-,0.8,1.4,7.17,3092
Zack Steffen Man City,27, GK,,,1,-,-,-,-,-,-,-,-,-,7.16,90
Pierre-Emile Højbjerg Tottenham,26, M(C),,,36,2,2,0.9,0.7,1.2,1.1,-,0.6,0.9,7.16,3199
Jarrod Bowen West Ham,25, AM(CLR),FW,,34(2),12,10,2.2,1.1,1.4,1.2,0.4,1.4,1.8,7.15,2993
Cristiano Ronaldo Man Utd,37, M(L),FW,,27(3),18,3,3.7,0.9,0.7,0.6,1.1,1,1.7,7.11,2459
John Stones Man City,28, D(CR),,,12(2),1,-,0.6,0.3,0.6,0.4,-,0.1,0.3,7.1,1118
Allan Saint-Maximin Newcastle,25, AM(CLR),FW,,31(4),5,5,1.8,1.4,4.3,1.4,0.4,2.6,3.4,7.1,2812
Declan Rice West Ham,23, D(C),DMC,,35(1),1,4,0.7,0.7,1.4,0.3,-,0.6,0.7,7.1,3178
Thiago Liverpool,31, M(C),,,17(8),1,4,1,1.2,0.8,0.5,-,0.5,0.6,7.1,1538
Marcos Alonso Chelsea,31, D(CL),M(L),,25(3),4,4,1.5,1.5,0.5,1,0.1,0.9,1.5,7.09,2173
Diogo Jota Liverpool,25, AM(CLR),FW,,27(8),15,4,2.6,1.1,0.8,1.1,0.1,0.9,1.8,7.08,2373
Conor Gallagher Crystal Palace,22, AM(C),,,33(1),8,3,1.5,1.1,1.3,1.9,0.1,1.5,1.8,7.08,2851
James Maddison Leicester,25, AM(CLR),,,28(7),12,8,2.1,1.4,0.9,1.8,0.1,0.9,1.2,7.07,2468
Moisés Caicedo Brighton,20, M(C),,,8,1,1,1.3,0.5,0.9,1.4,0.1,1.3,1.3,7.07,664
Thiago Silva Chelsea,37, D(C),,,28(4),3,-,0.6,0.2,0.2,0.4,-,0.1,0.2,7.06,2651
Bukayo Saka Arsenal,20, D(L),M(CLR),,36(2),11,7,2.6,1.8,1.1,1.6,0.4,1.2,2.2,7.06,2996
Oleksandr Zinchenko Man City,25, D(L),M(CLR),,10(5),-,4,0.8,1.1,0.5,0.1,0.1,0.4,0.7,7.05,1045
Mateo Kovacic Chelsea,28, M(CL),,,16(9),2,5,0.9,1.1,1.5,0.8,-,0.9,0.7,7.04,1557
Bruno Guimarães Newcastle,24, DMC,,,11(6),5,1,1.4,0.7,1.3,2.1,0.2,1.7,1.4,7.04,1034
Bruno Fernandes Man Utd,27, M(CLR),,,35(1),10,6,2.5,2.5,0.7,1.3,0.1,1.1,1.3,7.03,3120
Trevoh Chalobah Chelsea,22, D(CR),DMC,,17(3),3,1,0.5,0.2,0.5,0.7,-,0.4,0.5,7.03,1451
Konstantinos Tsimikas Liverpool,26, D(L),,,9(4),-,2,0.6,1.9,0.6,0.5,-,0.4,0.6,7.03,874
Caoimhin Kelleher Liverpool,23, GK,,,2,-,-,-,-,-,0.5,-,-,-,7.02,180
Kepa Arrizabalaga Chelsea,27, GK,,,4,-,-,-,-,-,0.3,-,-,-,7.02,360
James Ward-Prowse Southampton,27, M(CR),,,36,10,5,1.5,2,0.3,0.4,-,0.7,0.6,7.01,3217
Toti Wolves,23, D(C),,,4,-,-,0.3,-,1.3,0.8,0.3,0.5,0.8,7.01,360
Christian Nørgaard Brentford,28, D(C),DMC,,35,3,4,0.8,0.8,0.5,0.9,-,0.7,0.7,7,3059
N'Golo Kanté Chelsea,31, DMC,,,21(5),2,4,0.7,0.9,1.3,0.4,-,1.1,1.3,7,1778
Fabinho Liverpool,28, D(CR),DMC,,26(3),5,1,0.7,0.6,0.4,1,-,0.4,0.8,7,2316
Riyad Mahrez Man City,31, AM(CLR),FW,,15(13),11,5,2.2,1.4,0.9,0.5,0.1,0.8,1.5,7,1493
Paul Pogba Man Utd,29, M(CL),,,16(4),1,9,1.6,1.2,2,1.5,-,1.4,2.1,7,1355
Yves Bissouma Brighton,25, M(C),,,25(1),1,2,0.8,0.3,1.3,0.7,-,1,1.2,6.99,2117
Matt Targett Newcastle,26, D(L),M(L),,16,-,-,0.4,1.2,0.6,0.8,0.1,0.3,0.8,6.99,1440
Wilfried Zaha Crystal Palace,29, AM(LR),FW,,31(2),14,1,2.1,1.4,2.3,3.1,0.7,3.3,3.8,6.99,2761
Mason Greenwood Man Utd,20, AM(R),FW,,16(2),5,1,2.7,0.9,1.8,0.9,0.2,0.9,1.4,6.98,1281
Dan Burn Newcastle,30, D(CL),M(L),,16,-,1,0.7,0.3,-,0.4,0.3,0.2,0.3,6.98,1440
Tomas Soucek West Ham,27, DMC,,,34(1),5,1,1.3,0.6,0.3,0.5,0.1,0.5,1.1,6.98,3062
Ethan Pinnock Brentford,29, D(C),,,32,1,1,0.5,0.3,0.3,0.4,-,0.2,0.4,6.97,2698
James Tarkowski Burnley,29, D(C),,,35,1,2,0.6,0.3,0.1,0.5,0.1,0.1,0.4,6.97,3107
Raphinha Leeds,25, AM(LR),FW,,34(1),11,3,2.5,1.9,1.8,1.3,0.4,1,2.8,6.97,2923
Matt Doherty Tottenham,30, D(LR),M(LR),,9(6),2,4,1.1,1,0.4,0.3,-,0.4,1.1,6.96,874
Richarlison Everton,25, AM(CLR),FW,,28(2),10,5,2.4,1,1.3,2.3,0.7,1.8,3.1,6.96,2528
Philippe Coutinho Aston Villa,29, M(CLR),,,16(3),5,3,2.3,1.3,1.1,1.1,0.2,1.1,1.8,6.96,1339
Jorginho Chelsea,30, DMC,,,26(3),6,2,0.6,0.9,0.6,1.3,-,0.7,0.8,6.96,2279
Rayan Aït-Nouri Wolves,21, D(L),M(L),,20(3),1,2,0.6,0.7,1.8,0.9,0.1,1.2,1.9,6.96,1828
Rúben Dias Man City,25, D(C),,,27(2),2,4,0.6,0.5,0.1,0.3,0.1,0.1,0.3,6.96,2404
Thomas Partey Arsenal,28, D(R),M(CR),,23(1),2,1,1.8,0.7,1.5,0.7,-,0.7,1.4,6.96,2032
Dwight McNeil Burnley,22, M(LR),,,35(3),-,1,1.4,1.2,2.4,0.9,-,1.3,2.1,6.96,3114
Sergio Reguilón Tottenham,25, D(L),M(L),,22(3),2,3,0.8,1.2,0.8,1,-,0.5,1.2,6.95,1923
Wilfred Ndidi Leicester,25, D(C),DMC,,18(1),-,-,0.7,0.1,0.6,1.2,0.1,0.8,1.3,6.95,1619
Jamie Vardy Leicester,35, AM(L),FW,,20(5),15,2,2.2,0.7,0.4,0.5,0.8,0.3,1,6.95,1806
Marc Cucurella Brighton,23, D(CL),M(L),,35,1,1,0.5,1.2,0.8,0.9,0.1,0.4,1.1,6.94,3092
Michail Antonio West Ham,32, D(R),M(CLR),FW,34(2),10,8,2.3,1.3,1.4,1.4,0.4,2,3.8,6.94,2981
Adama Traoré Wolves,26, M(CLR),FW,,10(10),1,-,1.2,0.9,4.2,1.3,0.5,1.5,2.3,6.94,1065
Lucas Digne Aston Villa,28, D(CL),M(L),,16,-,4,0.6,1.9,0.2,1,0.2,0.8,0.8,6.94,1272
Cristian Romero Tottenham,24, D(C),,,21(1),1,-,0.3,0.3,0.4,0.7,0.1,0.2,0.6,6.92,1846
Hakim Ziyech Chelsea,29, M(CLR),,,14(9),4,3,2.3,1.3,1.2,1.3,0.2,1,2,6.92,1317
Jason Steele Brighton,31, GK,,,1,-,-,-,-,-,-,-,-,-,6.92,90
