Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Kylian Mbappé,23, AM(LR),FW,,34(1),28,17,4.2,2,3.2,1.5,1.1,1.6,3.2,8.04,3032
Andy Delort,30, AM(R),FW,,3,2,1,4.7,3,0.3,1,-,0.7,3.3,7.82,270
Lionel Messi,34, AM(CR),FW,,24(2),6,14,3.4,2.4,2.5,1.3,0.4,1.6,1.8,7.77,2153
Neymar,30, AM(CLR),FW,,22,13,6,2.5,2.8,2.6,3.2,0.5,3,3.7,7.65,1861
Tetê,22, AM(R),,,7(2),2,5,1.9,1.4,2.4,2,0.3,1.2,1.6,7.48,585
Gaëtan Laborde,28, AM(CLR),FW,,4,3,-,3.5,1,0.3,0.8,-,0.8,2,7.47,342
Benjamin Bourigeaud,28, M(CLR),,,38,11,12,1.3,3.2,0.2,0.2,0.1,0.5,1.1,7.44,3215
Dimitri Payet,35, M(CLR),FW,,28(3),12,10,2.2,3.2,0.9,1.4,0.1,1.1,1.4,7.44,2597
Martin Terrier,25, AM(CL),FW,,37,21,3,2.4,1.1,0.8,1.1,0.2,0.6,1.6,7.41,2805
Téji Savanier,30, M(C),,,28(1),8,7,2.8,2.1,2.6,2.7,0.1,1.2,2.9,7.4,2422
Mamadou Mbow,22, Defender,,,1,-,-,-,-,1,-,-,-,-,7.33,90
Aurélien Tchouaméni,22, DMC,,,33(2),3,2,1.6,0.6,1.1,1.7,0.1,0.9,0.5,7.32,2933
Sofiane Boufal,28, AM(CLR),FW,,28(1),8,4,2.2,1.9,3.1,2.8,0.5,2.6,3.8,7.27,2345
Danilo Barbosa,26, D(C),DMC,,1,-,-,-,-,-,-,-,-,4,7.26,90
Lucas Paquetá,24, AM(CR),FW,,32(3),9,6,2.5,1.2,2.3,1.8,0.2,2.2,3.2,7.24,2713
Jonathan Clauss,29, D(R),M(R),,35(2),5,11,1.1,2,0.8,0.4,0.1,0.4,1.3,7.22,3063
Marco Verratti,29, M(C),,,23(1),2,2,0.3,1.3,1.9,2,-,0.9,1.2,7.21,1951
Bruno Guimarães,24, DMC,,,19(1),-,3,0.6,1.8,1.9,3,0.1,1.4,1.3,7.21,1642
Moussa Dembele,25, FW,,,25(5),21,4,2.9,0.9,0.8,0.6,0.3,1.5,3.1,7.21,2209
Romain Faivre,23, AM(CLR),,,20(1),7,5,1.8,1.8,2,1.3,-,1.5,2.8,7.2,1801
Ángel Di María,34, M(CLR),FW,,19(7),5,7,2,2.1,1.2,0.5,0.3,0.6,1.8,7.17,1654
Karl Toko-Ekambi,29, AM(LR),FW,,26(4),12,5,2.5,1.3,1.5,0.5,0.3,1.3,2.2,7.15,2305
Gaëtan Laborde,28, AM(CLR),FW,,32(2),12,8,2.5,1.1,0.3,0.6,0.6,0.6,2.7,7.14,2741
Andrei Girotto,30, D(C),DMC,,36,6,1,1.3,0.3,0.2,0.8,-,0.1,0.5,7.13,3150
Franck Honorat,25, M(LR),,,34,11,4,1.8,1.7,1.1,0.6,0.1,0.9,2.3,7.13,2911
Andy Delort,30, AM(R),FW,,26(6),16,2,3.1,1,0.6,1.3,0.5,0.8,2.1,7.09,2449
Marcin Bulka,22, Goalkeeper,,,1,-,-,-,-,-,-,-,-,-,7.08,90
Youcef Atal,26, D(R),M(R),,13(4),2,1,0.8,0.8,1.1,1.4,0.2,1.1,1.1,7.08,1144
Lovro Majer,24, AM(CR),,,21(8),6,8,1.6,1.6,1,1.1,-,0.9,1.6,7.06,1841
Ludovic Ajorque,28, FW,,,31(5),12,8,1.6,1.3,0.4,1,0.4,1,1.9,7.05,2743
Wissam Ben Yedder,31, AM(C),FW,,29(8),25,5,1.9,0.9,0.7,0.6,0.6,1.2,1.7,7.04,2541
Boubakar Kouyaté,25, D(C),,,30,1,-,0.7,0.1,0.2,0.9,0.2,0.2,1,7.04,2666
Frédéric Guilbert,27, D(CLR),M(R),,28(5),-,4,0.7,1.4,1,0.7,0.1,0.6,1.2,7.04,2521
Romain Faivre,23, AM(CLR),,,9(5),3,-,1.4,1.9,1.6,1.2,0.1,0.8,1.7,7.03,889
Marcelo,35, D(C),,,2,-,-,1,-,0.5,0.5,-,0.5,-,7.02,180
Amine Gouiri,22, AM(L),FW,,32(6),10,9,2,1.3,1.6,0.9,0.2,1.5,1.8,7.01,2765
Moses Simon,26, M(CLR),FW,,29(1),6,8,1.4,2.2,1.4,0.9,0.1,1.7,2.5,7.01,2352
Randal Kolo Muani,23, AM(R),FW,,34(2),12,4,1.5,1.1,1.7,2,0.5,2,3.1,7.01,2958
Hamari Traoré,30, D(R),M(R),,33,3,10,0.9,1,0.3,0.7,0.3,0.2,0.9,7,2898
Kamaldeen Sulemana,20, AM(L),,,11(9),4,2,1.3,1.1,2.7,0.7,0.2,1.3,1.9,7,1018
Lenny Lacroix,19, Defender,,,2(1),-,1,0.7,0.7,-,-,-,0.3,0.3,7,201
Benjamin André,31, D(R),M(CLR),,33,2,1,0.5,0.5,0.6,1.7,0.1,0.8,1.6,6.99,2764
Jimmy Cabot,28, M(LR),,,24,-,4,0.5,0.8,1.9,1.3,-,0.9,2.5,6.99,2012
Florian Sotoca,31, AM(C),FW,,28(7),6,4,2,0.9,0.9,1,0.2,0.7,1.9,6.99,2487
Florian Tardieu,30, M(C),,,29(1),4,2,0.8,1.6,0.7,1.2,-,0.6,0.6,6.98,2631
