Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Robert Lewandowski,33, FW,,,34,35,3,4.7,1.1,1.4,1.1,0.6,1.6,2.4,7.89,2952
Christopher Nkunku,24, M(CLR),FW,,31(3),20,13,2.4,1.9,1.9,1.8,0.4,1.5,3.2,7.64,2735
Joshua Kimmich,27, D(CR),DMC,M(R),28,3,11,1,2.9,0.8,1.6,-,0.6,1.1,7.6,2478
Stefanos Kapino,28, GK,,,1,-,-,-,-,-,-,-,-,-,7.58,90
Erling Håland,21, FW,,,21(3),22,7,3.3,1,0.5,0.6,0.6,0.7,2.4,7.55,1915
Patrik Schick,26, AM(R),FW,,26(1),24,3,3.3,0.6,0.6,0.8,0.2,0.8,2.2,7.45,2094
Florian Wirtz,19, AM(C),,,22(2),7,10,1.5,2.5,2.3,1,0.4,1.4,3.1,7.41,1864
Nico Schlotterbeck,22, D(C),,,32,4,1,1.1,0.4,0.7,1.1,-,0.5,0.9,7.39,2789
Thomas Müller,32, M(CLR),FW,,32,8,18,1.7,2.6,0.4,0.7,0.4,0.8,1.7,7.34,2578
Alphonso Davies,21, D(L),M(LR),,20(2),-,3,0.8,1.5,3.6,1.2,0.1,1.1,2.1,7.31,1744
Jonas Wind,23, AM(C),FW,,14,5,2,2.6,1.1,0.7,2.2,0.5,1.4,1.8,7.31,1187
Serge Gnabry,26, AM(CLR),FW,,25(9),14,5,2,1.4,1.9,0.6,0.4,0.6,1.8,7.3,2192
Marco Reus,33, M(CLR),FW,,29,9,12,1.8,1.8,1,1.5,0.3,1.1,2.1,7.25,2514
Jonas Hofmann,29, M(CLR),,,24(2),12,5,2.1,2.7,0.8,0.8,0.3,0.9,1.7,7.2,2082
Moussa Diaby,22, M(CLR),,,32,13,12,1.7,1.9,1.8,0.8,0.5,0.9,2.2,7.2,2773
Leroy Sané,26, M(CLR),FW,,22(10),7,7,2.8,1.6,1.9,0.8,0.2,1.3,1.7,7.17,1982
David Raum,24, D(L),M(LR),,31(1),3,11,0.8,2.6,1,1,0.2,0.5,1.4,7.16,2762
Kingsley Coman,25, M(LR),FW,,16(5),6,2,2.2,1.1,2.3,1,0.2,1.4,2.4,7.13,1369
Jude Bellingham,18, M(CLR),,,32,3,8,1.4,1.2,1.7,2.8,0.2,1.9,2.6,7.12,2795
Julian Brandt,26, M(CLR),FW,,22(9),9,8,1.1,1.4,1.2,0.5,0.1,1,1.9,7.12,2083
Tom Rothe,17, Defender,,,1(1),1,-,1,0.5,0.5,0.5,1.5,-,-,7.12,94
Filip Kostic Eintracht,29, M(LR),FW,,28(3),4,9,1.6,2.8,0.8,0.7,0.1,1.1,1.6,7.11,2525
Anthony Modeste,34, FW,,,31(1),20,3,3.3,0.6,0.2,1,1.1,0.7,2.2,7.11,2620
Diant Ramaj Eintracht,20, Goalkeeper,,,1,-,-,-,-,-,-,-,-,-,7.11,90
Vincenzo Grifo,29, AM(CL),,,33(1),9,7,2,1.9,1.1,0.8,-,0.8,1.4,7.1,2792
Nicolas Höfler,32, D(C),DMC,,30,2,4,1.1,0.6,0.8,1.3,-,0.4,1,7.09,2604
Leon Goretzka,27, M(CR),,,19,3,3,2.4,1.5,0.5,0.5,0.1,0.7,1.4,7.08,1407
Lucas Höler,27, AM(CLR),FW,,30(4),7,2,1.8,1.2,0.6,1.8,0.4,1.3,2.8,7.08,2598
Sasa Kalajdzic,24, FW,,,13(2),6,1,2.5,1.5,0.7,1.2,0.1,0.9,3.2,7.08,1221
Obite Evan Ndicka Eintracht,22, D(CL),,,32,4,4,0.8,0.3,0.4,0.4,0.1,0.2,0.7,7.06,2858
Danilo Soares,30, D(L),M(L),,30,-,1,0.4,0.6,1.2,1.4,-,0.7,1.3,7.06,2568
Timo Hübers,25, D(C),,,20,1,-,0.5,-,0.3,1.2,-,0.2,1,7.06,1742
Willi Orban,29, D(C),,,30,2,1,0.7,0.2,0.1,1,0.1,0.1,0.5,7.06,2646
Konstantinos Mavropanos,24, D(C),,,31,4,-,1.1,0.3,0.6,0.6,0.1,0.3,0.8,7.05,2711
Josko Gvardiol,20, D(CL),,,28(1),2,2,0.8,0.4,1.3,1.2,-,0.7,1,7.04,2413
Max Kruse,34, M(CLR),FW,,16,5,4,1.8,1.7,0.9,0.4,0.1,0.4,2.1,7.03,1283
Jeremiah St. Juste,25, D(CR),DMC,,7(1),1,-,1.5,0.4,0.1,1,-,0.3,0.5,7.03,605
Borna Sosa,24, D(L),M(L),,28,1,8,0.9,2.2,1.3,0.9,-,0.5,1.4,7.02,2500
Lennart Grill,23, GK,,,1,-,-,-,-,-,-,-,-,-,7.01,90
Mark Uth,30, AM(CR),FW,,24(6),5,8,2.3,1.8,0.8,1.5,0.4,1,2.4,7,2041
Kouadio Koné,21, DMC,,,25(1),2,-,1.1,0.5,2.6,2.2,-,1.8,2.5,6.99,2107
Maximilian Arnold,28, M(CR),,,34,4,2,1.1,1.7,0.4,1.7,-,0.5,0.9,6.99,2996
