Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Mattia Zaccagni,26, AM(CL),FW,,2,2,-,2,2.5,3.5,3.5,-,4,1,8.47,180
Luca Gemello,21, Goalkeeper,,,1,-,-,-,-,-,-,-,-,-,7.71,90
Domenico Berardi,27, AM(R),FW,,33,15,14,3.3,2.5,0.9,2.3,0.3,1.3,1.9,7.43,2838
Rafael Leão,22, AM(L),FW,,31(3),11,8,2.9,1.3,2.9,1.3,0.2,1.5,2.1,7.37,2621
Sergej Milinkovic-Savic,27, AM(C),,,36(1),11,11,2,1.4,1.2,1.2,0.1,1.3,2.7,7.36,3111
Lorenzo Pellegrini,25, M(C),,,27(1),9,5,3.3,2.4,1.5,1.8,0.3,0.9,2.3,7.34,2300
Dusan Vlahovic,22, FW,,,21,17,2,3.6,1,1,2.3,0.9,2,3.9,7.33,1862
Ciro Immobile,32, FW,,,31,27,2,3.8,0.9,0.6,1.3,0.4,1.4,2.5,7.31,2718
Luis Muriel,31, AM(CL),FW,,17(10),9,8,2.1,2.2,2.3,1,0.3,1.7,2.3,7.3,1543
Hakan Çalhanoglu,28, M(CLR),FW,,33(1),7,12,1.9,2.6,0.4,0.8,-,0.6,1.3,7.28,2509
Wisdom Amey,16, Defender,,,1,-,-,-,-,-,2,-,-,-,7.27,72
Victor Osimhen,23, FW,,,23(4),14,2,3.4,0.6,1.1,1.4,0.7,1.2,2.8,7.22,1993
Ivan Perisic,33, M(CLR),FW,,35,8,7,1.3,1.6,0.7,0.2,0.4,0.2,1.4,7.22,2844
Paulo Dybala,28, AM(CR),FW,,26(3),10,5,3.4,1.3,1.6,1.7,0.2,1,2.4,7.22,2074
Bremer,25, D(C),,,33,3,1,0.8,0.2,0.5,0.6,0.2,0.2,0.9,7.22,2895
Gianluca Caprari,28, AM(CLR),FW,,33(2),12,7,1.9,1.8,1.9,2.1,0.4,1.5,2.7,7.2,2755
Juan Cuadrado,34, D(R),M(CLR),FW,28(5),4,4,1.1,1.8,1.4,1.6,-,0.5,1.4,7.19,2496
Lautaro Martínez,24, FW,,,28(7),21,3,3.4,0.8,0.6,1.3,0.3,0.7,1.8,7.18,2302
Tammy Abraham,24, FW,,,36(1),17,4,2.6,1,1,1.3,0.5,1.1,2.3,7.17,3099
Theo Hernández,24, D(L),M(L),,30(2),5,6,1.3,1.6,1.5,2.3,0.3,0.8,1.7,7.16,2713
Marcelo Brozovic,29, M(CR),,,35,2,1,0.9,1,0.8,0.9,-,0.6,1.1,7.13,2951
Nicolò Barella,25, AM(C),,,36,3,12,1.9,1.8,1,1.4,0.1,1.1,1.6,7.13,2933
Fabián Ruiz,26, M(CL),,,29(3),7,4,1.3,1,0.4,0.6,-,0.3,0.9,7.1,2398
Lorenzo Insigne,31, AM(CL),FW,,28(4),11,9,2.9,2,1.3,0.7,0.2,0.9,1.6,7.09,2311
Wladimiro Falcone,27, GK,,,9(1),-,-,-,-,-,0.1,-,-,-,7.08,855
Kalidou Koulibaly,30, D(C),,,27,3,3,0.4,0.4,0.7,0.4,-,0.1,0.6,7.08,2406
Edin Dzeko,36, FW,,,27(9),13,5,2.4,1.1,0.5,1.1,0.1,0.9,2.2,7.07,2476
Duván Zapata,31, FW,,,20(4),10,4,3.4,1.6,1.2,1.1,0.4,1.8,3.6,7.06,1732
André-Frank Zambo Anguissa,26, M(C),,,21(4),-,2,0.8,0.9,1.8,1.1,-,0.9,1.8,7.05,1925
Giovanni Di Lorenzo,28, D(CLR),M(R),,33,1,5,0.6,1,0.6,1.4,0.2,0.8,0.7,7.04,2873
Gerard Deulofeu,28, AM(CLR),FW,,31(3),13,5,2.3,2.4,1.5,0.9,1,1.3,2.9,7.04,2628
Sandro Tonali,22, DMC,,,31(5),5,2,1,1.2,0.8,1.4,0.1,0.6,0.9,7.02,2608
Felipe Anderson,29, M(CLR),FW,,33(5),6,8,1.2,1.3,1.5,1,0.2,1,2.3,7.02,2900
Nicolás González,24, M(CLR),FW,,26(7),7,6,2.2,1.1,1.7,2.9,0.2,1.2,2.9,7.02,2361
Mattia Zaccagni,26, AM(CL),FW,,21(8),4,5,1.1,0.9,1.6,2.6,0.1,0.4,1.4,7.01,1881
Abdelhamid Sabiri,25, AM(CL),FW,,9(5),3,2,1.1,0.9,1.2,2.4,0.1,1.3,2.3,7,895
José Luis Palomino,32, D(C),,,30(4),1,-,0.4,0.1,0.2,0.5,-,0.2,0.4,7,2674
Henrikh Mkhitaryan,33, M(CLR),FW,,29(2),5,6,1.8,1.3,1.1,1.6,0.2,0.9,1.9,6.99,2505
Olivier Giroud,35, FW,,,22(7),11,3,2.2,0.9,0.1,0.8,0.4,0.4,2,6.99,1905
Fikayo Tomori,24, D(CR),,,30(1),-,-,0.4,0.1,0.3,0.4,-,-,0.5,6.98,2719
Mário Rui,31, D(L),M(L),,34,-,6,0.9,1.2,0.4,1.8,0.1,0.4,0.7,6.98,3002
Milan Djuric,32, FW,,,23(10),5,3,1.5,1,0.2,1.4,0.2,0.6,1.1,6.97,2173
Luis Alberto,29, AM(CL),FW,,27(7),5,10,1.4,1.9,0.8,0.8,-,0.7,0.9,6.96,2363
Francesco Bardi,30, GK,,,2,-,-,-,-,-,0.5,-,-,-,6.96,178
Federico Chiesa,24, M(CLR),FW,,11(3),2,2,2,1.2,1.5,1.1,0.1,1.1,1.4,6.94,868
Bryan Cristante,27, D(C),M(C),,29(5),2,-,1.2,0.7,0.7,0.4,-,0.4,0.6,6.94,2674
Antonio Candreva,35, M(CLR),,,36,7,10,2.1,2.2,0.6,1.3,0.4,1,1.6,6.94,3132
Franck Kessié,25, M(C),,,25(6),6,-,1.1,0.9,1.1,1,-,0.9,1.2,6.94,2312
