Player.1,Age,position1,position2,position3,Apps,Mins,Assists,AvgP,PS%,Crosses,LongB,ThrB,Rating,KeyP
Kevin De Bruyne Man City,30, M(CLR),FW,,25(5),2205,8,45.3,82.5,1,2.4,0.3,7.64,2.9
Mohamed Salah Liverpool,29, AM(CLR),FW,,30(5),2763,13,30.8,79.9,0.2,0.5,0.3,7.54,1.8
Son Heung-Min Tottenham,29, M(CLR),FW,,35,3021,7,29,86.6,1.2,0.5,0.1,7.52,2.1
Trent Alexander-Arnold Liverpool,23, D(R),M(R),,32,2854,12,67.3,78.1,2.6,6.3,0.3,7.51,2.8
Kenedy Chelsea,26, D(L),M(LR),,1,59,1,46,73.9,-,2,-,7.46,2
Harry Kane Tottenham,28, AM(C),FW,,36(1),3232,9,23.6,70.3,0.2,1.8,0.3,7.45,1.4
Rodri Man City,25, DMC,,,33,2887,2,86.8,91.8,0.1,5.5,0.1,7.44,0.9
Luis Díaz Liverpool,25, AM(L),,,11(2),964,3,33.8,87.7,0.4,0.5,-,7.44,1.5
João Cancelo Man City,28, D(LR),M(R),,36,3228,7,82,85.3,0.6,3.9,0.1,7.43,1.1
Ben Chilwell Chelsea,25, D(L),M(L),,6(1),541,1,38.6,83,1,0.7,-,7.42,1.4
Kieran Trippier Newcastle,31, D(LR),M(R),,5(1),430,-,33.8,65,2,2.8,-,7.38,1.2
Christian Eriksen Brentford,30, M(CLR),,,10(1),938,4,49.5,80.9,3,5.5,0.1,7.37,2.7
Joel Matip Liverpool,30, D(C),,,31,2790,3,74.8,88.5,-,3.5,0.1,7.35,0.4
Phil Foden Man City,22, AM(CLR),FW,,24(4),2133,5,34.3,87.4,1.3,0.7,0.1,7.3,1.4
Sadio Mané Liverpool,30, AM(CLR),FW,,32(2),2825,2,30.5,77.3,0.3,0.7,0.1,7.29,1.2
Ivan Toney Brentford,26, FW,,,32(1),2908,5,22.2,58.9,0.1,0.4,0.3,7.28,1.3
Bernardo Silva Man City,27, M(CLR),FW,,33(2),2861,4,53.9,89.6,0.2,1.2,0.1,7.28,1.7
Kristoffer Klaesson Leeds,21, Goalkeeper,,,0(1),35,-,9,77.8,-,1,-,7.27,-
Danny Ward Leicester,28, GK,,,1,90,-,25,88,-,2,-,7.25,-
Rodrigo Bentancur Tottenham,24, M(C),,,16(1),1367,4,59.2,90,0.2,2.2,0.1,7.24,0.9
Reece James Chelsea,22, D(CR),DMC,M(R),22(4),1868,9,53,89.6,0.9,1.7,-,7.24,1.8
Ilkay Gündogan Man City,31, M(C),,,20(7),1856,4,47,91.2,0.6,2.3,0.2,7.24,1.4
Ferran Torres Man City,22, AM(LR),FW,,4,305,1,17.5,77.1,-,-,-,7.23,0.3
Andrew Robertson Liverpool,28, D(L),M(L),,29,2541,10,66.5,85.2,1.6,2,-,7.23,1.9
Gabriel Jesus Man City,25, AM(LR),FW,,21(7),1880,8,26.4,84.8,0.1,0.4,0.1,7.2,1.4
Raheem Sterling Man City,27, M(CLR),FW,,23(7),2127,5,27.3,85.4,0.3,0.2,-,7.2,1.4
Dejan Kulusevski Tottenham,22, AM(CR),FW,,14(4),1267,8,25.3,86.4,0.4,0.3,0.1,7.19,1.4
Mason Mount Chelsea,23, M(CLR),,,27(5),2365,10,34.8,85.4,1.3,0.7,0.2,7.19,1.8
Virgil van Dijk Liverpool,30, D(C),,,34,3060,1,77.8,89.5,-,4.9,-,7.18,0.3
Jack Grealish Man City,26, AM(CL),FW,,22(4),1917,3,35.7,88.4,0.3,0.5,0.1,7.17,2
John McGinn Aston Villa,27, M(C),,,35,3092,4,35.5,79.5,0.9,3.3,0.2,7.17,1.5
Zack Steffen Man City,27, GK,,,1,90,-,33,84.8,-,2,-,7.16,-
Pierre-Emile Højbjerg Tottenham,26, M(C),,,36,3199,2,70.3,89.7,0.1,3.7,0.1,7.16,0.7
Jarrod Bowen West Ham,25, AM(CLR),FW,,34(2),2993,10,19.8,76.2,0.8,1,0.1,7.15,1.1
Cristiano Ronaldo Man Utd,37, M(L),FW,,27(3),2459,3,29.3,81.9,-,0.5,-,7.11,0.9
John Stones Man City,28, D(CR),,,12(2),1118,-,69.6,91.5,-,3.8,-,7.1,0.3
Allan Saint-Maximin Newcastle,25, AM(CLR),FW,,31(4),2812,5,19.3,76.3,0.3,0.7,0.1,7.1,1.4
Declan Rice West Ham,23, D(C),DMC,,35(1),3178,4,59.8,91.6,0.2,3.6,-,7.1,0.7
Thiago Liverpool,31, M(C),,,17(8),1538,4,59.9,89.1,-,4,-,7.1,1.2
Marcos Alonso Chelsea,31, D(CL),M(L),,25(3),2173,4,40.5,81.1,1.1,1.5,-,7.09,1.5
Diogo Jota Liverpool,25, AM(CLR),FW,,27(8),2373,4,21.3,74.9,0.1,0.3,0.1,7.08,1.1
Conor Gallagher Crystal Palace,22, AM(C),,,33(1),2851,3,30.9,81.2,1.1,1.4,-,7.08,1.1
James Maddison Leicester,25, AM(CLR),,,28(7),2468,8,27.3,80.7,0.6,1.5,0.1,7.07,1.4
Moisés Caicedo Brighton,20, M(C),,,8,664,1,34.3,82.1,-,1.1,-,7.07,0.5
Thiago Silva Chelsea,37, D(C),,,28(4),2651,-,81.9,92.8,-,5.3,-,7.06,0.2
Bukayo Saka Arsenal,20, D(L),M(CLR),,36(2),2996,7,27.9,79.5,0.8,0.4,-,7.06,1.8
Oleksandr Zinchenko Man City,25, D(L),M(CLR),,10(5),1045,4,64.7,90.7,0.3,1.6,0.1,7.05,1.1
Mateo Kovacic Chelsea,28, M(CL),,,16(9),1557,5,47.7,88.8,-,2.2,0.2,7.04,1.1
Bruno Guimarães Newcastle,24, DMC,,,11(6),1034,1,29.7,85.7,0.3,2.6,0.2,7.04,0.7
Bruno Fernandes Man Utd,27, M(CLR),,,35(1),3120,6,52.8,78.3,1.1,3.3,0.3,7.03,2.5
Trevoh Chalobah Chelsea,22, D(CR),DMC,,17(3),1451,1,63.5,90.6,-,2.2,0.1,7.03,0.2
Konstantinos Tsimikas Liverpool,26, D(L),,,9(4),874,2,39.4,81.3,2,0.8,-,7.03,1.9
Caoimhin Kelleher Liverpool,23, GK,,,2,180,-,39,89.7,-,2,-,7.02,-
Kepa Arrizabalaga Chelsea,27, GK,,,4,360,-,27.3,78.9,-,3.5,-,7.02,-
James Ward-Prowse Southampton,27, M(CR),,,36,3217,5,50.8,86.3,2.1,1.8,0.1,7.01,2
Toti Wolves,23, D(C),,,4,360,-,50.3,75.6,-,1.5,-,7.01,-
Christian Nørgaard Brentford,28, D(C),DMC,,35,3059,4,47.6,79.9,0.1,2.1,0.1,7,0.8
N'Golo Kanté Chelsea,31, DMC,,,21(5),1778,4,49.7,86.7,-,1.3,0.2,7,0.9
Fabinho Liverpool,28, D(CR),DMC,,26(3),2316,1,53.2,87.5,-,2.1,0.1,7,0.6
Riyad Mahrez Man City,31, AM(CLR),FW,,15(13),1493,5,29.5,90,0.6,1,0.2,7,1.4
Paul Pogba Man Utd,29, M(CL),,,16(4),1355,9,43.9,83.5,0.2,3.7,0.2,7,1.2
Yves Bissouma Brighton,25, M(C),,,25(1),2117,2,45.7,89.2,-,1.7,-,6.99,0.3
Matt Targett Newcastle,26, D(L),M(L),,16,1440,-,34.4,74.4,1.5,1.6,-,6.99,1.2
Wilfried Zaha Crystal Palace,29, AM(LR),FW,,31(2),2761,1,27.5,79.9,0.4,0.4,0.1,6.99,1.4
Mason Greenwood Man Utd,20, AM(R),FW,,16(2),1281,1,25.8,83.8,0.3,1.3,0.2,6.98,0.9
Dan Burn Newcastle,30, D(CL),M(L),,16,1440,1,36.5,78.3,-,1.4,-,6.98,0.3
Tomas Soucek West Ham,27, DMC,,,34(1),3062,1,38.4,76.6,0.1,1.9,-,6.98,0.6
Ethan Pinnock Brentford,29, D(C),,,32,2698,1,44.3,75.4,0.1,2,-,6.97,0.3
James Tarkowski Burnley,29, D(C),,,35,3107,2,33.7,68.8,-,4,-,6.97,0.3
Raphinha Leeds,25, AM(LR),FW,,34(1),2923,3,30.7,69.3,0.9,1.6,0.1,6.97,1.9
Matt Doherty Tottenham,30, D(LR),M(LR),,9(6),874,4,30.1,83.6,0.4,0.9,0.3,6.96,1
Richarlison Everton,25, AM(CLR),FW,,28(2),2528,5,17.5,63.4,0.2,0.3,0.1,6.96,1
Philippe Coutinho Aston Villa,29, M(CLR),,,16(3),1339,3,33.1,83.3,0.2,1.4,0.1,6.96,1.3
Jorginho Chelsea,30, DMC,,,26(3),2279,2,64.9,89.3,-,2.1,0.1,6.96,0.9
Rayan Aït-Nouri Wolves,21, D(L),M(L),,20(3),1828,2,32.8,76.7,1,1.2,-,6.96,0.7
Rúben Dias Man City,25, D(C),,,27(2),2404,4,78.2,93.4,-,3.4,-,6.96,0.5
Thomas Partey Arsenal,28, D(R),M(CR),,23(1),2032,1,50.2,85.6,-,3,-,6.96,0.7
Dwight McNeil Burnley,22, M(LR),,,35(3),3114,1,24.7,77.7,1.1,1.6,0.1,6.96,1.2
Sergio Reguilón Tottenham,25, D(L),M(L),,22(3),1923,3,30.8,78.7,1,0.9,-,6.95,1.2
Wilfred Ndidi Leicester,25, D(C),DMC,,18(1),1619,-,48.9,80.2,-,1.5,-,6.95,0.1
Jamie Vardy Leicester,35, AM(L),FW,,20(5),1806,2,10,72.5,0.1,0.3,0.1,6.95,0.7
Marc Cucurella Brighton,23, D(CL),M(L),,35,3092,1,54.3,82,0.8,1.5,-,6.94,1.2
Michail Antonio West Ham,32, D(R),M(CLR),FW,34(2),2981,8,17.1,67.5,0.4,0.7,0.1,6.94,1.3
Adama Traoré Wolves,26, M(CLR),FW,,10(10),1065,-,14.9,77.9,0.5,0.5,0.1,6.94,0.9
Lucas Digne Aston Villa,28, D(CL),M(L),,16,1272,4,37.6,81.2,1.6,0.6,-,6.94,1.9
Cristian Romero Tottenham,24, D(C),,,21(1),1846,-,59.8,86.7,-,2.6,-,6.92,0.3
Hakim Ziyech Chelsea,29, M(CLR),,,14(9),1317,3,27.5,81.2,0.8,1,-,6.92,1.3
Jason Steele Brighton,31, GK,,,1,90,-,36,88.9,-,3,-,6.92,-
Nathan Aké Man City,27, D(CL),DMC,,10(4),921,-,60.7,90.8,-,1,-,6.92,0.1
Dominic Calvert-Lewin Everton,25, AM(L),FW,,15(2),1286,2,16.3,60.3,-,0.1,-,6.92,0.6
Ben Mee Burnley,32, D(CL),,,21,1840,-,35.8,70.4,-,4.2,-,6.91,0.2
Aymeric Laporte Man City,28, D(CL),,,33,2836,-,88.5,94.8,0.1,4.3,0.1,6.91,0.3
Aaron Wan-Bissaka Man Utd,24, D(R),M(R),,20,1794,-,46.9,81,0.4,0.9,-,6.91,0.7
Matthew Cash Aston Villa,24, D(R),M(CLR),,38,3380,3,32.1,72.4,0.5,1.4,-,6.91,0.7
Ricardo Pereira Leicester,28, D(LR),M(R),,13(1),994,3,38.4,79,0.1,0.8,-,6.91,0.7
Martin Ødegaard Arsenal,23, AM(CR),,,32(4),2793,4,43.3,86,0.5,1.2,0.2,6.91,2.1
Youri Tielemans Leicester,25, M(C),,,29(3),2634,4,53.4,83.5,0.4,2.3,0.1,6.9,1.2
Neco Williams Liverpool,21, D(R),M(L),,0(1),7,1,8,100,-,-,-,6.9,1
Ollie Watkins Aston Villa,26, AM(LR),FW,,33(2),2955,2,19.3,70.9,-,0.2,0.1,6.9,1
Leandro Trossard Brighton,27, M(CLR),FW,,32(2),2812,3,32.9,77.9,0.4,2.1,0.1,6.9,1.4
Scott McTominay Man Utd,25, D(C),DMC,,28(2),2393,1,41.1,85.6,0.1,1.9,-,6.89,0.8
Alex Telles Man Utd,29, D(L),M(L),,18(3),1660,4,44.5,80.3,1.4,1.1,-,6.89,1.2
Andreas Christensen Chelsea,26, D(C),DMC,,17(2),1496,-,69.5,90,0.1,3.2,0.1,6.89,0.3
Nathan Collins Burnley,21, D(CR),,,18(1),1670,-,33.2,69.2,0.1,2.4,0.1,6.89,0.3
Ibrahima Konaté Liverpool,23, D(C),,,11,990,-,68.2,88.1,-,2.1,-,6.89,-
Emmanuel Dennis Watford,24, M(LR),FW,,30(3),2591,6,17.4,68.3,0.2,0.3,0.1,6.89,1
Shane Duffy Brighton,30, D(C),,,15(3),1434,-,57.2,87.4,0.1,3.6,-,6.88,0.2
Maximilian Kilman Wolves,25, D(C),,,30,2689,-,50.8,85.8,-,2.8,-,6.87,0.1
Ruben Loftus-Cheek Chelsea,26, M(CLR),,,13(11),1388,2,40,89.7,0.1,0.6,-,6.87,0.8
Alisson Liverpool,29, GK,,,36,3240,1,32.7,85.5,-,4.2,-,6.87,-
Wesley Fofana Leicester,21, D(C),,,7,630,-,75.3,89,-,2.3,-,6.87,0.3
Saïd Benrahma West Ham,26, AM(CLR),,,26(6),2184,6,23.8,81.1,0.3,0.5,0.1,6.87,1
Emerson Royal Tottenham,23, D(R),M(R),,26(5),2291,1,36.6,82.3,0.6,0.6,-,6.87,0.9
Fred Man Utd,29, M(C),,,24(4),2036,4,48,84.1,-,2.2,0.2,6.87,1
Oriol Romeu Southampton,30, DMC,,,34(2),2899,2,46.5,82,0.1,2.8,0.1,6.87,1
Hassane Kamara Watford,28, D(L),M(L),,18(1),1625,-,37.3,70.5,0.3,1.5,0.1,6.86,0.5
Jordan Henderson Liverpool,31, D(C),M(CLR),,29(6),2604,5,61.6,85.5,0.5,2.8,0.1,6.86,1.1
Davinson Sánchez Tottenham,25, D(C),,,17(6),1626,-,49,87.8,-,1.7,-,6.86,0.2
Josh Brownhill Burnley,26, M(CR),,,32(3),2953,3,32.1,77.4,0.5,1.7,-,6.86,1.1
Curtis Jones Liverpool,21, AM(C),,,10(5),856,1,39.1,90.5,0.1,1,-,6.86,0.7
Gabriel Martinelli Arsenal,20, AM(L),FW,,21(8),1866,6,18.1,79.7,0.4,0.5,-,6.86,1.2
Diogo Dalot Man Utd,23, D(LR),M(R),,19(5),1799,-,40,80.2,0.6,3,-,6.86,0.7
Liam Cooper Leeds,30, D(C),,,21,1815,1,56,83.1,-,2.8,-,6.85,0.2
Antonio Rüdiger Chelsea,29, D(CR),,,34,3035,-,73.4,88.1,0.1,4.7,0.1,6.85,0.4
Kai Havertz Chelsea,22, M(CR),FW,,22(7),1816,3,22.6,81.3,0.1,0.3,0.1,6.85,0.7
Roberto Firmino Liverpool,30, M(CLR),FW,,10(10),987,4,24.3,78.8,0.1,0.5,0.1,6.85,0.8
Rúben Neves Wolves,25, DMC,,,31(2),2663,2,58.5,84,0.3,6,0.2,6.85,0.8
James McArthur Crystal Palace,34, M(CLR),,,15(6),1438,3,43.3,83.1,0.3,1.9,-,6.84,0.8
Romain Saïss Wolves,32, D(C),DMC,,31,2709,-,57.5,80.1,-,3.5,-,6.84,0.2
Mohammed Salisu Southampton,23, D(CL),,,33(1),2972,-,51.2,77.9,0.1,2.6,-,6.83,0.3
Kyle Walker-Peters Southampton,25, D(LR),M(R),,29(3),2632,2,34,81.3,0.2,1.3,0.1,6.83,0.8
Takehiro Tomiyasu Arsenal,23, D(CR),,,20(1),1682,1,43.9,81.1,0.6,1.7,-,6.83,0.6
Joelinton Newcastle,25, AM(CLR),FW,,30(5),2559,1,26,77.6,0.1,0.7,-,6.83,0.8
Romelu Lukaku Chelsea,29, AM(R),FW,,16(10),1586,-,12.2,72.9,-,0.2,-,6.83,0.9
Lucas Moura Tottenham,29, AM(CLR),FW,,19(15),1774,6,21.3,76.7,0.2,0.3,0.1,6.82,1
Nélson Semedo Wolves,28, D(LR),M(R),,25,2137,1,36.5,77.4,0.2,0.8,-,6.82,0.7
Charlie Taylor Burnley,28, D(L),M(L),,30(1),2731,3,31.6,71.1,0.6,2.4,-,6.82,0.7
Ross Barkley Chelsea,28, M(CLR),,,1(5),176,-,20.2,85.1,0.5,0.7,0.2,6.82,1.3
César Azpilicueta Chelsea,32, D(CLR),M(R),,24(3),2075,2,59.4,85.7,0.2,1.7,-,6.81,0.6
José Sá Wolves,29, GK,,,37,3286,1,24,63,-,3.9,-,6.81,0.1
Nick Pope Burnley,30, GK,,,36,3240,-,25.8,44.5,-,9.2,-,6.81,0.1
Jan Bednarek Southampton,26, D(C),,,30(1),2633,-,46.6,81.7,-,2.8,-,6.81,0.2
Dan Burn Brighton,30, D(CL),M(L),,12(1),1023,-,48.9,81.8,-,1.9,-,6.8,0.2
Pablo Fornals West Ham,26, M(CLR),,,32(4),2804,3,36.6,78.1,0.5,1.9,0.1,6.8,1.3
David Raya Brentford,26, GK,,,24,2160,-,40,64.5,-,10.8,-,6.8,-
Joël Veltman Brighton,30, D(CR),M(R),,33(1),2881,1,46.6,79.7,0.2,1.9,0.1,6.8,0.5
Lucas Digne Everton,28, D(CL),M(L),,13,1170,-,39.1,76,1.2,1,-,6.8,1.7
Calum Chambers Aston Villa,27, D(CR),DMC,,9(2),829,-,43.5,82.8,0.1,2.9,0.1,6.79,0.2
Pascal Groß Brighton,30, M(CR),FW,,24(5),2043,4,38.3,82.8,2,2.1,0.1,6.79,2.1
Harvey Barnes Leicester,24, AM(CL),,,24(8),2107,10,22,76.4,0.2,0.3,0.1,6.79,0.9
Naby Keïta Liverpool,27, M(C),,,14(9),1175,1,32.3,86,-,0.6,-,6.79,0.7
Hugo Lloris Tottenham,35, GK,,,38,3420,-,20.9,76.8,-,4.1,-,6.78,0.1
Raphaël Varane Man Utd,29, D(C),,,20(2),1829,1,52.3,87.8,-,3.6,-,6.78,0.2
Demarai Gray Everton,25, AM(CLR),FW,,28(6),2352,4,18.6,81.5,1,0.8,-,6.78,1.2
Stuart Dallas Leeds,31, D(LR),M(CLR),,34,2929,1,39.8,78.8,0.7,1.6,0.1,6.78,0.9
João Pedro Watford,20, AM(L),FW,,15(13),1639,1,19.6,69.9,0.1,0.9,0.1,6.78,0.7
Daniel Podence Wolves,26, AM(CLR),FW,,15(11),1486,3,22.2,74.1,0.5,1,0.1,6.78,1.4
Benjamin White Arsenal,24, D(CR),DMC,,32,2880,-,56.6,84.6,-,2.8,0.1,6.78,0.4
Douglas Luiz Aston Villa,24, M(C),,,31(3),2720,3,42.7,86.8,0.6,1.6,0.1,6.77,1.1
Ben Davies Tottenham,29, D(CL),M(L),,28(1),2540,1,54.6,85,0.2,1.6,-,6.77,0.4
Callum Hudson-Odoi Chelsea,21, M(CLR),,,11(4),966,2,23.6,85.3,0.3,0.6,-,6.77,1.7
Jacob Ramsey Aston Villa,21, AM(C),,,29(5),2477,1,29.8,87,0.1,0.7,-,6.77,0.6
Kieran Tierney Arsenal,25, D(CL),M(L),,22,1919,3,41.1,82.5,0.7,2,-,6.77,0.9
Marc Guéhi Crystal Palace,21, D(C),,,36,3223,1,65.2,87.4,-,4.4,-,6.76,0.2
Pontus Jansson Brentford,31, D(C),,,37,3322,1,40.2,80.9,-,1,-,6.76,0.1
Eric Dier Tottenham,28, D(CR),DMC,,35,3072,-,66.4,88.1,-,3.7,0.1,6.76,0.2
Lukasz Fabianski West Ham,37, GK,,,37,3330,-,22.9,59.2,-,5.9,-,6.76,-
Jonny Evans Leicester,34, D(CL),,,16(2),1350,1,55.9,83.2,-,3.4,0.1,6.76,0.2
Malang Sarr Chelsea,23, D(CL),,,6(2),546,-,58.4,88.2,0.1,1.8,0.1,6.76,0.4
Tyrick Mitchell Crystal Palace,22, D(L),,,35(1),3103,2,41.5,71.9,0.6,1.8,-,6.75,0.6
Alexis Mac Allister Brighton,23, M(CL),FW,,22(11),2118,2,30.2,84.4,0.5,1.5,0.1,6.75,0.9
Marçal Wolves,33, D(CL),M(L),,17(1),1453,-,38.3,77.7,0.6,1.1,-,6.75,0.6
Aaron Cresswell West Ham,32, D(CL),M(L),,31,2728,3,55.1,82.6,1.1,2.6,-,6.75,1
Emiliano Buendía Aston Villa,25, M(CLR),,,22(13),1902,6,24.3,81.6,0.1,0.8,0.3,6.75,1.4
Gabriel Magalhães Arsenal,24, D(C),,,35,3068,-,58.2,89.5,-,2.5,-,6.74,0.3
