,Name,Age,position1,position2,position3,Apps,Mins,Assists,AvgP,PS%,Crosses,LongB,ThrB,Rating,KeyP
0,Kevin De Bruyne,30, M(CLR),FW,,25(5),2205,8,45.3,82.5,1,2.4,0.3,7.64,2.9
1,Mohamed Salah,29, AM(CLR),FW,,30(5),2763,13,30.8,79.9,0.2,0.5,0.3,7.54,1.8
2,Son Heung-Min,29, M(CLR),FW,,35,3021,7,29,86.6,1.2,0.5,0.1,7.52,2.1
3,Trent Alexander-Arnold,23, D(R),M(R),,32,2854,12,67.3,78.1,2.6,6.3,0.3,7.51,2.8
4,Kenedy,26, D(L),M(LR),,1,59,1,46,73.9,-,2,-,7.46,2
5,Harry Kane,28, AM(C),FW,,36(1),3232,9,23.6,70.3,0.2,1.8,0.3,7.45,1.4
6,Rodri,25, DMC,,,33,2887,2,86.8,91.8,0.1,5.5,0.1,7.44,0.9
7,Luis Díaz,25, AM(L),,,11(2),964,3,33.8,87.7,0.4,0.5,-,7.44,1.5
8,João Cancelo,28, D(LR),M(R),,36,3228,7,82,85.3,0.6,3.9,0.1,7.43,1.1
9,Ben Chilwell,25, D(L),M(L),,6(1),541,1,38.6,83,1,0.7,-,7.42,1.4
10,Kieran Trippier,31, D(LR),M(R),,5(1),430,-,33.8,65,2,2.8,-,7.38,1.2
11,Christian Eriksen,30, M(CLR),,,10(1),938,4,49.5,80.9,3,5.5,0.1,7.37,2.7
12,Joel Matip,30, D(C),,,31,2790,3,74.8,88.5,-,3.5,0.1,7.35,0.4
13,Phil Foden,22, AM(CLR),FW,,24(4),2133,5,34.3,87.4,1.3,0.7,0.1,7.3,1.4
14,Sadio Mané,30, AM(CLR),FW,,32(2),2825,2,30.5,77.3,0.3,0.7,0.1,7.29,1.2
15,Ivan Toney,26, FW,,,32(1),2908,5,22.2,58.9,0.1,0.4,0.3,7.28,1.3
16,Bernardo Silva,27, M(CLR),FW,,33(2),2861,4,53.9,89.6,0.2,1.2,0.1,7.28,1.7
17,Kristoffer Klaesson,21, Goalkeeper,,,0(1),35,-,9,77.8,-,1,-,7.27,-
18,Danny Ward,28, GK,,,1,90,-,25,88,-,2,-,7.25,-
19,Rodrigo Bentancur,24, M(C),,,16(1),1367,4,59.2,90,0.2,2.2,0.1,7.24,0.9
20,Reece James,22, D(CR),DMC,M(R),22(4),1868,9,53,89.6,0.9,1.7,-,7.24,1.8
21,Ilkay Gündogan,31, M(C),,,20(7),1856,4,47,91.2,0.6,2.3,0.2,7.24,1.4
22,Ferran Torres,22, AM(LR),FW,,4,305,1,17.5,77.1,-,-,-,7.23,0.3
23,Andrew Robertson,28, D(L),M(L),,29,2541,10,66.5,85.2,1.6,2,-,7.23,1.9
24,Gabriel Jesus,25, AM(LR),FW,,21(7),1880,8,26.4,84.8,0.1,0.4,0.1,7.2,1.4
25,Raheem Sterling,27, M(CLR),FW,,23(7),2127,5,27.3,85.4,0.3,0.2,-,7.2,1.4
26,Dejan Kulusevski,22, AM(CR),FW,,14(4),1267,8,25.3,86.4,0.4,0.3,0.1,7.19,1.4
27,Mason Mount,23, M(CLR),,,27(5),2365,10,34.8,85.4,1.3,0.7,0.2,7.19,1.8
28,Virgil van Dijk,30, D(C),,,34,3060,1,77.8,89.5,-,4.9,-,7.18,0.3
29,Jack Grealish,26, AM(CL),FW,,22(4),1917,3,35.7,88.4,0.3,0.5,0.1,7.17,2
30,John McGinn,27, M(C),,,35,3092,4,35.5,79.5,0.9,3.3,0.2,7.17,1.5
31,Zack Steffen,27, GK,,,1,90,-,33,84.8,-,2,-,7.16,-
32,Pierre-Emile Højbjerg,26, M(C),,,36,3199,2,70.3,89.7,0.1,3.7,0.1,7.16,0.7
33,Jarrod Bowen,25, AM(CLR),FW,,34(2),2993,10,19.8,76.2,0.8,1,0.1,7.15,1.1
34,Cristiano Ronaldo,37, M(L),FW,,27(3),2459,3,29.3,81.9,-,0.5,-,7.11,0.9
35,John Stones,28, D(CR),,,12(2),1118,-,69.6,91.5,-,3.8,-,7.1,0.3
36,Allan Saint-Maximin,25, AM(CLR),FW,,31(4),2812,5,19.3,76.3,0.3,0.7,0.1,7.1,1.4
37,Declan Rice,23, D(C),DMC,,35(1),3178,4,59.8,91.6,0.2,3.6,-,7.1,0.7
38,Thiago,31, M(C),,,17(8),1538,4,59.9,89.1,-,4,-,7.1,1.2
39,Marcos Alonso,31, D(CL),M(L),,25(3),2173,4,40.5,81.1,1.1,1.5,-,7.09,1.5
40,Diogo Jota,25, AM(CLR),FW,,27(8),2373,4,21.3,74.9,0.1,0.3,0.1,7.08,1.1
41,Conor Gallagher,22, AM(C),,,33(1),2851,3,30.9,81.2,1.1,1.4,-,7.08,1.1
42,James Maddison,25, AM(CLR),,,28(7),2468,8,27.3,80.7,0.6,1.5,0.1,7.07,1.4
43,Moisés Caicedo,20, M(C),,,8,664,1,34.3,82.1,-,1.1,-,7.07,0.5
44,Thiago Silva,37, D(C),,,28(4),2651,-,81.9,92.8,-,5.3,-,7.06,0.2
45,Bukayo Saka,20, D(L),M(CLR),,36(2),2996,7,27.9,79.5,0.8,0.4,-,7.06,1.8
46,Oleksandr Zinchenko,25, D(L),M(CLR),,10(5),1045,4,64.7,90.7,0.3,1.6,0.1,7.05,1.1
47,Mateo Kovacic,28, M(CL),,,16(9),1557,5,47.7,88.8,-,2.2,0.2,7.04,1.1
48,Bruno Guimarães,24, DMC,,,11(6),1034,1,29.7,85.7,0.3,2.6,0.2,7.04,0.7
49,Bruno Fernandes,27, M(CLR),,,35(1),3120,6,52.8,78.3,1.1,3.3,0.3,7.03,2.5
50,Trevoh Chalobah,22, D(CR),DMC,,17(3),1451,1,63.5,90.6,-,2.2,0.1,7.03,0.2
51,Konstantinos Tsimikas,26, D(L),,,9(4),874,2,39.4,81.3,2,0.8,-,7.03,1.9
52,Caoimhin Kelleher,23, GK,,,2,180,-,39,89.7,-,2,-,7.02,-
53,Kepa Arrizabalaga,27, GK,,,4,360,-,27.3,78.9,-,3.5,-,7.02,-
54,James Ward-Prowse,27, M(CR),,,36,3217,5,50.8,86.3,2.1,1.8,0.1,7.01,2
55,Toti,23, D(C),,,4,360,-,50.3,75.6,-,1.5,-,7.01,-
56,Christian Nørgaard,28, D(C),DMC,,35,3059,4,47.6,79.9,0.1,2.1,0.1,7,0.8
57,N'Golo Kanté,31, DMC,,,21(5),1778,4,49.7,86.7,-,1.3,0.2,7,0.9
58,Fabinho,28, D(CR),DMC,,26(3),2316,1,53.2,87.5,-,2.1,0.1,7,0.6
59,Riyad Mahrez,31, AM(CLR),FW,,15(13),1493,5,29.5,90,0.6,1,0.2,7,1.4
60,Paul Pogba,29, M(CL),,,16(4),1355,9,43.9,83.5,0.2,3.7,0.2,7,1.2
61,Yves Bissouma,25, M(C),,,25(1),2117,2,45.7,89.2,-,1.7,-,6.99,0.3
62,Matt Targett,26, D(L),M(L),,16,1440,-,34.4,74.4,1.5,1.6,-,6.99,1.2
63,Wilfried Zaha,29, AM(LR),FW,,31(2),2761,1,27.5,79.9,0.4,0.4,0.1,6.99,1.4
64,Mason Greenwood,20, AM(R),FW,,16(2),1281,1,25.8,83.8,0.3,1.3,0.2,6.98,0.9
65,Dan Burn,30, D(CL),M(L),,16,1440,1,36.5,78.3,-,1.4,-,6.98,0.3
66,Tomas Soucek,27, DMC,,,34(1),3062,1,38.4,76.6,0.1,1.9,-,6.98,0.6
67,Ethan Pinnock,29, D(C),,,32,2698,1,44.3,75.4,0.1,2,-,6.97,0.3
68,James Tarkowski,29, D(C),,,35,3107,2,33.7,68.8,-,4,-,6.97,0.3
69,Raphinha,25, AM(LR),FW,,34(1),2923,3,30.7,69.3,0.9,1.6,0.1,6.97,1.9
70,Matt Doherty,30, D(LR),M(LR),,9(6),874,4,30.1,83.6,0.4,0.9,0.3,6.96,1
71,Richarlison,25, AM(CLR),FW,,28(2),2528,5,17.5,63.4,0.2,0.3,0.1,6.96,1
72,Philippe Coutinho,29, M(CLR),,,16(3),1339,3,33.1,83.3,0.2,1.4,0.1,6.96,1.3
73,Jorginho,30, DMC,,,26(3),2279,2,64.9,89.3,-,2.1,0.1,6.96,0.9
74,Rayan Aït-Nouri,21, D(L),M(L),,20(3),1828,2,32.8,76.7,1,1.2,-,6.96,0.7
75,Rúben Dias,25, D(C),,,27(2),2404,4,78.2,93.4,-,3.4,-,6.96,0.5
76,Thomas Partey,28, D(R),M(CR),,23(1),2032,1,50.2,85.6,-,3,-,6.96,0.7
