,Player,Name,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,"1Kevin De BruyneMan City, 30, M(CLR),FW",Kevin De Bruyne,30, M(CLR),FW,,25(5),2205,15,8,2,-,2.6,82.5,0.4,4,7.64
1,"2Mohamed SalahLiverpool, 29, AM(CLR),FW",Mohamed Salah,29, AM(CLR),FW,,30(5),2763,23,13,1,-,4,79.9,0.2,7,7.54
2,"3Son Heung-MinTottenham, 29, M(CLR),FW",Son Heung-Min,29, M(CLR),FW,,35,3021,23,7,2,-,2.5,86.6,0.5,6,7.52
3,"4Trent Alexander-ArnoldLiverpool, 23, D(R),M(R)",Trent Alexander-Arnold,23, D(R),M(R),,32,2854,2,12,2,-,1.6,78.1,0.5,5,7.51
4,"5KenedyChelsea, 26, D(L),M(LR)",Kenedy,26, D(L),M(LR),,1,59,-,1,-,-,1,73.9,-,-,7.46
5,"6Harry KaneTottenham, 28, AM(C),FW",Harry Kane,28, AM(C),FW,,36(1),3232,17,9,5,-,3.6,70.3,2,7,7.45
6,"7RodriMan City, 25, DMC",Rodri,25, DMC,,,33,2887,7,2,5,-,1.4,91.8,2.6,4,7.44
7,"8Luis DíazLiverpool, 25, AM(L)",Luis Díaz,25, AM(L),,,11(2),964,4,3,-,-,2.9,87.7,1.2,1,7.44
8,"9João CanceloMan City, 28, D(LR),M(R)",João Cancelo,28, D(LR),M(R),,36,3228,1,7,7,-,2.3,85.3,1.6,5,7.43
9,"10Ben ChilwellChelsea, 25, D(L),M(L)",Ben Chilwell,25, D(L),M(L),,6(1),541,3,1,-,-,1.9,83,1,1,7.42
10,"11Kieran TrippierNewcastle, 31, D(R),M(R)",Kieran Trippier,31, D(R),M(R),,5(1),430,2,-,-,-,0.3,65,1.7,1,7.38
11,"12Christian EriksenBrentford, 30, M(CLR)",Christian Eriksen,30, M(CLR),,,10(1),938,1,4,1,-,2,80.9,0.5,3,7.37
12,"13Joel MatipLiverpool, 30, D(C)",Joel Matip,30, D(C),,,31,2790,3,3,2,-,1.1,88.5,3.5,5,7.35
13,"14Phil FodenMan City, 22, AM(CLR),FW",Phil Foden,22, AM(CLR),FW,,24(4),2133,9,5,1,-,2,87.4,0.2,1,7.3
14,"15Sadio ManéLiverpool, 30, AM(CLR),FW",Sadio Mané,30, AM(CLR),FW,,32(2),2825,16,2,5,-,2.9,77.3,0.9,3,7.29
15,"16Ivan ToneyBrentford, 26, FW",Ivan Toney,26, FW,,,32(1),2908,12,5,8,-,2.7,58.9,4.5,5,7.28
16,"17Bernardo SilvaMan City, 27, M(CLR),FW",Bernardo Silva,27, M(CLR),FW,,33(2),2861,8,4,6,-,1.3,89.6,0.2,3,7.28
17,"18Kristoffer KlaessonLeeds, 21, Goalkeeper",Kristoffer Klaesson,21, Goalkeeper,,,0(1),35,-,-,-,-,-,77.8,1,-,7.27
18,"19Danny WardLeicester, 28, GK",Danny Ward,28, GK,,,1,90,-,-,-,-,-,88,-,-,7.25
19,"20Rodrigo BentancurTottenham, 24, M(C)",Rodrigo Bentancur,24, M(C),,,16(1),1367,-,4,5,-,0.8,90,1.2,1,7.24
20,"21Reece JamesChelsea, 22, D(CR),DMC,M(R)",Reece James,22, D(CR),DMC,M(R),22(4),1868,5,9,4,1,1.4,89.6,0.7,4,7.24
21,"22Ilkay GündoganMan City, 31, M(C)",Ilkay Gündogan,31, M(C),,,20(7),1856,8,4,1,-,2,91.2,0.4,1,7.24
