,Player,Name,Age,postion1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,"1Kylian MbappéPSG, 23, AM(LR),FW",Kylian Mbappé,23, AM(LR),FW,,34(1),3032,28,17,10,-,4.2,82.2,0.1,12,8.04
1,"2Andy DelortMontpellier, 30, AM(R),FW",Andy Delort,30, AM(R),FW,,3,270,2,1,-,-,4.7,61,3.7,-,7.82
2,"3Lionel MessiPSG, 34, AM(CR),FW",Lionel Messi,34, AM(CR),FW,,24(2),2153,6,14,-,-,3.4,86.7,0.2,5,7.77
3,"4NeymarPSG, 30, AM(CLR),FW",Neymar,30, AM(CLR),FW,,22,1861,13,6,10,-,2.5,82.2,0.2,2,7.65
4,"5TetêLyon, 22, AM(R)",Tetê,22, AM(R),,,7(2),585,2,5,1,-,1.9,82.8,0.4,2,7.48
5,"6Gaëtan LabordeMontpellier, 28, AM(CLR),FW",Gaëtan Laborde,28, AM(CLR),FW,,4,342,3,-,1,-,3.5,60.2,4.3,-,7.47
6,"7Benjamin BourigeaudRennes, 28, M(CLR)",Benjamin Bourigeaud,28, M(CLR),,,38,3215,11,12,2,-,1.3,76.9,0.4,4,7.44
7,"8Dimitri PayetMarseille, 35, M(CLR),FW",Dimitri Payet,35, M(CLR),FW,,28(3),2597,12,10,3,-,2.2,81.8,0.1,6,7.44
8,"9Martin TerrierRennes, 25, AM(CL),FW",Martin Terrier,25, AM(CL),FW,,37,2805,21,3,1,-,2.4,81.1,1.1,4,7.41
9,"10Téji SavanierMontpellier, 30, M(C)",Téji Savanier,30, M(C),,,28(1),2422,8,7,7,2,2.8,72.4,0.5,8,7.4
10,"11Mamadou MbowReims, 22, Defender",Mamadou Mbow,22, Defender,,,1,90,-,-,-,-,-,76,1,-,7.33
11,"12Aurélien TchouaméniMonaco, 22, DMC",Aurélien Tchouaméni,22, DMC,,,33(2),2933,3,2,9,1,1.6,86.7,2.2,5,7.32
12,"13Sofiane BoufalAngers, 28, AM(CLR),FW",Sofiane Boufal,28, AM(CLR),FW,,28(1),2345,8,4,6,-,2.2,78.3,0.4,5,7.27
13,"14Danilo BarbosaNice, 26, D(C),DMC",Danilo Barbosa,26, D(C),DMC,,1,90,-,-,-,-,-,76.2,4,-,7.26
14,"15Lucas PaquetáLyon, 24, AM(CR),FW",Lucas Paquetá,24, AM(CR),FW,,32(3),2713,9,6,3,-,2.5,79.6,1.3,4,7.24
15,"16Jonathan ClaussLens, 29, D(R),M(R)",Jonathan Clauss,29, D(R),M(R),,35(2),3063,5,11,3,-,1.1,73.3,0.4,3,7.22
16,"17Marco VerrattiPSG, 29, M(C)",Marco Verratti,29, M(C),,,23(1),1951,2,2,12,-,0.3,91.6,0.2,2,7.21
17,"18Bruno GuimarãesLyon, 24, DMC",Bruno Guimarães,24, DMC,,,19(1),1642,-,3,2,-,0.6,88,0.6,3,7.21
18,"19Moussa DembeleLyon, 25, FW",Moussa Dembele,25, FW,,,25(5),2209,21,4,6,-,2.9,66.1,2,4,7.21
19,"20Romain FaivreBrest, 23, AM(CLR)",Romain Faivre,23, AM(CLR),,,20(1),1801,7,5,1,-,1.8,83.3,0.3,3,7.2
20,"21Ángel Di MaríaPSG, 34, M(CLR),FW",Ángel Di María,34, M(CLR),FW,,19(7),1654,5,7,2,-,2,80.3,-,3,7.17
21,"22Karl Toko-EkambiLyon, 29, AM(LR),FW",Karl Toko-Ekambi,29, AM(LR),FW,,26(4),2305,12,5,3,-,2.5,80.6,1.1,2,7.15
22,"23Gaëtan LabordeRennes, 28, AM(CLR),FW",Gaëtan Laborde,28, AM(CLR),FW,,32(2),2741,12,8,1,-,2.5,65.7,2.6,4,7.14
23,"24Andrei GirottoNantes, 30, D(C),DMC",Andrei Girotto,30, D(C),DMC,,36,3150,6,1,8,-,1.3,81.6,3,4,7.13
24,"25Franck HonoratBrest, 25, M(LR)",Franck Honorat,25, M(LR),,,34,2911,11,4,3,-,1.8,74.5,0.5,4,7.13
25,"26Andy DelortNice, 30, AM(R),FW",Andy Delort,30, AM(R),FW,,26(6),2449,16,2,3,-,3.1,61.1,3.1,5,7.09
26,"27Marcin BulkaNice, 22, Goalkeeper",Marcin Bulka,22, Goalkeeper,,,1,90,-,-,-,-,-,83.3,-,-,7.08
27,"28Youcef AtalNice, 26, D(R),M(R)",Youcef Atal,26, D(R),M(R),,13(4),1144,2,1,4,-,0.8,78.8,1.6,2,7.08
28,"29Lovro MajerRennes, 24, AM(CR)",Lovro Majer,24, AM(CR),,,21(8),1841,6,8,1,-,1.6,81,0.1,1,7.06
29,"30Ludovic AjorqueStrasbourg, 28, FW",Ludovic Ajorque,28, FW,,,31(5),2743,12,8,5,1,1.6,72.9,3.5,4,7.05
30,"31Wissam Ben YedderMonaco, 31, AM(C),FW",Wissam Ben Yedder,31, AM(C),FW,,29(8),2541,25,5,3,-,1.9,73.5,0.6,1,7.04
31,"32Boubakar KouyatéMetz, 25, D(C)",Boubakar Kouyaté,25, D(C),,,30,2666,1,-,8,1,0.7,81.4,3.1,6,7.04
32,"33Frédéric GuilbertStrasbourg, 27, D(CLR),M(R)",Frédéric Guilbert,27, D(CLR),M(R),,28(5),2521,-,4,4,-,0.7,75.5,0.8,4,7.04
33,"34Romain FaivreLyon, 23, AM(CLR)",Romain Faivre,23, AM(CLR),,,9(5),889,3,-,-,-,1.4,87.9,0.1,1,7.03
34,"35MarceloLyon, 35, D(C)",Marcelo,35, D(C),,,2,180,-,-,1,-,1,90.4,7,1,7.02
35,"36Amine GouiriNice, 22, AM(L),FW",Amine Gouiri,22, AM(L),FW,,32(6),2765,10,9,3,-,2,80.4,0.3,5,7.01
36,"37Moses SimonNantes, 26, M(CLR),FW",Moses Simon,26, M(CLR),FW,,29(1),2352,6,8,3,-,1.4,75,0.5,2,7.01
37,"38Randal Kolo MuaniNantes, 23, AM(R),FW",Randal Kolo Muani,23, AM(R),FW,,34(2),2958,12,4,2,-,1.5,70.1,1.9,5,7.01
38,"39Hamari TraoréRennes, 30, D(R),M(R)",Hamari Traoré,30, D(R),M(R),,33,2898,3,10,4,-,0.9,84.9,1.2,1,7.0
39,"40Kamaldeen SulemanaRennes, 20, AM(L)",Kamaldeen Sulemana,20, AM(L),,,11(9),1018,4,2,3,-,1.3,80.3,0.3,4,7.0
40,"41Lenny LacroixMetz, 19, Defender",Lenny Lacroix,19, Defender,,,2(1),201,-,1,-,-,0.7,67.9,2.3,-,7.0
41,"42Benjamin AndréLille, 31, D(R),M(CLR)",Benjamin André,31, D(R),M(CLR),,33,2764,2,1,11,1,0.5,80.4,2.9,2,6.99
42,"43Jimmy CabotAngers, 28, M(LR)",Jimmy Cabot,28, M(LR),,,24,2012,-,4,4,-,0.5,80.9,0.5,1,6.99
43,"44Florian SotocaLens, 31, AM(C),FW",Florian Sotoca,31, AM(C),FW,,28(7),2487,6,4,7,-,2,78.2,2.6,4,6.99
44,"45Florian TardieuTroyes, 30, M(C)",Florian Tardieu,30, M(C),,,29(1),2631,4,2,6,-,0.8,86.5,1,2,6.98
45,"46Marshall MunetsiReims, 25, D(C),DMC",Marshall Munetsi,25, D(C),DMC,,20(4),1886,5,1,8,-,1.3,79.7,2.5,2,6.95
46,"47Adrien ThomassonStrasbourg, 28, M(CLR)",Adrien Thomasson,28, M(CLR),,,27(4),2397,8,4,2,1,1.5,78.8,0.5,4,6.94
47,"48Seko FofanaLens, 27, M(C)",Seko Fofana,27, M(C),,,38,3364,8,1,2,-,2.6,89.8,0.5,2,6.94
48,"49Abdoulaye BakayokoSaint-Etienne, 19, Defender",Abdoulaye Bakayoko,19, Defender,,,4,309,-,-,-,-,-,68.4,1,-,6.94
49,"50Simon BanzaLens, 25, FW",Simon Banza,25, FW,,,1(3),123,1,1,-,-,1.5,62.1,1.5,-,6.94
50,"51Ludovic BlasNantes, 24, M(CLR),FW",Ludovic Blas,24, M(CLR),FW,,35,2978,10,5,10,-,2.6,80.9,0.5,3,6.94
51,"52Cheick Oumar DoucouréLens, 22, DMC",Cheick Oumar Doucouré,22, DMC,,,33(1),2948,1,4,7,1,0.9,87.5,0.6,2,6.94
52,"53Abdou DialloPSG, 26, D(CL)",Abdou Diallo,26, D(CL),,,10(2),877,-,1,1,-,0.2,89.7,1.2,-,6.93
53,"54Houssem AouarLyon, 23, M(CL)",Houssem Aouar,23, M(CL),,,29(7),2508,6,4,1,-,2.1,86.9,0.2,2,6.93
54,"55Jonas OmlinMontpellier, 28, GK",Jonas Omlin,28, GK,,,29,2589,-,-,-,1,-,74.6,0.4,2,6.93
55,"56Danilo PereiraPSG, 30, D(C),DMC",Danilo Pereira,30, D(C),DMC,,22(5),2039,5,-,3,-,0.7,94.6,1.1,-,6.93
56,"57Achraf HakimiPSG, 23, D(LR),M(R)",Achraf Hakimi,23, D(LR),M(R),,28(4),2486,4,6,3,1,0.6,90.4,0.3,2,6.93
57,"58Fabien CentonzeMetz, 26, D(R),M(R)",Fabien Centonze,26, D(R),M(R),,18(1),1587,4,1,3,-,0.8,80.1,0.6,1,6.92
58,"59EmersonLyon, 27, D(L),M(L)",Emerson,27, D(L),M(L),,26(3),2267,1,2,3,1,0.6,86.7,1.4,1,6.91
59,"60Boubacar KamaraMarseille, 22, D(CL),DMC",Boubacar Kamara,22, D(CL),DMC,,31(3),2779,1,-,6,-,0.6,90.6,1.2,-,6.91
60,"61Sofiane DiopMonaco, 21, AM(CLR)",Sofiane Diop,21, AM(CLR),,,24(6),1959,6,4,6,-,1.2,77.6,0.4,2,6.9
61,"62Flavien TaitRennes, 29, M(CLR)",Flavien Tait,29, M(CLR),,,24(4),2131,5,3,3,-,1.5,86.4,0.3,-,6.9
62,"63Steve MouniéBrest, 27, FW",Steve Mounié,27, FW,,,25(10),2313,9,2,2,-,2.1,60.2,6.4,1,6.89
63,"64Sergio RicoPSG, 28, GK",Sergio Rico,28, GK,,,0(1),22,-,-,-,-,-,66.7,-,-,6.89
64,"65Melvin BardNice, 21, D(L)",Melvin Bard,21, D(L),,,30(3),2593,2,2,4,-,0.2,82.8,1.2,1,6.89
65,"66GersonMarseille, 25, M(CLR)",Gerson,25, M(CLR),,,29(6),2553,9,4,3,-,1.3,90.4,0.7,2,6.89
66,"67Nayef AguerdRennes, 26, D(C)",Nayef Aguerd,26, D(C),,,31,2738,2,2,3,1,0.8,89,3.1,3,6.88
67,"68Denis BouangaSaint-Etienne, 27, M(CLR),FW",Denis Bouanga,27, M(CLR),FW,,28(6),2449,9,6,4,1,2.5,71.7,2,3,6.88
68,"69William SalibaMarseille, 21, D(C)",William Saliba,21, D(C),,,36,3240,-,-,5,-,0.5,93.1,1.3,-,6.87
69,"70Mattéo GuendouziMarseille, 23, M(C)",Mattéo Guendouzi,23, M(C),,,35(3),3154,4,6,6,-,1.3,88.4,0.6,3,6.87
70,"71Jean-Clair TodiboNice, 22, D(C)",Jean-Clair Todibo,22, D(C),,,35(1),3116,1,-,6,-,0.5,87.5,1.9,2,6.87
71,"72Brendan ChardonnetBrest, 27, D(C)",Brendan Chardonnet,27, D(C),,,31(1),2687,3,-,6,1,0.4,81.5,2.3,1,6.87
72,"73Steve MandandaMarseille, 37, GK",Steve Mandanda,37, GK,,,9,810,-,-,-,-,-,80.1,0.1,-,6.87
73,"74Anthony MandréaAngers, 25, GK",Anthony Mandréa,25, GK,,,10,900,-,-,-,-,-,52.8,0.6,1,6.87
74,"75Idrissa GueyePSG, 32, M(C)",Idrissa Gueye,32, M(C),,,18(8),1641,3,1,4,-,0.9,93.5,0.4,2,6.86
75,"76MarquinhosPSG, 28, D(CR),DMC",Marquinhos,28, D(CR),DMC,,32,2862,5,-,5,-,0.7,93.6,1.3,-,6.86
76,"77Youcef BelaïliBrest, 30, AM(L)",Youcef Belaïli,30, AM(L),,,11(2),832,3,2,2,-,1.3,76.1,0.4,1,6.86
77,"78Christopher WoohLens, 20, D(C)",Christopher Wooh,20, D(C),,,11(3),1051,-,1,2,-,0.6,87.2,1.9,-,6.85
78,"79Valentin RongierMarseille, 27, D(R),M(C)",Valentin Rongier,27, D(R),M(C),,25(7),2199,-,1,3,-,0.9,90.1,0.6,-,6.85
79,"80Predrag RajkovicReims, 26, GK",Predrag Rajkovic,26, GK,,,38,3420,-,-,3,-,-,65.6,0.3,1,6.85
80,"81Renato SanchesLille, 24, M(CR)",Renato Sanches,24, M(CR),,,20(5),1657,2,5,6,1,0.9,85.1,0.4,5,6.85
81,"82Azor MatusiwaReims, 24, DMC",Azor Matusiwa,24, DMC,,,29,2469,1,1,6,1,0.3,83.7,0.9,1,6.84
82,"83Jonathan GraditLens, 29, D(CR)",Jonathan Gradit,29, D(CR),,,35,3073,-,-,7,-,0.1,89.2,1.4,1,6.84
83,"84Ruben AguilarMonaco, 29, D(R),M(R)",Ruben Aguilar,29, D(R),M(R),,22(6),2138,-,2,4,-,0.4,84.9,1.2,1,6.84
84,"85Ander HerreraPSG, 32, M(C)",Ander Herrera,32, M(C),,,12(7),1093,3,2,2,-,0.7,92.3,0.1,1,6.84
85,"86Hugo EkitikeReims, 19, FW",Hugo Ekitike,19, FW,,,15(9),1275,10,3,1,1,1.3,71.1,1.1,3,6.83
86,"87Julien LaporteLorient, 28, D(C)",Julien Laporte,28, D(C),,,33,2893,2,-,7,-,0.5,84.7,2.4,4,6.83
87,"88Mohamed BayoClermont Foot, 24, FW",Mohamed Bayo,24, FW,,,27(5),2426,14,5,1,-,2.1,73.1,1.4,4,6.83
88,"89Ghislain KonanReims, 26, D(L),M(L)",Ghislain Konan,26, D(L),M(L),,28,2422,1,3,1,-,0.7,78.4,0.5,1,6.83
89,"90Sven BotmanLille, 22, D(C)",Sven Botman,22, D(C),,,25,2250,3,1,4,-,0.6,88.1,2.3,-,6.83
90,"91Baptiste SantamaríaRennes, 27, DMC",Baptiste Santamaría,27, DMC,,,28(6),2520,2,1,7,-,1,87,2.2,-,6.83
91,"92Cengiz ÜnderMarseille, 24, AM(CLR)",Cengiz Ünder,24, AM(CLR),,,25(7),2209,10,2,-,1,1.8,79.7,0.3,3,6.82
92,"93Xherdan ShaqiriLyon, 30, M(CLR)",Xherdan Shaqiri,30, M(CLR),,,9(2),686,2,3,-,-,1.2,81,0.1,1,6.82
93,"94ReinildoLille, 28, D(CL),M(L)",Reinildo,28, D(CL),M(L),,18,1531,1,-,7,-,0.3,85.3,1.6,-,6.81
94,"95Jean OnanaBordeaux, 22, DMC",Jean Onana,22, DMC,,,23,1846,3,2,3,1,0.9,81.8,2,3,6.81
95,"96Eiji KawashimaStrasbourg, 39, GK",Eiji Kawashima,39, GK,,,1,90,-,-,-,-,-,88,-,-,6.81
96,"97Aleksandr GolovinMonaco, 26, M(CLR)",Aleksandr Golovin,26, M(CLR),,,17(10),1505,3,4,4,1,0.9,80.2,0.3,2,6.81
97,"98Angelo FulginiAngers, 25, AM(CLR),FW",Angelo Fulgini,25, AM(CLR),FW,,35(1),2947,5,4,6,-,1.6,83.3,0.9,-,6.81
98,"99Nicolas de PrévilleMetz, 31, AM(CLR),FW",Nicolas de Préville,31, AM(CLR),FW,,24(3),1982,5,2,5,-,1.5,71.7,1.7,-,6.8
