,Player,Name,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,"1Robert LewandowskiBayern, 33, FW",Robert Lewandowski,33, FW,,,34,2952,35,3,2,-,4.7,77.4,1.6,8,7.89
1,"2Christopher NkunkuRBL, 24, M(CLR),FW",Christopher Nkunku,24, M(CLR),FW,,31(3),2735,20,13,2,-,2.4,81.8,0.8,10,7.64
2,"3Joshua KimmichBayern, 27, D(CR),DMC,M(R)",Joshua Kimmich,27, D(CR),DMC,M(R),28,2478,3,11,4,-,1,88,0.6,5,7.6
3,"4Stefanos KapinoArminia Bielefeld, 28, GK",Stefanos Kapino,28, GK,,,1,90,-,-,-,-,-,64.3,-,-,7.58
4,"5Erling HålandBorussia Dortmund, 21, FW",Erling Håland,21, FW,,,21(3),1915,22,7,3,-,3.3,71.3,1.6,6,7.55
5,"6Patrik SchickLeverkusen, 26, AM(R),FW",Patrik Schick,26, AM(R),FW,,26(1),2094,24,3,-,-,3.3,68.9,2,4,7.45
6,"7Florian WirtzLeverkusen, 19, AM(C)",Florian Wirtz,19, AM(C),,,22(2),1864,7,10,2,-,1.5,78.7,0.3,3,7.41
7,"8Nico SchlotterbeckFreiburg, 22, D(C)",Nico Schlotterbeck,22, D(C),,,32,2789,4,1,5,-,1.1,80.6,3.4,1,7.39
8,"9Thomas MüllerBayern, 32, M(CLR),FW",Thomas Müller,32, M(CLR),FW,,32,2578,8,18,-,-,1.7,77,1,3,7.34
9,"10Alphonso DaviesBayern, 21, D(L),M(LR)",Alphonso Davies,21, D(L),M(LR),,20(2),1744,-,3,3,-,0.8,84.3,0.5,2,7.31
10,"11Jonas WindWolfsburg, 23, AM(C),FW",Jonas Wind,23, AM(C),FW,,14,1187,5,2,-,-,2.6,66.1,3.9,1,7.31
11,"12Serge GnabryBayern, 26, AM(CLR),FW",Serge Gnabry,26, AM(CLR),FW,,25(9),2192,14,5,-,-,2,82,0.2,2,7.3
