,Unnamed: 0,Player,Name,Age,position1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,0,"1Mattia ZaccagniVerona, 26, AM(CL),FW",Mattia Zaccagni,26, AM(CL),FW,,2,180,2,-,-,-,2,83.3,2,1,8.47
1,1,"2Luca GemelloTorino, 21, Goalkeeper",Luca Gemello,21, Goalkeeper,,,1,90,-,-,-,-,-,39.4,-,-,7.71
2,2,"3Domenico BerardiSassuolo, 27, AM(R),FW",Domenico Berardi,27, AM(R),FW,,33,2838,15,14,9,-,3.3,74.8,0.5,8,7.43
3,3,"4Rafael LeãoAC Milan, 22, AM(L),FW",Rafael Leão,22, AM(L),FW,,31(3),2621,11,8,4,-,2.9,74.8,0.8,2,7.37
4,4,"5Sergej Milinkovic-SavicLazio, 27, AM(C)",Sergej Milinkovic-Savic,27, AM(C),,,36(1),3111,11,11,4,1,2,81.4,2.8,7,7.36
5,5,"6Lorenzo PellegriniRoma, 25, M(C)",Lorenzo Pellegrini,25, M(C),,,27(1),2300,9,5,6,1,3.3,77.7,0.6,6,7.34
6,6,"7Dusan VlahovicFiorentina, 22, FW",Dusan Vlahovic,22, FW,,,21,1862,17,2,2,-,3.6,70.6,2,5,7.33
7,7,"8Ciro ImmobileLazio, 32, FW",Ciro Immobile,32, FW,,,31,2718,27,2,4,-,3.8,78,0.7,2,7.31
8,8,"9Luis MurielAtalanta, 31, AM(CL),FW",Luis Muriel,31, AM(CL),FW,,17(10),1543,9,8,1,-,2.1,75.6,1.1,4,7.3
9,9,"10Hakan ÇalhanogluInter, 28, M(CLR),FW",Hakan Çalhanoglu,28, M(CLR),FW,,33(1),2509,7,12,11,-,1.9,86.8,0.3,5,7.28
10,10,"11Wisdom AmeyBologna, 16, Defender",Wisdom Amey,16, Defender,,,1,72,-,-,-,-,-,69,3,-,7.27
11,11,"12Victor OsimhenNapoli, 23, FW",Victor Osimhen,23, FW,,,23(4),1993,14,2,5,1,3.4,70.5,1.9,4,7.22
12,12,"13Ivan PerisicInter, 33, M(CLR),FW",Ivan Perisic,33, M(CLR),FW,,35,2844,8,7,4,-,1.3,76.3,1.6,5,7.22
13,13,"14Paulo DybalaJuventus, 28, AM(CR),FW",Paulo Dybala,28, AM(CR),FW,,26(3),2074,10,5,3,-,3.4,84.3,0.3,5,7.22
14,14,"15BremerTorino, 25, D(C)",Bremer,25, D(C),,,33,2895,3,1,7,-,0.8,81.6,4,4,7.22
15,15,"16Gianluca CaprariVerona, 28, AM(CLR),FW",Gianluca Caprari,28, AM(CLR),FW,,33(2),2755,12,7,4,-,1.9,80.5,0.2,6,7.2
16,16,"17Juan CuadradoJuventus, 34, D(R),M(CLR),FW",Juan Cuadrado,34, D(R),M(CLR),FW,28(5),2496,4,4,9,-,1.1,88.7,0.6,5,7.19
17,17,"18Lautaro MartínezInter, 24, FW",Lautaro Martínez,24, FW,,,28(7),2302,21,3,6,-,3.4,74.7,0.8,4,7.18
18,18,"19Tammy AbrahamRoma, 24, FW",Tammy Abraham,24, FW,,,36(1),3099,17,4,9,-,2.6,71,2.1,4,7.17
19,19,"20Theo HernándezAC Milan, 24, D(L),M(L)",Theo Hernández,24, D(L),M(L),,30(2),2713,5,6,5,2,1.3,83.8,0.8,4,7.16
20,20,"21Marcelo BrozovicInter, 29, M(CR)",Marcelo Brozovic,29, M(CR),,,35,2951,2,1,7,-,0.9,92.5,0.4,2,7.13
21,21,"22Nicolò BarellaInter, 25, AM(C)",Nicolò Barella,25, AM(C),,,36,2933,3,12,9,-,1.9,85.1,0.6,2,7.13
22,22,"23Fabián RuizNapoli, 26, M(CL)",Fabián Ruiz,26, M(CL),,,29(3),2398,7,4,2,-,1.3,90.5,0.3,3,7.1
23,23,"24Lorenzo InsigneNapoli, 31, AM(CL),FW",Lorenzo Insigne,31, AM(CL),FW,,28(4),2311,11,9,2,-,2.9,83.7,0.2,5,7.09
24,24,"25Wladimiro FalconeSampdoria, 27, GK",Wladimiro Falcone,27, GK,,,9(1),855,-,-,2,-,-,69.3,0.4,2,7.08
25,25,"26Kalidou KoulibalyNapoli, 30, D(C)",Kalidou Koulibaly,30, D(C),,,27,2406,3,3,5,1,0.4,86.9,1.8,1,7.08
26,26,"27Edin DzekoInter, 36, FW",Edin Dzeko,36, FW,,,27(9),2476,13,5,2,-,2.4,72.7,2.3,-,7.07
27,27,"28Duván ZapataAtalanta, 31, FW",Duván Zapata,31, FW,,,20(4),1732,10,4,3,-,3.4,76.7,1.9,2,7.06
28,28,"29André-Frank Zambo AnguissaNapoli, 26, M(C)",André-Frank Zambo Anguissa,26, M(C),,,21(4),1925,-,2,5,-,0.8,89.9,1.2,1,7.05
29,29,"30Giovanni Di LorenzoNapoli, 28, D(CLR),M(R)",Giovanni Di Lorenzo,28, D(CLR),M(R),,33,2873,1,5,3,-,0.6,88.2,1.4,2,7.04
30,30,"31Gerard DeulofeuUdinese, 28, AM(CLR),FW",Gerard Deulofeu,28, AM(CLR),FW,,31(3),2628,13,5,9,-,2.3,78.7,0.1,3,7.04
31,31,"32Sandro TonaliAC Milan, 22, DMC",Sandro Tonali,22, DMC,,,31(5),2608,5,2,9,-,1,85.5,0.3,4,7.02
32,32,"33Felipe AndersonLazio, 29, M(CLR),FW",Felipe Anderson,29, M(CLR),FW,,33(5),2900,6,8,2,-,1.2,81.4,0.3,3,7.02
33,33,"34Nicolás GonzálezFiorentina, 24, M(CLR),FW",Nicolás González,24, M(CLR),FW,,26(7),2361,7,6,2,1,2.2,77.9,2,8,7.02
34,34,"35Mattia ZaccagniLazio, 26, AM(CL),FW",Mattia Zaccagni,26, AM(CL),FW,,21(8),1881,4,5,6,-,1.1,84.6,0.4,3,7.01
35,35,"36Abdelhamid SabiriSampdoria, 25, AM(CL),FW",Abdelhamid Sabiri,25, AM(CL),FW,,9(5),895,3,2,3,-,1.1,77.6,1.9,3,7.0
36,36,"37José Luis PalominoAtalanta, 32, D(C)",José Luis Palomino,32, D(C),,,30(4),2674,1,-,9,-,0.4,81.3,3.1,2,7.0
