,Player,Name,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,"1Kike HermosoReal Betis, 22, Defender",Kike Hermoso,22, Defender,,,1,90,1,-,-,-,2,83.3,6,1,7.77
1,"2Karim BenzemaReal Madrid, 34, FW",Karim Benzema,34, FW,,,31(1),2600,27,12,-,-,4,85.2,0.6,10,7.69
2,"3Vinícius JúniorReal Madrid, 21, AM(L),FW",Vinícius Júnior,21, AM(L),FW,,30(5),2701,17,10,6,-,2.3,85.9,0.1,8,7.56
3,"4Ousmane DembéléBarcelona, 25, AM(CLR),FW",Ousmane Dembélé,25, AM(CLR),FW,,15(6),1413,1,13,3,-,2.2,84.4,0.2,4,7.46
4,"5Miguel GutiérrezReal Madrid, 20, D(L)",Miguel Gutiérrez,20, D(L),,,3,262,-,1,1,-,-,94,0.7,-,7.44
5,"6Gerard MorenoVillarreal, 30, AM(CR),FW",Gerard Moreno,30, AM(CR),FW,,14(3),1194,9,3,2,-,2.2,69.4,1.1,6,7.44
6,"7Nabil FekirReal Betis, 28, AM(CLR),FW",Nabil Fekir,28, AM(CLR),FW,,33(1),2812,6,8,7,1,2.5,86.4,0.8,7,7.38
7,"8Andrii LuninReal Madrid, 23, GK",Andrii Lunin,23, GK,,,2,180,-,-,-,-,-,85.1,-,1,7.32
8,"9CasemiroReal Madrid, 30, DMC",Casemiro,30, DMC,,,31(1),2576,1,3,11,-,1.3,86,3.2,3,7.26
9,"10JoseluDeportivo Alaves, 32, FW",Joselu,32, FW,,,35(2),3126,14,4,-,-,2.6,61.1,7.7,5,7.25
10,"11Vedat MuriqiMallorca, 28, FW",Vedat Muriqi,28, FW,,,16,1439,5,3,6,-,3.2,54.2,7.3,7,7.22
11,"12Iker MuniainAthletic Bilbao, 29, AM(CLR)",Iker Muniain,29, AM(CLR),,,34(1),2803,4,10,3,-,1.2,84.8,0.1,6,7.19
12,"13Iago AspasCelta Vigo, 34, AM(CR),FW",Iago Aspas,34, AM(CR),FW,,36(1),3094,18,6,8,-,2.4,75.5,0.6,5,7.19
13,"14Daniel ParejoVillarreal, 33, M(C)",Daniel Parejo,33, M(C),,,32(1),2712,2,10,3,-,0.5,87.6,0.5,1,7.17
14,"15John DonaldElche, 21, Midfielder",John Donald,21, Midfielder,,,2,180,-,-,-,-,1,88.1,1,-,7.17
15,"16Mikel MerinoReal Sociedad, 25, M(C)",Mikel Merino,25, M(C),,,33(1),2896,3,2,8,-,1.3,77.6,3.3,3,7.16
16,"17Antoine GriezmannBarcelona, 31, AM(CLR),FW",Antoine Griezmann,31, AM(CLR),FW,,3,264,-,-,-,-,1.3,85.1,1.3,-,7.15
17,"18PedriBarcelona, 19, AM(C)",Pedri,19, AM(C),,,10(2),891,3,1,-,-,1,86.5,0.3,-,7.12
18,"19Memphis DepayBarcelona, 28, AM(CL),FW",Memphis Depay,28, AM(CL),FW,,20(8),1850,12,2,3,-,2.2,82.1,0.4,5,7.1
19,"20Yannick CarrascoAtletico, 28, M(CLR),FW",Yannick Carrasco,28, M(CLR),FW,,28(6),2594,6,6,5,-,1.5,80.6,0.3,5,7.08
20,"21Sergio BusquetsBarcelona, 33, DMC",Sergio Busquets,33, DMC,,,36,3202,2,-,12,-,0.4,87.6,1.7,-,7.05
21,"22Dani AlvesBarcelona, 39, D(R),M(CR)",Dani Alves,39, D(R),M(CR),,13(1),1103,1,3,2,1,0.4,88,0.6,1,7.03
22,"23Raúl de TomásEspanyol, 27, FW",Raúl de Tomás,27, FW,,,33(1),2928,17,3,5,2,3.1,83.9,1,4,7.02
23,"24Luka ModricReal Madrid, 36, M(C)",Luka Modric,36, M(C),,,25(3),2050,2,8,5,-,1,90.1,0.2,-,7.01
24,"25Javi GalánCelta Vigo, 27, D(L),M(L)",Javi Galán,27, D(L),M(L),,37,3300,-,3,9,-,0.5,81.9,0.7,1,7.01
25,"26Rubén AlcarazCadiz, 31, DMC",Rubén Alcaraz,31, DMC,,,12(2),1106,2,-,7,-,1.6,85.5,1.6,-,7.01
26,"27Mathías OliveraGetafe, 24, D(L),M(L)",Mathías Olivera,24, D(L),M(L),,32,2807,1,3,10,-,0.8,71.8,3.5,3,7.0
27,"28Óscar TrejoRayo Vallecano, 34, M(CLR)",Óscar Trejo,34, M(CLR),,,24(8),2023,3,9,13,-,0.7,82.2,0.8,2,7.0
28,"29Gonçalo GuedesValencia, 25, AM(CLR),FW",Gonçalo Guedes,25, AM(CLR),FW,,30(6),2614,11,6,3,-,1.9,68.5,0.4,5,6.99
29,"30Jordi AlbaBarcelona, 33, D(L),M(L)",Jordi Alba,33, D(L),M(L),,30,2648,2,10,11,-,1,86.6,0.5,2,6.99
30,"31Toni KroosReal Madrid, 32, M(C)",Toni Kroos,32, M(C),,,25(3),2112,1,3,4,-,1.6,94.9,0.3,1,6.98
31,"32Gabriel PaulistaValencia, 31, D(CR)",Gabriel Paulista,31, D(CR),,,19,1602,2,1,2,-,0.3,77.7,2,3,6.98
32,"33Pierre-Emerick AubameyangBarcelona, 32, M(CLR),FW",Pierre-Emerick Aubameyang,32, M(CLR),FW,,13(4),1092,11,1,-,-,2.2,75.5,0.4,3,6.98
33,"34Eder MilitãoReal Madrid, 24, D(CR)",Eder Militão,24, D(CR),,,34,3033,1,2,5,-,1,89.3,2.4,3,6.97
34,"35Ferland MendyReal Madrid, 26, D(L),M(L)",Ferland Mendy,26, D(L),M(L),,20(2),1739,2,1,4,-,0.5,92,0.5,-,6.96
35,"36Etienne CapoueVillarreal, 33, D(C),M(CL)",Etienne Capoue,33, D(C),M(CL),,26(4),2298,1,1,9,-,0.5,88.4,1.8,3,6.96
36,"37José Luis MoralesLevante, 34, D(R),M(CLR),FW",José Luis Morales,34, D(R),M(CLR),FW,31(4),2727,13,7,7,-,2.3,72.8,0.5,6,6.96
37,"38Marcos AcuñaSevilla, 30, D(L),M(CL)",Marcos Acuña,30, D(L),M(CL),,26(5),2266,1,3,10,-,0.5,84.2,0.7,3,6.96
38,"39Marc BartraReal Betis, 31, D(CR),DMC",Marc Bartra,31, D(CR),DMC,,23,1994,1,-,5,-,0.7,82.4,2.7,1,6.95
39,"40Íñigo MartínezAthletic Bilbao, 31, D(C)",Íñigo Martínez,31, D(C),,,26(1),2344,3,-,7,2,1,79.2,2.7,2,6.94
40,"41Abdessamad EzzalzouliBarcelona, 20, Forward",Abdessamad Ezzalzouli,20, Forward,,,6(4),582,1,-,4,-,1.6,76.2,0.3,1,6.94
41,"42Juan FoythVillarreal, 24, D(CR),DMC",Juan Foyth,24, D(CR),DMC,,22(3),1932,1,1,4,1,0.2,84.3,1.4,1,6.94
42,"43David GarcíaOsasuna, 28, D(C)",David García,28, D(C),,,35,3106,4,-,8,-,0.9,80,3.9,3,6.94
43,"44Enes ÜnalGetafe, 25, FW",Enes Ünal,25, FW,,,33(4),2812,16,1,8,-,2.3,61.5,3.9,6,6.94
44,"45Sergio CanalesReal Betis, 31, M(CLR)",Sergio Canales,31, M(CLR),,,33(1),2803,5,7,7,-,1.6,85,0.3,2,6.94
45,"46Martín MontoyaReal Betis, 31, D(LR),M(R)",Martín Montoya,31, D(LR),M(R),,6,519,-,1,2,-,0.8,82.7,1.7,-,6.94
46,"47Pablo MaffeoMallorca, 24, D(R),M(R)",Pablo Maffeo,24, D(R),M(R),,35,2952,1,3,10,-,0.8,70.4,1.7,1,6.93
47,"48Jesús VallejoReal Madrid, 25, D(CR)",Jesús Vallejo,25, D(CR),,,4(1),341,-,-,1,-,-,86.6,2.2,-,6.93
48,"49Mauro ArambarriGetafe, 26, DMC",Mauro Arambarri,26, DMC,,,31,2667,-,5,13,-,1.2,77.6,0.9,2,6.93
49,"50JuanmiReal Betis, 29, AM(CLR),FW",Juanmi,29, AM(CLR),FW,,26(7),2149,16,4,5,-,1.7,78.1,1,4,6.93
50,"51Gerard PiquéBarcelona, 35, D(C)",Gerard Piqué,35, D(C),,,25(2),2097,1,-,8,1,0.7,90,3,1,6.93
51,"52Carlos SolerValencia, 25, M(CLR)",Carlos Soler,25, M(CLR),,,28(4),2485,11,5,4,-,1.3,74.4,0.4,1,6.93
52,"53Martin BraithwaiteBarcelona, 31, AM(CLR),FW",Martin Braithwaite,31, AM(CLR),FW,,3(1),237,2,1,-,-,1.8,81.5,0.8,1,6.93
53,"54Guido RodríguezReal Betis, 28, DMC",Guido Rodríguez,28, DMC,,,29(3),2533,1,2,7,1,0.7,85.5,1,-,6.92
54,"55Lucas TorróOsasuna, 27, DMC",Lucas Torró,27, DMC,,,32(1),2734,1,-,10,-,1,77.8,4,1,6.92
55,"56Álex MorenoReal Betis, 28, D(L),M(L)",Álex Moreno,28, D(L),M(L),,28(2),2408,5,3,4,1,0.9,76.2,0.8,2,6.92
56,"57Mathew RyanReal Sociedad, 30, GK",Mathew Ryan,30, GK,,,3,270,-,-,-,-,-,57,0.3,1,6.92
57,"58Jules KoundéSevilla, 23, D(CR)",Jules Koundé,23, D(CR),,,31(1),2738,2,1,2,2,0.4,88.9,2.4,3,6.92
58,"59Arnaut DanjumaVillarreal, 25, AM(L),FW",Arnaut Danjuma,25, AM(L),FW,,17(6),1478,10,3,2,-,2.7,77,0.1,3,6.91
59,"60Frenkie de JongBarcelona, 25, D(C),DMC",Frenkie de Jong,25, D(C),DMC,,30(2),2486,3,3,5,1,0.5,91.3,0.8,5,6.91
60,"61João FélixAtletico, 22, AM(CL),FW",João Félix,22, AM(CL),FW,,13(11),1267,8,4,1,1,1.6,75,0.8,2,6.91
61,"62Lucas BoyéElche, 26, AM(L),FW",Lucas Boyé,26, AM(L),FW,,22(2),1724,7,3,3,-,2,73.4,1.3,3,6.91
62,"63Mikel OyarzabalReal Sociedad, 25, AM(CLR),FW",Mikel Oyarzabal,25, AM(CLR),FW,,19(3),1674,9,3,-,1,1.9,74.8,1,4,6.9
63,"64David SilvaReal Sociedad, 36, M(CLR),FW",David Silva,36, M(CLR),FW,,22(3),1734,2,4,4,1,0.8,88.1,0.6,3,6.9
64,"65Giovani Lo CelsoVillarreal, 26, M(CR),FW",Giovani Lo Celso,26, M(CR),FW,,11(5),998,1,1,2,-,1.1,83.8,0.2,-,6.89
65,"66Marco AsensioReal Madrid, 26, AM(CLR)",Marco Asensio,26, AM(CLR),,,19(12),1729,10,-,2,-,2.1,87.7,-,1,6.89
66,"67Yuri BerchicheAthletic Bilbao, 32, D(L),M(L)",Yuri Berchiche,32, D(L),M(L),,11(3),1016,1,2,3,-,0.6,79.3,1.5,-,6.89
67,"68Ferran TorresBarcelona, 22, AM(LR),FW",Ferran Torres,22, AM(LR),FW,,17(1),1418,4,4,1,-,2.9,84.6,0.7,-,6.88
68,"69Germán PezzellaReal Betis, 30, D(C)",Germán Pezzella,30, D(C),,,22(1),1991,1,-,5,1,0.8,87.4,2.5,-,6.87
69,"70Héctor BellerínReal Betis, 27, D(R),M(R)",Héctor Bellerín,27, D(R),M(R),,22(1),1979,-,2,2,1,0.4,77.8,1.2,1,6.87
